SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.022727291561621097,0.026905847718292446,0.02751981305027018,0.03249248773770681,0.033858799396436434,0.0352801386273996,0.03491690074260813,0.03441432074762156,0.03470263911097448,0.034846320711050566,0.03625990707682727,0.03643250954216181,0.03698078631215807,0.036691285007405254,0.03598754833596205,0.035957158041821466,0.035680401228823155,0.03576505092120426,0.03581619257428098,0.03536860774587284,0.03522979828963883,0.03518197094430642,0.0348817946895358,0.03452191209676034,0.03520328824253885,0.035342657516588646,0.03572281887242027,0.0357518796638391,0.035358321827020034,0.03531138493642091,0.03543983968400766,0.03532054473897922,0.035258838332174296,0.03570554749436628,0.03580536991440615,0.036246438671432256,0.03611316596452025,0.03565952978484176,0.03542728916518432,0.035701598761893286,0.035585179866384806,0.03582775035836332,0.03554085161098136,0.03582604630216426,0.03567352337376608,0.03595061692169124,0.03603347189758972,0.03616713664279363,0.03619840711502323
2,0.0,0.07296250830474564,0.07849238971353556,0.06714366914414835,0.06727118684589817,0.07454416403716803,0.07198194726660381,0.07121982413344231,0.07233725757407788,0.07187571924065503,0.07075116147180609,0.0692167744954861,0.06890243539436011,0.07129779234787043,0.07169662080344388,0.07020131502461487,0.07021874438776164,0.07043985659801202,0.07069677842999604,0.07096761019615763,0.07144779854975193,0.07158319884947671,0.07082633744655824,0.07120037088557758,0.07189708094967545,0.07131270808622964,0.07097625072681685,0.07131407747248297,0.07157124854109097,0.07182801715230114,0.07144610269712631,0.07199823087584012,0.07099413226140816,0.07097082253974168,0.0706139508354243,0.07000561319218025,0.07042962449205142,0.07043654952450772,0.07074607747107889,0.0713032020821719,0.07149761123121898,0.07161124011980817,0.07157219925734444,0.07096232669790416,0.07145603112688984,0.07140810568792574,0.07177816283055997,0.07179124331347154,0.07155301803297737,0.07132962052598651
3,0.0,0.11384218248270019,0.10500518260282582,0.10881973819599165,0.10697609784808519,0.10282185066994828,0.10870263539304649,0.10813991250460545,0.10448023546671625,0.1030154547795136,0.10591306392462471,0.10643374783941358,0.10735167857684494,0.10773790802340905,0.10764339473419351,0.10916025968412815,0.10717339006934959,0.10725411488806903,0.10677116860920519,0.10584491444429049,0.1060189322725527,0.10672802723138801,0.10674969338288541,0.10589998836884279,0.10753059200762796,0.10735101065714582,0.10712070634558127,0.10692477071798094,0.10686933258366942,0.1072343327104347,0.10676810627060783,0.10527225207553118,0.10520975918940802,0.10516654452204068,0.10555832572932529,0.10501545205595511,0.10448286638345605,0.10466878250663339,0.1047926036697617,0.10561953656266714,0.10593231687654572,0.1058927405239469,0.10617213547572715,0.10596744464719714,0.10660458897814996,0.1068715128963292,0.10674942462707201,0.10651384585173626,0.10642156977657374,0.10671717925108862
4,0.0,0.15149094653891773,0.15296538882526406,0.16340912873754765,0.15169301405437402,0.14823141469113485,0.15167830048112127,0.15115675246752044,0.15279019251671652,0.15586922397388395,0.15653172422497477,0.15544536093143124,0.1548633347137398,0.15575309541308724,0.15580291875424054,0.15408374398467256,0.1535879877989789,0.15285114807702938,0.15202204462637567,0.15240190528575032,0.15429390702917245,0.15485534054476136,0.15354260356945004,0.15118685671291832,0.15223004979770924,0.1524664715966688,0.15226077970412863,0.15184333187774227,0.15150210249754792,0.15192861454036616,0.15090888154479448,0.15022727871361977,0.14990142548365368,0.14958149537886123,0.14925728252917977,0.14956659091822933,0.14926748703246243,0.14957946883649104,0.1490370677786257,0.14864535311851884,0.14905146318176637,0.14966898136209789,0.14971952136059893,0.15044910198014877,0.14992727557089833,0.14965193716252073,0.14957065634040492,0.1495329629851368,0.1494441229935817,0.14884891568142242
5,0.0,0.1765204526483892,0.1740024354998813,0.18234305341745227,0.17919577646595322,0.18853296879718162,0.19234415452176182,0.19388567641858245,0.19740157138360837,0.19489428992052488,0.19358599309079136,0.19268291971138424,0.19200409260724444,0.19149081460740117,0.18850331688707284,0.18739287383066744,0.18782142978710434,0.19087157744532446,0.19137398538576902,0.1905117124215079,0.18904874753257425,0.1891287591364507,0.18776616105672989,0.18871291875375062,0.18988826560192396,0.18900037484804438,0.18842289637647644,0.1883213885275414,0.1867659838159258,0.18622126247220439,0.18565719184443072,0.18604814541887413,0.1859691901158937,0.18619216536393493,0.1862782399929584,0.186395422155673,0.1845456563465634,0.1846835100441078,0.18517255004982297,0.18587100574697402,0.1858194631768832,0.18676791304117915,0.18682223511227802,0.18756019574377603,0.18770503361804852,0.1874488142329562,0.1871975821000378,0.18699332638068875,0.18685764930054366,0.1869371964181311
6,0.0,0.2290342723374803,0.2389467838622826,0.2296956318014607,0.23566626379477118,0.2313953620874172,0.23702396157838965,0.2381573457211621,0.23874100278409147,0.2412796929927592,0.24109481689049936,0.24075163617270448,0.2408758947775562,0.24120044358450127,0.2406468195187707,0.24330975048771855,0.24363472580089482,0.244752732480661,0.2460446636673016,0.2445060269786382,0.24041953837139446,0.24010697607607479,0.23852656149365986,0.2363322837037823,0.23597600613665567,0.2363614194909445,0.2339236566318172,0.23399616520477226,0.23424422602372555,0.23321881919180554,0.23215214728276787,0.23164410658653548,0.2305721833994171,0.23028470608522614,0.22974574600709355,0.23054902005434713,0.23045742011702064,0.22988059053179863,0.22940585541777028,0.22957769858782268,0.22894934594417052,0.22988433603086394,0.2299668180527777,0.23066677183131307,0.22976161345271354,0.2301801138695598,0.23014315607395516,0.22966626866460596,0.22974782902860147,0.22948492460050698
7,0.0,0.24311779989529567,0.2569126757357118,0.2614443542404197,0.2692343052822461,0.2599922413939593,0.2601781954520609,0.2622175215664646,0.25658665427329597,0.25284276222973917,0.2567632138670893,0.2531529927956237,0.2533175376272139,0.26027769214113183,0.26264479026820475,0.2640672248737146,0.26224969849401625,0.26235441649341684,0.26293000140922257,0.2620713688181382,0.2644024818995432,0.2653964239868357,0.26695842233630435,0.27004777355734794,0.2695620403851367,0.2697865716420042,0.2693114471172968,0.26983386760059,0.2706754188027015,0.26914964938362607,0.2677396888626046,0.26855092655367707,0.26761003989180565,0.2654935946860986,0.2640344267680476,0.26389730302910164,0.26308324778683695,0.2625311684020196,0.2614461102538154,0.261375837788447,0.26221039634563237,0.2617542426992059,0.2621296722635904,0.2622054098351667,0.26376136437648495,0.2638510554350992,0.26418872893364675,0.26370835838786155,0.26370617352566084,0.2640731883674483
8,0.0,0.27006679095222025,0.32521745104133687,0.3217665794431406,0.3077897751971541,0.3015331836226099,0.3018341218683495,0.3072019367771893,0.31249981810388094,0.3081236289032252,0.31368193726976107,0.31493277440382583,0.3135155944229178,0.3102516404249399,0.3068447929042891,0.30682288807126007,0.30764995516994803,0.31134445114239095,0.31139761931968263,0.3117894451688737,0.312462217904227,0.3134322216753581,0.3148949017822893,0.31410677536143367,0.3151317840710958,0.313465370340051,0.31501840984062035,0.31434935118905166,0.31355322816216624,0.3155411210686299,0.31393055722208074,0.3129600526355414,0.3124739710017471,0.31204891706147075,0.3110920368294493,0.31038580740763105,0.30963338824618214,0.3103806228755892,0.3110092953919463,0.31030258576469005,0.3110053841141767,0.31056177179951316,0.31021856118437674,0.31009363165792103,0.3112405685910666,0.3117005487262018,0.3127860687252516,0.31294970497272445,0.31378862300220256,0.3146379349386754
9,0.0,0.2993631053805607,0.2994748897509949,0.2958792984087727,0.31344750191600024,0.3188221118039894,0.3166096651920341,0.3222901142644488,0.3262808055170708,0.32896696435226935,0.3324773797823987,0.33605797373820606,0.34011344897863593,0.34312773207577224,0.3414359753995645,0.3430440610533003,0.34304648146330186,0.3427321874965178,0.3436554030668647,0.34232021700046866,0.34096231801859833,0.3387346575840411,0.3395415355843431,0.3401234534558662,0.3411591082564307,0.3405108328019293,0.34013551851194546,0.3431517866444055,0.3433607014222669,0.3436580290436701,0.34397244436395863,0.3445276309370444,0.34564605308894175,0.34592184767020784,0.34519062344792717,0.34658813960625534,0.34814405827865075,0.34941067908982537,0.34946772962209055,0.3475511655653851,0.3467849008381765,0.347189733380029,0.3476268719775575,0.3474275879409191,0.34749665184836953,0.3477528243494969,0.3472667889630762,0.3474551932509037,0.34983647061620604,0.3490525365124693
10,0.0,0.37876443324453163,0.4441016842130559,0.5534138051462666,0.5134521005202768,0.48335437743423937,0.46865045220481616,0.4565297839495836,0.44719050223689544,0.43680608345859395,0.4338108691521409,0.42839516058849547,0.42927225656394047,0.4228543772369279,0.4173298596222928,0.41771892539811095,0.42714111623775974,0.4253169523630338,0.4245228939433928,0.426662346654397,0.42697329138127493,0.4263171401222451,0.43295409377213917,0.4445507388416331,0.4472209520946445,0.44899975075058113,0.45714330286218924,0.4600529249988499,0.46368022429928457,0.4784175002884538,0.47728256018269066,0.47700893436392555,0.47457548119268866,0.4735574919579944,0.47264800976744714,0.4717929371843373,0.46987706377040334,0.47856888066458464,0.4792542873114491,0.48809940660952156,0.48639899149577337,0.48695214793954844,0.4914358701582965,0.4881629354503715,0.48734899713817664,0.4879924860157351,0.489459075899864,0.4872878653568857,0.48497753787804426,0.48423696262415616
