SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,154.0,154.0,183.0,183.0,208.0,208.0,168.0,168.0,188.0,188.0,182.0,182.0,207.0,207.0,192.0,192.0,179.0,179.0,181.0,181.0,220.0,220.0,199.0,199.0,188.0,188.0,205.0,205.0,208.0,208.0,190.0,190.0,212.0,212.0,169.0,169.0,185.0,185.0,185.0,185.0,207.0,207.0,191.0,191.0,178.0,178.0,186.0,186.0
2,200.0,200.0,197.0,197.0,191.0,191.0,208.0,208.0,214.0,214.0,197.0,197.0,193.0,193.0,178.0,178.0,219.0,219.0,184.0,184.0,195.0,195.0,175.0,175.0,174.0,174.0,188.0,188.0,209.0,209.0,182.0,182.0,219.0,219.0,219.0,219.0,176.0,176.0,189.0,189.0,186.0,186.0,210.0,210.0,183.0,183.0,174.0,174.0,191.0,191.0
3,0.0,0.0,165.0,165.0,220.0,220.0,192.0,192.0,220.0,220.0,197.0,197.0,174.0,174.0,221.0,221.0,191.0,191.0,206.0,206.0,211.0,211.0,205.0,205.0,209.0,209.0,224.0,224.0,217.0,217.0,215.0,215.0,232.0,232.0,206.0,206.0,186.0,186.0,169.0,169.0,196.0,196.0,224.0,224.0,215.0,215.0,168.0,168.0,209.0,209.0
4,234.0,234.0,146.0,146.0,210.0,210.0,194.0,194.0,207.0,207.0,227.0,227.0,219.0,219.0,210.0,210.0,226.0,226.0,204.0,204.0,198.0,198.0,272.0,272.0,213.0,213.0,203.0,203.0,219.0,219.0,186.0,186.0,213.0,213.0,212.0,212.0,193.0,193.0,199.0,199.0,199.0,199.0,199.0,199.0,203.0,203.0,229.0,229.0,209.0,209.0
5,0.0,0.0,201.0,201.0,197.0,197.0,216.0,216.0,252.0,252.0,213.0,213.0,261.0,261.0,205.0,205.0,232.0,232.0,211.0,211.0,213.0,213.0,254.0,254.0,238.0,238.0,247.0,247.0,213.0,213.0,250.0,250.0,228.0,228.0,269.0,269.0,214.0,214.0,237.0,237.0,254.0,254.0,239.0,239.0,241.0,241.0,232.0,232.0,239.0,239.0
6,261.0,261.0,223.0,223.0,214.0,214.0,156.0,156.0,230.0,230.0,264.0,264.0,244.0,244.0,246.0,246.0,270.0,270.0,236.0,236.0,226.0,226.0,258.0,258.0,265.0,265.0,215.0,215.0,248.0,248.0,237.0,237.0,212.0,212.0,219.0,219.0,224.0,224.0,259.0,259.0,230.0,230.0,228.0,228.0,205.0,205.0,227.0,227.0,237.0,237.0
7,0.0,0.0,209.0,209.0,260.0,260.0,255.0,255.0,222.0,222.0,208.0,208.0,257.0,257.0,205.0,205.0,259.0,259.0,269.0,269.0,219.0,219.0,261.0,261.0,245.0,245.0,215.0,215.0,191.0,191.0,244.0,244.0,249.0,249.0,241.0,241.0,231.0,231.0,242.0,242.0,183.0,183.0,272.0,272.0,264.0,264.0,255.0,255.0,239.0,239.0
8,256.0,256.0,260.0,260.0,234.0,234.0,257.0,257.0,248.0,248.0,233.0,233.0,211.0,211.0,267.0,267.0,259.0,259.0,260.0,260.0,190.0,190.0,242.0,242.0,243.0,243.0,262.0,262.0,248.0,248.0,253.0,253.0,183.0,183.0,218.0,218.0,273.0,273.0,219.0,219.0,218.0,218.0,275.0,275.0,233.0,233.0,260.0,260.0,205.0,205.0
9,0.0,0.0,233.0,233.0,259.0,259.0,239.0,239.0,165.0,165.0,213.0,213.0,245.0,245.0,263.0,263.0,259.0,259.0,215.0,215.0,228.0,228.0,236.0,236.0,241.0,241.0,230.0,230.0,260.0,260.0,226.0,226.0,278.0,278.0,247.0,247.0,198.0,198.0,248.0,248.0,229.0,229.0,235.0,235.0,217.0,217.0,252.0,252.0,248.0,248.0
10,223.0,223.0,243.0,243.0,200.0,200.0,230.0,230.0,245.0,245.0,278.0,278.0,198.0,198.0,238.0,238.0,255.0,255.0,273.0,273.0,244.0,244.0,255.0,255.0,288.0,288.0,244.0,244.0,280.0,280.0,281.0,281.0,207.0,207.0,247.0,247.0,248.0,248.0,285.0,285.0,302.0,302.0,280.0,280.0,246.0,246.0,212.0,212.0,206.0,206.0
