SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,22.0,0.0,0.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,27.0,4.0,0.0,0.0,18.0,0.0,15.0,13.0,0.0,33.0,0.0,0.0,0.0,6.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,42.0,15.0,26.0,56.0,15.0,0.0,21.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,9.0,2.0,0.0,18.0,0.0,0.0,0.0,11.0,35.0,27.0,32.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,23.0,45.0,38.0,0.0,0.0,0.0,10.0,36.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,32.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,27.0,0.0,46.0,0.0,4.0,7.0,8.0,52.0,11.0,16.0,3.0,10.0,37.0,0.0,18.0,16.0,0.0,0.0,54.0,0.0,0.0,10.0,22.0,28.0,15.0,48.0
13,0.0,28.0,17.0,0.0,2.0,29.0,25.0,27.0,19.0,10.0,1.0,10.0,18.0,30.0,40.0,37.0,0.0,0.0,0.0,0.0,23.0,0.0,15.0,34.0,38.0,10.0,8.0,25.0,0.0,32.0,15.0,15.0,22.0,40.0,0.0,9.0,28.0,13.0,52.0,44.0,34.0,33.0,47.0,42.0,32.0,20.0,1.0,22.0,41.0,7.0
14,0.0,0.0,6.0,0.0,49.0,31.0,45.0,17.0,22.0,13.0,12.0,22.0,29.0,51.0,32.0,0.0,25.0,50.0,21.0,55.0,26.0,6.0,24.0,55.0,8.0,8.0,34.0,11.0,34.0,53.0,40.0,40.0,5.0,49.0,23.0,16.0,20.0,31.0,27.0,56.0,34.0,0.0,20.0,17.0,31.0,42.0,36.0,41.0,34.0,18.0
15,0.0,0.0,27.0,39.0,47.0,20.0,16.0,0.0,10.0,14.0,3.0,31.0,31.0,38.0,28.0,11.0,50.0,51.0,38.0,0.0,12.0,21.0,6.0,4.0,37.0,25.0,49.0,41.0,45.0,4.0,8.0,30.0,23.0,41.0,60.0,16.0,0.0,37.0,40.0,0.0,24.0,35.0,49.0,0.0,4.0,36.0,0.0,12.0,0.0,29.0
