SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.034037754989681576,0.031644052305140835,0.03105152176693006,0.03158582818835922,0.031617861869750345,0.031693812143781586,0.03394108062293211,0.03471609827292431,0.033252886356264486,0.03471091829504705,0.03413762941014604,0.03340944972138062,0.03275972324623993,0.03288277408541737,0.032927119639657484,0.03239716506839414,0.03183231635533515,0.03166146436105086,0.032469326814453005,0.03295408398229705,0.03266674381867502,0.03314394185146092,0.03318045080168219,0.0334844003658739,0.03350428506677336,0.03343896516378907,0.03375017149641264,0.03370516874111125,0.03374069448374812,0.03379062555440209,0.03367185807046809,0.03413366148327301,0.03392518365684228,0.03421191504579182,0.03425105011675496,0.03431011981637089,0.034085023139829446,0.0341200111986716,0.03408663739099287,0.0338455820734453,0.03376013224577424,0.03388754700824351,0.034199626976072185,0.03474977560662221,0.03486025282257893,0.03504095034292981,0.03493777133530432,0.034893978925883945,0.03506428524252966
2,0.0,0.08513666094652735,0.07414571983062469,0.07526138442085767,0.07252988539731908,0.07715012975351192,0.07251715177288924,0.07767023962799807,0.07584431034966854,0.07486505588956328,0.0767658312896677,0.07725306349958197,0.07717967573588959,0.07789622598141917,0.07781558201797795,0.07771190952371258,0.0758997917941927,0.0741199464649617,0.07433173007605527,0.07413482372657824,0.07448636319261678,0.07475193511567563,0.0749829706671798,0.07519369175802924,0.07426954631169436,0.07491499552619901,0.07590830729809775,0.07553936448386575,0.07571917426704505,0.07581065345570841,0.07598355463262005,0.0763722701773987,0.0765289027010117,0.07607703641542324,0.07556793993063068,0.07539114790383257,0.07522075292579682,0.07483225861371559,0.07565385101324626,0.07615241976454694,0.07552231239822782,0.075422531555768,0.07544233951646218,0.07550318797428007,0.07532215812616597,0.07620327369194917,0.07657957559378015,0.07668995566173506,0.07664722163510962,0.07686434738370658
3,0.0,0.10567799273305495,0.1114334967169117,0.10971260084049697,0.10946773929284821,0.10854082477909005,0.11183691854150274,0.11187450725009254,0.1096818262730522,0.10689441629018862,0.10754397655444119,0.10822632984684062,0.10910725095107301,0.11035184746959038,0.11169336524609677,0.11023711937272075,0.110138115607103,0.10888590614400667,0.10875123803892144,0.10887949724414096,0.11007278403443962,0.11122482667122364,0.1105603363376268,0.11061763201683855,0.11098035909596422,0.11084523554898539,0.11102299988615506,0.1116493109356673,0.11098710709296594,0.10967888735813075,0.10990862028360339,0.1098180214625497,0.10960964689056915,0.11018697760367262,0.11036058152960686,0.11070679745661342,0.11068962278256196,0.11101263698656484,0.11112764933588902,0.11076164613981648,0.11081020185764755,0.11126708985873084,0.11102617729954226,0.11153777996504545,0.11165037172710587,0.11107484902566694,0.1117854411755536,0.11208209693879849,0.11237215055619831,0.11198424876089919
4,0.0,0.16205267306745924,0.15360836586224083,0.15643885793569404,0.1585147561243207,0.15881689525760573,0.1557841448842122,0.15421223299118417,0.15120544196735936,0.14852612641642227,0.14933215550160645,0.1489264898395069,0.14815880873626752,0.1429567802500862,0.1412897373460852,0.14227933388009634,0.14171817306891923,0.14001178489003166,0.13996168816610483,0.13957739218870632,0.1404120196189545,0.14122628699443207,0.14170667010499394,0.1402792837832298,0.14185339412506384,0.14245828421482643,0.14162798136966073,0.14164740552560598,0.1410558420468517,0.14216178125810314,0.14404544892812254,0.14391443338155369,0.1433227509394638,0.1433740028768443,0.14390470138896946,0.1442661767913428,0.14456356573326168,0.14457702563848204,0.1447505659350806,0.1449102045165188,0.1443946840285806,0.1445371510479682,0.14424570762900832,0.14422184961252216,0.14408057275807465,0.14516542358915213,0.14488663605120744,0.1446843272719423,0.14512793491426823,0.14468283402973225
5,0.0,0.20752546675829475,0.1968169919483569,0.18325931903278542,0.18619870619982348,0.18142553705682649,0.18119295669460184,0.18251889438987523,0.1781072541150888,0.1773873470443264,0.17929138738818534,0.1794797068121208,0.17982565035215745,0.18409838370032544,0.18421853793607373,0.18446522732714765,0.1858087333520184,0.18689735032530871,0.18670526084871705,0.18704192690211244,0.1885316026287119,0.1896853255000568,0.19051163197634224,0.1902234821000985,0.19042914310319908,0.19017225066967805,0.19053699909504138,0.19052867991378417,0.19016354846656716,0.19004679567065602,0.19030352968660075,0.19107933337455116,0.19079177619489346,0.18992491858897587,0.1896713013824526,0.18936437875882722,0.190045535364924,0.1894831161050438,0.1891988339305138,0.18757348695874562,0.187353429724981,0.18669509735692083,0.18599716460301094,0.1853347495930785,0.1849856298535353,0.18570895934821086,0.18618160241630172,0.1856736862433603,0.1859113731561981,0.18614271916840397
6,0.0,0.2706457064849783,0.25193437479150455,0.2453832872397983,0.2369573001368002,0.23157481498877056,0.2383433221373359,0.24006595603255393,0.24080363728106902,0.23603325616531254,0.2355750505382325,0.23506575445217473,0.23317381748055116,0.23415591794836943,0.23469475565780273,0.2356144408784734,0.23465533649343776,0.23298125110349266,0.23334872147669333,0.23403228645222596,0.23276965728646565,0.23173549859500653,0.2346769039305608,0.23521690102947035,0.23608848485361073,0.2357930447068331,0.23642113484608915,0.23703160074209906,0.23670389756480925,0.236048617703642,0.23602095467686435,0.236020790707093,0.23524840297458827,0.23418716633348424,0.23487654757759088,0.23454694787253116,0.23386243345827115,0.23299154022072563,0.23281873823339086,0.23301350469789753,0.23261663506358757,0.23330141769958287,0.2328425022367566,0.2329140218162423,0.23342712791406206,0.23335797968808997,0.23328245820143373,0.2327553883019594,0.23378367096533076,0.2334718163058426
7,0.0,0.23687037105414022,0.2635679084558907,0.2676599470389125,0.27235672691547735,0.2749776156630883,0.2755841535523609,0.27310599447284384,0.2712272790525146,0.26992621416364204,0.274563512841559,0.2757546483247052,0.2749516825646484,0.2712521461283124,0.2665004233302316,0.26535132828691216,0.267459834729652,0.26992855369295465,0.2672698419369897,0.2693173305721975,0.2702974621837595,0.26846526375097196,0.2694133202757546,0.2686097159270607,0.2688884349197975,0.26782940473055805,0.2681352588260577,0.26865754459019175,0.26661077006638134,0.2670019819320693,0.2668982599107774,0.266938371514575,0.2648302824326775,0.26518631498546696,0.2653641510834503,0.26395954501878816,0.2641528153443032,0.2639248906603597,0.2649316586189037,0.26622290884238176,0.2665806000301762,0.26731605023692745,0.2660964843930133,0.2661043559726222,0.26503838038050787,0.26524951016125076,0.26467256349874,0.2650866218335462,0.26490306913025197,0.2647069395329251
8,0.0,0.2620226925250422,0.2949671593177917,0.27857042322620146,0.2746268554188598,0.28677140792509065,0.28247579911795745,0.28392470293263333,0.2848175207513257,0.28539969526396824,0.28973928804053106,0.3397082281546011,0.38071184858382845,0.3914313701519865,0.39065430539443696,0.3858091329394172,0.3801492059019974,0.3790157498982634,0.3766169672048114,0.3734706267971294,0.37079349726425465,0.36598306438328976,0.36433419548325563,0.3611685086231645,0.36018140688199624,0.35898107621676556,0.35942855930259804,0.35603252848349326,0.35436261153173937,0.35325855485187996,0.35294628910533155,0.3500934249717366,0.34809475606578144,0.3467663027866413,0.3461229518767891,0.34581479931687853,0.3461432048496284,0.34276799564359145,0.34149524906240797,0.3404657058399052,0.3388974585719547,0.3375493912291007,0.3366043789761608,0.33525168586898846,0.3348818425812123,0.3336485466849353,0.33310424186109283,0.333821229797303,0.33245329482256386,0.3319613904231675
9,0.0,0.34105295727505947,0.3301879153366281,0.3314382999324121,0.32526210987989623,0.38086083332408305,0.41141761027159635,0.4064137933950982,0.4176618364647555,0.41693575469708954,0.41129305651822085,0.4134587487603339,0.4074373792508383,0.400773388187959,0.39384563653571436,0.38919402259210956,0.3968166598266354,0.3929400080742623,0.3934576304848793,0.39068606208469253,0.38938481830986893,0.3860846151503788,0.3840772871432072,0.3833407455136553,0.38324406492970636,0.38023505888431497,0.380089946354692,0.3790569808288528,0.38089498326920207,0.37957080894352,0.3773484864352388,0.38285860429223023,0.39084394421678226,0.4093032186344556,0.41412793933240305,0.41986693439823597,0.43598174177606286,0.43932895672051864,0.4416756715589252,0.4496753745889125,0.46343349022418967,0.4683254128705655,0.47899287895077514,0.4874504104359399,0.4908758639008894,0.491015441399138,0.49724532852757325,0.5069962234959206,0.5157775757108924,0.5245981482610802
10,0.0,0.384117124418403,0.3574669336494537,0.38845824248776595,0.4222485092862582,0.5377988074290065,0.5694369842043797,0.5380825977270727,0.5323590593721552,0.5189896175322608,0.506849969085722,0.4980693870030747,0.5324760295602109,0.5684394119017331,0.5830990942333394,0.5959516810404121,0.5999143464051837,0.5893559433503072,0.6031601823708062,0.5969493450362424,0.5947151361484787,0.6140144153795034,0.6315592146804351,0.6475783792595466,0.6606103901565441,0.6614289960406838,0.6725204432052836,0.6663222370545058,0.6698167477362748,0.681202377124679,0.6918289645538562,0.6871153143857573,0.6949116234507337,0.6940069091766577,0.6926724756206126,0.7014532620314523,0.7097462269750231,0.7163790962506118,0.7201208053719272,0.7226136423996454,0.7295483013396543,0.7306884538834896,0.7342959628476778,0.7332027448422664,0.7354549215420619,0.7395732846517334,0.7396453368205341,0.733306048878066,0.7308472445788281,0.7234743985627583
11,0.0,0.46867936713334485,0.6693957145170186,0.7775741112845225,0.8295199122661743,0.8325667780127102,0.7758502113148824,0.7991893895211465,0.8242907158310031,0.8438139696275584,0.8594325726648026,0.8370637658276024,0.8506417853419689,0.8421165051631525,0.8350674881609751,0.8190591201293075,0.8199357077919914,0.7959062371073172,0.8044424255304683,0.8147349294499174,0.8239981829774216,0.815149665891766,0.8123032812516928,0.8189295006867332,0.8107783223354113,0.7976756665721381,0.7843282669398686,0.7813108868438774,0.7889095971045743,0.7961885765147615,0.8014987377289248,0.8076943515581918,0.8137039030719984,0.8188205964446346,0.8175255466877055,0.8129674655376359,0.8170314940806348,0.8219765888352122,0.8129858560712898,0.8106268358377712,0.8022986777803129,0.8022433114152305,0.8069518040005823,0.8009686816711157,0.805492120724045,0.8081548949819393,0.802868966732645,0.8067400044677231,0.8100942324176305,0.8057309720947783
12,0.0,0.5047473978040857,0.5962322934231533,0.730821528948769,0.7978355794665642,0.8268029625461748,0.8556691354551453,0.8585944287412699,0.8345544005372443,0.8529372449219949,0.8605252886805628,0.8710177771315504,0.8669938118453022,0.8772250570879713,0.8837737188365453,0.8915221375807757,0.8983020039819771,0.9042842390418608,0.9096017813173131,0.9143595823006124,0.9186416031855816,0.9212706606737125,0.9248492670067254,0.9230075732502391,0.9262155910314791,0.9283888797822426,0.9311431536367717,0.9336934072057803,0.9349719584862396,0.9253835113407535,0.9250481151993183,0.9253510655946652,0.9258937022291717,0.9240291396997271,0.9258820273112595,0.9270531904054473,0.9290794906719626,0.9309962611943422,0.9328121490576489,0.9345349144664271,0.9361715416047663,0.9377283332729428,0.9392109920045393,0.9406246898648991,0.9419741287316059,0.9432635925375701,0.9444969926997968,0.9434165078695117,0.9445953306222303,0.9448147745812862
13,0.0,0.7304358054881699,0.865217902744085,0.9101452684960566,0.9305119127521162,0.9170692320275905,0.9220656877231773,0.9331991609055804,0.941549265792383,0.9480437918154516,0.9532394126339064,0.957490375121733,0.9610328438615886,0.9640303174106972,0.9665137380228972,0.9650676054288587,0.9672508800895552,0.9691772989078166,0.9708896711907156,0.9724217937596253,0.9737804488506435,0.9750289989053749,0.9761640444096761,0.9772003903049076,0.9781503740422031,0.979024359080515,0.9798311145004952,0.9800460353319725,0.9807586769272592,0.9797675011923526,0.9804419178192741,0.9810728236960718,0.9813141580611383,0.9818803956956493,0.9824133252340126,0.9829158016558979,0.9767393781324876,0.9681882686005259,0.9673500466864537,0.9681872249765445,0.9689825443521309,0.9638381690659142,0.9631847593281694,0.9640409277158863,0.9648581793587071,0.9656391087062913,0.9663860846039808,0.9671012742932578,0.9677866644121482,0.9683333401608973
14,0.0,0.8498464443769845,0.9185798214742199,0.9457198809828132,0.9592899107371099,0.9674319285896879,0.9728599404914067,0.9767370918497772,0.9796449553685549,0.9819066269942711,0.9837159642948441,0.9851963311771308,0.9864299702457033,0.9874738186883415,0.9794110100834084,0.980783609411181,0.9819846338229823,0.9830443612451598,0.983819560821408,0.9846711628834393,0.9854376047392672,0.9861310521326354,0.9863751241972676,0.9831120565842222,0.9838157208932128,0.9844630920574844,0.9850606654398889,0.9856139741273003,0.9861277607656111,0.986606113842659,0.9870525767145704,0.9867064503187246,0.9867177673488666,0.983703382186864,0.9841826944754859,0.984531066511743,0.9836580441133198,0.9805987680442158,0.974786797994595,0.9754332903537081,0.9760474580948653,0.976631666434015,0.9771880553284432,0.9777185656696421,0.978224961904423,0.9787088516398802,0.9791717026911873,0.9796148579530768,0.9800395484123878,0.9804469045672369
15,0.0,0.7714904666522598,0.8857452333261299,0.9238301555507533,0.9383153548282642,0.9506522838626112,0.9588769032188427,0.9647516313304367,0.9691576774141321,0.9725846021458953,0.9753261419313057,0.9775692199375506,0.9794384516094214,0.9778840000683711,0.9794637143492018,0.9808328000592548,0.9820307500555515,0.983087764758166,0.9840273333827123,0.9848680000467802,0.9856246000444411,0.9863091428994677,0.9846449036504707,0.9853125165352327,0.9859244950129314,0.9864875152124141,0.9870072261657827,0.9874884400114946,0.9879352814396554,0.9883513062175983,0.9887395960103451,0.989102834848721,0.9894433712596984,0.9897632691003138,0.9900643494208927,0.9903482251517244,0.9906163300086208,0.9908699427110905,0.9911102073765883,0.9913381507771885,0.9915546970077588,0.9917606800075696,0.9919568542931035,0.992143904193264,0.9923224518252353,0.9924930640068969,0.9926562582676164,0.9928125080917096,0.9929622475064654,0.9931058751083746
16,0.0,0.9103297033467063,0.9382769875015198,0.958851325001013,0.9691384937507599,0.9753107950006079,0.9788598644914117,0.9815843510868603,0.9838863072010027,0.9856767175120025,0.987109045760802,0.9882809506916383,0.9892575381340017,0.9900838813544631,0.9907921755434301,0.9914060305072014,0.9919431536005013,0.9924170857416483,0.9928383587560012,0.9932152872425274,0.9935545228804011,0.9938614503622868,0.9941404753458192,0.9943952372873052,0.9946287690670009,0.9948436183043208,0.9950419406772316,0.9952255725040007,0.995396087771715,0.9955548433657939,0.9957030152536006,0.9958416276647749,0.9959715768002506,0.9958993436360194,0.9960199511761364,0.9961336668568183,0.9962410649996845,0.9963426578375307,0.9964389036839115,0.9965302138458625,0.996616958499716,0.99669947170704,0.9967780557140152,0.9968529846508987,0.9969245077270147,0.9969928519997475,0.9970582247823618,0.9971208157444391,0.9971807987497633,0.9972383334691558
17,0.0,0.882641441351932,0.9413207206759661,0.9608804804506441,0.9706603603379831,0.9765282882703864,0.980440240225322,0.9832344916217045,0.9853301801689915,0.9869601601502146,0.9882641441351933,0.9893310401229028,0.9902201201126608,0.9909724185655333,0.9916172458108523,0.9921760960901287,0.9926650900844958,0.993096555373643,0.9934800800751074,0.993823233755365,0.9941320720675966,0.9944114972072349,0.9946655200614515,0.994897453971823,0.9951100600563304,0.9953056576540773,0.9954862092827667,0.9956533867167382,0.9958086229054262,0.9959531531500666,0.9960880480450643,0.9962142400436107,0.9963325450422479,0.9964436800409676,0.9965482776868215,0.9966468983243408,0.9967400400375536,0.9968281470635657,0.9969116168776824,0.9969908061885111,0.9970660360337983,0.9971375961305349,0.9972057486036174,0.9972707311942312,0.9973327600307256,0.9973920320300429,0.9974487269859116,0.9975030093904668,0.9975550300281653,0.9976049273745293
18,0.0,0.9480329432950715,0.9740164716475356,0.9826776477650238,0.987008235823768,0.9896065886590142,0.9913388238825119,0.9925761347564388,0.993504117911884,0.9942258825883414,0.9948032943295072,0.9952757221177337,0.9956694119412558,0.9960025340996209,0.9962880673782194,0.9965355295530047,0.996752058955942,0.9969431143114746,0.9971129412941706,0.9972648917523721,0.9974016471647537,0.9975253782521463,0.9976378610588669,0.9977405627519597,0.9978347059706281,0.9979213177318028,0.9980012670498104,0.9980752941961137,0.9981440336891095,0.9982080325274162,0.9982677647765024,0.998323643332099,0.998376029477971,0.9984252407059113,0.9984715571557374,0.9985152269512877,0.9985564706470851,0.9985954849539209,0.998632445876186,0.9986675113665402,0.9987008235823767,0.9987325108120748,0.9987626891260731,0.9987914637975598,0.9988189305294335,0.9988451765176684,0.9988702813759798,0.9988943179424484,0.9989173529853141,0.9989394478223483
19,0.0,0.9621734579266367,0.9810867289633183,0.9873911526422121,0.9905433644816594,0.9924346915853273,0.9936955763211062,0.9945962082752338,0.9952716822408295,0.9957970508807373,0.9962173457926636,0.996561223447876,0.996847788160553,0.9970902659943567,0.9972981041376169,0.9974782305284424,0.9976358411204148,0.9977749092898022,0.9978985254403686,0.9980091293645599,0.9981086728963319,0.9981987360917446,0.998280611723938,0.9983553677359407,0.9984238940802764,0.9984869383170655,0.9985451329971784,0.9985990169602458,0.9986490520688085,0.9986956364802287,0.9987391152642212,0.9987797889653753,0.9988179205602075,0.998853741149292,0.9988874546449011,0.9989192416550468,0.9989492627201844,0.9989776610250443,0.9990045646822799,0.9990300886647856,0.9990543364481659,0.9990774014128447,0.9990993680458723,0.9991203129750381,0.9991403058619691,0.9991594101761474,0.9991776838679703,0.999195179955886,0.9992119470401383,0.9992280297536049
20,0.0,0.9548591137036035,0.9774295568518018,0.9849530379012013,0.9887147784259009,0.9909718227407209,0.9924765189506006,0.9935513019576577,0.9943573892129504,0.9949843459670671,0.9954859113703605,0.9958962830639639,0.9962382594753003,0.9965276241310463,0.9967756509788288,0.9969906075802403,0.9971786946064751,0.9973446537472708,0.9974921729835335,0.9976241638791371,0.9977429556851802,0.9978504339858859,0.997948141531982,0.9980373527697219,0.99811912973765,0.998194364548144,0.9982638120655233,0.9983281153223555,0.9983878254894144,0.9984434177139174,0.9984953037901202,0.9985438423775357,0.9985893473032376,0.9986320943546546,0.9986723268736354,0.9987102603915315,0.9987460864917669,0.9987799760460434,0.9988120819395685,0.9988425413770156,0.99887147784259,0.9988990027732586,0.9989252169929429,0.9989502119465954,0.998974070765991,0.9989968691934134,0.999018676384861,0.9990395556107151,0.9990595648688252,0.9990787574225226
