total_num_patients, total_num_ed_patients, total_num_patients_entered,total_num_ed_patients_entered,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab,avg_doctor_utilization_surgery,avg_doctor_utilization_radio,avg_xray_utilization,avg_doctor_utilization_lab,avg_nurse_utilization_lab
14260.0,8323.0,14958.0,11968.0,63.34,197.0,0.0,163.19607843137254,0.004721566449104291,7.217318900915903,0.18567860116569526,1.3080766028309743,0.0,0.018318068276436304,0.0,122.16466768835313,14.641543004979704,0.6979920232582147,0.6337227644252965,0.033821132423036096,50.00797235172986,279.6078431372549,0.0,0,0,0,0,0.18567860116569526,0.7612660372150927,0.8436343171968336,0.7597745996142081,0.19349305817782367,0.6092362831431849,
14869.0,8389.0,15596.0,12124.0,60.18,198.0,0.0,164.49019607843138,0.0870712401055409,4.4529558701082435,0.23397169025811823,1.0624479600333057,0.0,0.009991673605328892,0.0017461135982160124,123.86396484365576,0.0,0.6950533746430745,0.5253960080954009,0.6305822742835947,36.00752309927605,291.54901960784315,0.0,0,0,0,0,0.23397169025811823,0.7567860340278727,0.8140079493979633,0.7175579032834274,0.208620322602028,0.6417305020649163,
15189.0,8356.0,15921.0,11922.0,66.44,194.0,9.0,163.84313725490196,0.3064852103874462,8.905079100749376,0.43297252289758537,1.3388842631140716,0.0,0.025811823480432972,0.009610030431221106,121.01258143644768,61.15397253965045,0.6938658601737244,0.49517334352187986,1.980657271055161,55.580204400338374,297.8235294117647,1.0,0,0,0,0,0.43297252289758537,0.7509836525079276,0.8644189668352692,0.7833692960184129,0.218749177433605,0.6868655593931556,
15746.0,8288.0,16455.0,11896.0,61.41,191.0,0.0,162.50980392156862,0.006388001666435218,4.333055786844296,1.2464612822647794,0.9600333055786844,0.0,0.049125728559533725,8.823139807735977E-5,119.08225825990752,0.0,0.6796849192600362,0.5176943208003051,0.044592774578928615,37.27923388372005,308.7450980392157,0.0,0,0,0,0,1.2464612822647794,0.7380762410653537,0.8328385289333506,0.6882693037382785,0.24032738398153555,0.7531677943805605,
16205.0,8378.0,16942.0,12003.0,65.52,228.0,0.0,164.27450980392157,0.023330093042632966,4.2681099084096585,0.7901748542880933,0.8925895087427144,0.0,0.07660283097418817,3.767305989412567E-4,120.86068345833475,178.40394903120315,0.674488823245409,0.7194484254350291,0.16536360535775121,35.39750792792211,317.7450980392157,0.0,0,0,0,0,0.7901748542880933,0.7237860594240882,0.8346466882584442,0.7146190680289576,0.2546890455202624,0.7629345720213293,
16546.0,8186.0,17291.0,11731.0,60.06,206.0,2.0,160.50980392156862,0.1260935981113734,5.206494587843464,2.9508742714404663,0.8051623646960866,0.0,0.020815986677768527,0.003609812740224898,122.93862140226207,134.22761571021195,0.6865788440406199,0.606439427974667,0.8840837368407403,47.26320971675373,324.4313725490196,0.0,0,0,0,0,2.9508742714404663,0.7772736609506302,0.801014326817266,0.6776110724653899,0.25977059355983523,0.8117626795511463,
17220.0,8482.0,17975.0,11963.0,57.56,198.0,0.0,166.31372549019608,0.11040133314817387,8.334721065778519,3.753538717735221,0.7410491257285595,0.0,0.00832639467110741,0.0025882007251699173,120.74788065144803,0.0,0.6455510198325508,0.5868451925895295,0.7226340012157043,60.37609213547185,337.6470588235294,0.0,0,0,0,0,3.753538717735221,0.7223937628655952,0.8690957390705462,0.8025835933336929,0.27844517777780553,0.8837204386191637,
17717.0,8423.0,18464.0,11925.0,56.96,225.0,18.0,165.15686274509804,1.0019441744202193,11.684429641965028,9.261448792672773,0.6661115736885929,0.0,0.02997502081598668,0.02873649040385093,125.17405333135201,0.0,0.6520874489808124,0.6275517897323469,6.42380607724203,94.46817203699536,347.3921568627451,4.0,5,0,0,0,9.261448792672773,0.7398573475559407,0.8298281295538966,0.74128074566539,0.28542377813740566,0.9278841304474734,
18122.0,8402.0,18830.0,11979.0,49.75,196.0,1.0,164.7450980392157,0.6407443410637411,9.25895087427144,10.294754371357202,0.5054121565362198,0.0,0.017485428809325562,0.017300720719746532,127.57379810978871,0.17708651936579747,0.675428431914155,0.5996367754235782,4.373062089659709,86.71426933545145,355.3333333333333,3.0,0,0,0,0,10.294754371357202,0.727573353678041,0.8704006989236501,0.7873943538090987,0.3015386098224456,0.9249958340290666,
18631.0,8535.0,19537.0,11963.0,36.99,162.0,123.0,167.35294117647058,6.161366476878212,16.60616153205662,19.20399666944213,0.39217318900915904,0.0,0.02497918401332223,0.18205515428923022,145.90366653853812,0.0,0.6255053078344488,0.5076164307437928,37.77276236739419,157.7517824799318,365.3137254901961,19.0,6,0,0,0,19.20399666944213,0.6950743334486382,0.9078987457864656,0.8571083829650471,0.3096671272115583,0.9662673104516327,
