SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,172.0,259.0,267.0,267.0,255.0,269.0,272.0,370.0,224.0,329.0,277.0,305.0,310.0,346.0,267.0,321.0,294.0,370.0,343.0,280.0,263.0,305.0,294.0,337.0,224.0,333.0,261.0,323.0,314.0,274.0,269.0,323.0,317.0,324.0,302.0,301.0,309.0,304.0,262.0,334.0,309.0,265.0,359.0,336.0,308.0,263.0,314.0,340.0,225.0
2,0.0,208.0,251.0,250.0,304.0,301.0,272.0,327.0,326.0,314.0,285.0,296.0,314.0,328.0,286.0,319.0,335.0,309.0,314.0,351.0,336.0,320.0,294.0,301.0,311.0,270.0,329.0,317.0,331.0,307.0,308.0,347.0,297.0,320.0,354.0,298.0,352.0,345.0,284.0,293.0,367.0,334.0,310.0,319.0,309.0,375.0,296.0,322.0,332.0,326.0
3,0.0,220.0,236.0,281.0,293.0,268.0,274.0,340.0,300.0,334.0,304.0,372.0,331.0,317.0,326.0,342.0,339.0,325.0,362.0,383.0,331.0,318.0,321.0,362.0,340.0,288.0,317.0,248.0,324.0,330.0,350.0,333.0,287.0,358.0,281.0,303.0,385.0,323.0,294.0,304.0,343.0,319.0,321.0,346.0,290.0,318.0,371.0,346.0,325.0,356.0
4,0.0,219.0,251.0,268.0,281.0,318.0,282.0,300.0,287.0,371.0,290.0,360.0,336.0,323.0,346.0,338.0,324.0,320.0,329.0,324.0,299.0,324.0,306.0,363.0,315.0,325.0,377.0,358.0,344.0,341.0,378.0,301.0,301.0,366.0,316.0,323.0,346.0,318.0,412.0,350.0,282.0,349.0,313.0,357.0,364.0,344.0,340.0,331.0,391.0,298.0
5,0.0,268.0,277.0,301.0,294.0,263.0,326.0,357.0,310.0,393.0,366.0,334.0,334.0,339.0,350.0,378.0,383.0,342.0,351.0,363.0,342.0,367.0,358.0,319.0,388.0,338.0,294.0,371.0,392.0,339.0,349.0,302.0,316.0,333.0,301.0,317.0,362.0,335.0,346.0,338.0,334.0,323.0,357.0,369.0,341.0,353.0,329.0,339.0,362.0,349.0
6,0.0,227.0,286.0,319.0,286.0,367.0,330.0,339.0,335.0,385.0,317.0,310.0,362.0,353.0,348.0,339.0,339.0,337.0,391.0,387.0,317.0,331.0,362.0,333.0,334.0,362.0,333.0,343.0,339.0,383.0,357.0,327.0,353.0,336.0,323.0,345.0,366.0,360.0,358.0,320.0,313.0,368.0,356.0,356.0,323.0,354.0,326.0,396.0,329.0,319.0
7,0.0,274.0,272.0,315.0,312.0,356.0,312.0,349.0,349.0,362.0,399.0,392.0,391.0,371.0,373.0,352.0,348.0,386.0,389.0,368.0,318.0,376.0,339.0,371.0,398.0,333.0,320.0,416.0,384.0,367.0,344.0,383.0,345.0,347.0,367.0,391.0,378.0,376.0,370.0,368.0,382.0,349.0,360.0,368.0,328.0,364.0,369.0,373.0,363.0,371.0
8,0.0,256.0,296.0,298.0,297.0,363.0,369.0,333.0,353.0,353.0,372.0,355.0,354.0,392.0,362.0,405.0,394.0,376.0,359.0,400.0,332.0,373.0,361.0,415.0,416.0,348.0,390.0,360.0,356.0,372.0,365.0,383.0,363.0,404.0,337.0,396.0,396.0,400.0,425.0,333.0,374.0,420.0,343.0,388.0,385.0,388.0,384.0,347.0,405.0,333.0
9,0.0,292.0,271.0,400.0,313.0,341.0,331.0,398.0,361.0,397.0,431.0,352.0,394.0,369.0,339.0,386.0,384.0,467.0,382.0,373.0,346.0,346.0,398.0,354.0,401.0,356.0,363.0,345.0,396.0,438.0,346.0,386.0,382.0,402.0,360.0,393.0,409.0,398.0,342.0,383.0,373.0,399.0,414.0,384.0,383.0,365.0,354.0,401.0,354.0,436.0
10,0.0,265.0,327.0,341.0,353.0,378.0,397.0,378.0,347.0,395.0,387.0,366.0,362.0,365.0,382.0,369.0,405.0,402.0,397.0,357.0,404.0,431.0,372.0,395.0,404.0,432.0,396.0,361.0,412.0,397.0,409.0,385.0,374.0,374.0,386.0,406.0,371.0,374.0,423.0,386.0,389.0,437.0,378.0,359.0,413.0,396.0,403.0,412.0,435.0,391.0
11,0.0,255.0,357.0,310.0,370.0,420.0,294.0,415.0,372.0,368.0,390.0,413.0,368.0,417.0,403.0,372.0,415.0,433.0,425.0,423.0,425.0,430.0,417.0,389.0,342.0,414.0,437.0,408.0,412.0,392.0,373.0,411.0,383.0,386.0,458.0,369.0,398.0,399.0,394.0,369.0,427.0,442.0,401.0,408.0,366.0,400.0,377.0,436.0,430.0,385.0
12,0.0,237.0,355.0,366.0,394.0,376.0,358.0,398.0,449.0,401.0,403.0,417.0,378.0,394.0,377.0,434.0,349.0,430.0,417.0,367.0,361.0,420.0,380.0,415.0,393.0,396.0,408.0,417.0,407.0,415.0,372.0,470.0,408.0,423.0,440.0,357.0,434.0,419.0,398.0,429.0,402.0,430.0,430.0,409.0,387.0,437.0,394.0,372.0,416.0,446.0
13,0.0,281.0,320.0,362.0,376.0,406.0,397.0,408.0,402.0,371.0,428.0,374.0,358.0,383.0,432.0,368.0,452.0,410.0,411.0,404.0,425.0,452.0,373.0,386.0,464.0,412.0,410.0,428.0,374.0,430.0,367.0,428.0,410.0,404.0,364.0,416.0,364.0,461.0,388.0,389.0,394.0,392.0,433.0,409.0,397.0,461.0,437.0,442.0,428.0,412.0
14,0.0,254.0,351.0,325.0,357.0,363.0,406.0,408.0,361.0,368.0,430.0,403.0,364.0,364.0,411.0,420.0,444.0,436.0,398.0,419.0,384.0,440.0,416.0,420.0,381.0,441.0,404.0,393.0,403.0,432.0,387.0,443.0,464.0,398.0,399.0,473.0,456.0,399.0,415.0,366.0,395.0,389.0,419.0,397.0,417.0,367.0,417.0,377.0,436.0,415.0
15,0.0,284.0,311.0,342.0,349.0,408.0,380.0,435.0,432.0,391.0,387.0,385.0,366.0,384.0,397.0,458.0,407.0,448.0,364.0,435.0,377.0,368.0,431.0,395.0,372.0,440.0,390.0,396.0,447.0,328.0,414.0,386.0,431.0,370.0,433.0,429.0,411.0,430.0,402.0,408.0,430.0,414.0,391.0,389.0,451.0,401.0,434.0,414.0,413.0,398.0
16,0.0,283.0,351.0,385.0,376.0,365.0,413.0,374.0,359.0,387.0,393.0,395.0,399.0,449.0,383.0,361.0,437.0,368.0,374.0,466.0,351.0,407.0,440.0,376.0,366.0,426.0,413.0,407.0,405.0,358.0,399.0,412.0,429.0,351.0,388.0,411.0,394.0,389.0,415.0,404.0,402.0,463.0,377.0,413.0,389.0,397.0,413.0,385.0,415.0,393.0
17,0.0,262.0,277.0,387.0,384.0,411.0,371.0,392.0,394.0,432.0,387.0,339.0,457.0,452.0,397.0,419.0,397.0,489.0,391.0,404.0,384.0,382.0,414.0,420.0,390.0,425.0,435.0,434.0,401.0,416.0,442.0,400.0,451.0,386.0,375.0,429.0,408.0,437.0,377.0,383.0,418.0,419.0,388.0,413.0,369.0,385.0,352.0,387.0,371.0,365.0
18,0.0,277.0,325.0,394.0,435.0,413.0,396.0,403.0,390.0,385.0,394.0,385.0,437.0,425.0,400.0,449.0,378.0,399.0,377.0,368.0,373.0,361.0,394.0,409.0,388.0,414.0,436.0,406.0,401.0,423.0,402.0,437.0,381.0,388.0,384.0,429.0,389.0,424.0,356.0,433.0,365.0,434.0,408.0,414.0,392.0,425.0,382.0,442.0,422.0,402.0
19,0.0,288.0,328.0,371.0,408.0,394.0,370.0,402.0,407.0,367.0,410.0,395.0,401.0,381.0,377.0,426.0,434.0,374.0,420.0,394.0,366.0,415.0,381.0,388.0,415.0,462.0,388.0,383.0,423.0,382.0,403.0,430.0,384.0,437.0,389.0,388.0,401.0,418.0,416.0,398.0,401.0,392.0,397.0,372.0,387.0,418.0,402.0,428.0,436.0,425.0
20,0.0,231.0,390.0,384.0,366.0,380.0,389.0,391.0,378.0,428.0,398.0,408.0,397.0,410.0,366.0,420.0,430.0,419.0,391.0,383.0,399.0,442.0,405.0,418.0,413.0,389.0,430.0,400.0,396.0,410.0,420.0,442.0,355.0,448.0,429.0,371.0,439.0,386.0,367.0,357.0,394.0,368.0,378.0,440.0,419.0,483.0,441.0,402.0,406.0,421.0
