SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,159.0,159.0,182.0,182.0,170.0,170.0,169.0,169.0,172.0,172.0,163.0,163.0,186.0,186.0,182.0,182.0,182.0,182.0,175.0,175.0,156.0,156.0,161.0,161.0,180.0,180.0,187.0,187.0,158.0,158.0,151.0,151.0,199.0,199.0,189.0,189.0,175.0,175.0,188.0,188.0,167.0,167.0,183.0,183.0,166.0,166.0,169.0,169.0
2,212.0,212.0,174.0,174.0,146.0,146.0,193.0,193.0,185.0,185.0,156.0,156.0,183.0,183.0,176.0,176.0,168.0,168.0,181.0,181.0,187.0,187.0,180.0,180.0,185.0,185.0,185.0,185.0,188.0,188.0,178.0,178.0,205.0,205.0,175.0,175.0,185.0,185.0,172.0,172.0,160.0,160.0,177.0,177.0,158.0,158.0,150.0,150.0,169.0,169.0
3,0.0,0.0,141.0,141.0,160.0,160.0,153.0,153.0,173.0,173.0,162.0,162.0,179.0,179.0,168.0,168.0,142.0,142.0,171.0,171.0,200.0,200.0,175.0,175.0,174.0,174.0,185.0,185.0,160.0,160.0,166.0,166.0,187.0,187.0,173.0,173.0,172.0,172.0,147.0,147.0,163.0,163.0,158.0,158.0,177.0,177.0,176.0,176.0,158.0,158.0
4,165.0,165.0,168.0,168.0,175.0,175.0,158.0,158.0,147.0,147.0,167.0,167.0,185.0,185.0,149.0,149.0,182.0,182.0,179.0,179.0,170.0,170.0,156.0,156.0,183.0,183.0,169.0,169.0,194.0,194.0,163.0,163.0,192.0,192.0,174.0,174.0,198.0,198.0,149.0,149.0,188.0,188.0,159.0,159.0,170.0,170.0,158.0,158.0,187.0,187.0
5,0.0,0.0,162.0,162.0,170.0,170.0,168.0,168.0,162.0,162.0,164.0,164.0,145.0,145.0,167.0,167.0,160.0,160.0,153.0,153.0,173.0,173.0,172.0,172.0,172.0,172.0,153.0,153.0,180.0,180.0,172.0,172.0,169.0,169.0,197.0,197.0,181.0,181.0,154.0,154.0,166.0,166.0,147.0,147.0,148.0,148.0,181.0,181.0,179.0,179.0
6,172.0,172.0,176.0,176.0,162.0,162.0,205.0,205.0,159.0,159.0,187.0,187.0,174.0,174.0,174.0,174.0,176.0,176.0,162.0,162.0,178.0,178.0,174.0,174.0,151.0,151.0,172.0,172.0,171.0,171.0,160.0,160.0,187.0,187.0,176.0,176.0,178.0,178.0,167.0,167.0,174.0,174.0,167.0,167.0,173.0,173.0,174.0,174.0,155.0,155.0
7,0.0,0.0,131.0,131.0,171.0,171.0,167.0,167.0,172.0,172.0,189.0,189.0,163.0,163.0,174.0,174.0,172.0,172.0,170.0,170.0,191.0,191.0,170.0,170.0,176.0,176.0,168.0,168.0,187.0,187.0,170.0,170.0,187.0,187.0,158.0,158.0,170.0,170.0,174.0,174.0,159.0,159.0,154.0,154.0,166.0,166.0,163.0,163.0,150.0,150.0
8,170.0,170.0,173.0,173.0,200.0,200.0,175.0,175.0,172.0,172.0,183.0,183.0,133.0,133.0,192.0,192.0,178.0,178.0,201.0,201.0,175.0,175.0,169.0,169.0,179.0,179.0,179.0,179.0,155.0,155.0,186.0,186.0,171.0,171.0,181.0,181.0,138.0,138.0,197.0,197.0,184.0,184.0,155.0,155.0,168.0,168.0,187.0,187.0,184.0,184.0
9,0.0,0.0,154.0,154.0,159.0,159.0,187.0,187.0,162.0,162.0,172.0,172.0,155.0,155.0,162.0,162.0,146.0,146.0,177.0,177.0,152.0,152.0,176.0,176.0,170.0,170.0,170.0,170.0,157.0,157.0,178.0,178.0,171.0,171.0,160.0,160.0,184.0,184.0,158.0,158.0,172.0,172.0,191.0,191.0,169.0,169.0,163.0,163.0,161.0,161.0
10,160.0,160.0,178.0,178.0,176.0,176.0,179.0,179.0,165.0,165.0,159.0,159.0,177.0,177.0,176.0,176.0,153.0,153.0,164.0,164.0,165.0,165.0,149.0,149.0,166.0,166.0,198.0,198.0,168.0,168.0,178.0,178.0,180.0,180.0,169.0,169.0,185.0,185.0,181.0,181.0,199.0,199.0,165.0,165.0,159.0,159.0,204.0,204.0,170.0,170.0
