SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,3.0,28.0,25.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,7.0,16.0,0.0,1.0,11.0,8.0,3.0,10.0,17.0,26.0,40.0,27.0,40.0,16.0,27.0,12.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,9.0,10.0,1.0,5.0,4.0,13.0,11.0,1.0,0.0,13.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,13.0,35.0,4.0
9,0.0,26.0,13.0,17.0,24.0,40.0,39.0,22.0,26.0,14.0,11.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,18.0,34.0,30.0,0.0,5.0,0.0,10.0,0.0,0.0,11.0,1.0,15.0,9.0,38.0,40.0,40.0,28.0,40.0,36.0,35.0,40.0,40.0,40.0,39.0,40.0,40.0,22.0,40.0,40.0,38.0,40.0,40.0
10,0.0,1.0,3.0,30.0,40.0,40.0,33.0,8.0,28.0,22.0,21.0,38.0,40.0,39.0,40.0,28.0,34.0,34.0,32.0,27.0,40.0,40.0,39.0,40.0,28.0,40.0,29.0,40.0,38.0,40.0,40.0,40.0,36.0,25.0,40.0,40.0,40.0,38.0,30.0,40.0,40.0,37.0,31.0,40.0,40.0,40.0,39.0,38.0,35.0,40.0
