SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,15.0,13.0,10.0,9.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
9,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
10,0.0,0.0,0.0,0.0,11.0,10.0,9.0,19.0,20.0,18.0,16.0,15.0,13.0,12.0,11.0,11.0,11.0,15.0,16.0,18.0,21.0,21.0,21.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,23.0,24.0,24.0,25.0,27.0,26.0,26.0,25.0,24.0,24.0,23.0,23.0,22.0,22.0,21.0,21.0,20.0,20.0,19.0
11,0.0,0.0,0.0,11.0,18.0,27.0,37.0,43.0,41.0,40.0,40.0,38.0,41.0,39.0,36.0,34.0,32.0,30.0,28.0,27.0,26.0,27.0,27.0,28.0,27.0,28.0,27.0,27.0,27.0,27.0,27.0,26.0,27.0,29.0,30.0,31.0,30.0,29.0,28.0,28.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,14.0,17.0,20.0,22.0,21.0,20.0,20.0,19.0,20.0,20.0,22.0,22.0,22.0,23.0,24.0,26.0,27.0,27.0,29.0,28.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,32.0,33.0,33.0,34.0
13,0.0,0.0,27.0,22.0,31.0,28.0,35.0,43.0,48.0,45.0,48.0,45.0,45.0,48.0,49.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0,51.0,53.0,53.0,54.0,54.0,54.0,53.0,54.0,55.0,54.0,54.0,55.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
14,0.0,0.0,17.0,23.0,20.0,32.0,39.0,45.0,43.0,47.0,48.0,48.0,51.0,53.0,55.0,56.0,53.0,54.0,56.0,57.0,59.0,59.0,58.0,58.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,65.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0
15,0.0,0.0,14.0,32.0,44.0,52.0,56.0,58.0,52.0,54.0,55.0,54.0,56.0,58.0,59.0,61.0,61.0,62.0,63.0,64.0,62.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,63.0,62.0,63.0,62.0,62.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,63.0,63.0,63.0,62.0,62.0
16,0.0,0.0,6.0,17.0,34.0,44.0,51.0,54.0,57.0,60.0,60.0,62.0,64.0,65.0,66.0,67.0,68.0,67.0,68.0,68.0,66.0,67.0,67.0,67.0,68.0,67.0,66.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
17,0.0,0.0,0.0,8.0,24.0,35.0,40.0,46.0,47.0,48.0,50.0,53.0,54.0,54.0,56.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,60.0,60.0,61.0,61.0,61.0,62.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
18,0.0,0.0,5.0,22.0,36.0,45.0,51.0,56.0,57.0,58.0,58.0,58.0,59.0,59.0,61.0,62.0,60.0,61.0,62.0,62.0,63.0,64.0,65.0,64.0,65.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,67.0,66.0,66.0,67.0,67.0,66.0,67.0,66.0,66.0,67.0,66.0,66.0
