SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,18.0,10.0,19.0,15.0,17.0,17.0,19.0,13.0,15.0,24.0,13.0,5.0,9.0,17.0,13.0,14.0,13.0,11.0,19.0,14.0,11.0,17.0,15.0,25.0,16.0,20.0,19.0,20.0,22.0,17.0,11.0,27.0,14.0,15.0,16.0,16.0,14.0,15.0,18.0,12.0,14.0,18.0,25.0,30.0,16.0,16.0,15.0,12.0,18.0
2,0.0,42.0,24.0,48.0,33.0,31.0,24.0,44.0,26.0,33.0,33.0,38.0,35.0,39.0,34.0,35.0,27.0,25.0,37.0,30.0,42.0,39.0,35.0,44.0,24.0,39.0,49.0,31.0,36.0,35.0,38.0,41.0,39.0,35.0,27.0,25.0,30.0,31.0,35.0,42.0,27.0,35.0,36.0,28.0,34.0,52.0,39.0,31.0,37.0,34.0
3,0.0,49.0,57.0,50.0,47.0,50.0,49.0,40.0,39.0,38.0,46.0,45.0,51.0,56.0,53.0,49.0,56.0,51.0,44.0,51.0,55.0,57.0,50.0,52.0,55.0,53.0,54.0,69.0,46.0,36.0,57.0,46.0,39.0,59.0,49.0,59.0,57.0,55.0,49.0,47.0,50.0,49.0,55.0,66.0,44.0,45.0,55.0,60.0,55.0,42.0
4,0.0,75.0,71.0,69.0,81.0,64.0,62.0,65.0,60.0,60.0,78.0,57.0,65.0,47.0,66.0,75.0,66.0,64.0,60.0,65.0,77.0,62.0,74.0,60.0,76.0,85.0,57.0,62.0,66.0,80.0,78.0,68.0,60.0,68.0,64.0,69.0,61.0,72.0,71.0,72.0,60.0,64.0,62.0,76.0,68.0,76.0,61.0,64.0,65.0,65.0
5,0.0,85.0,87.0,71.0,88.0,72.0,81.0,84.0,75.0,76.0,89.0,81.0,78.0,101.0,92.0,80.0,87.0,95.0,82.0,88.0,91.0,95.0,91.0,82.0,98.0,90.0,87.0,90.0,88.0,88.0,85.0,94.0,76.0,75.0,73.0,81.0,82.0,70.0,88.0,64.0,83.0,60.0,72.0,94.0,84.0,96.0,95.0,80.0,92.0,82.0
6,0.0,117.0,120.0,99.0,88.0,93.0,113.0,118.0,114.0,94.0,110.0,102.0,104.0,125.0,99.0,116.0,100.0,88.0,91.0,113.0,97.0,104.0,134.0,108.0,117.0,112.0,127.0,121.0,112.0,101.0,112.0,96.0,103.0,93.0,102.0,99.0,102.0,96.0,88.0,102.0,93.0,106.0,109.0,108.0,108.0,109.0,102.0,98.0,97.0,111.0
7,0.0,88.0,135.0,116.0,114.0,130.0,121.0,117.0,113.0,123.0,131.0,154.0,113.0,122.0,100.0,127.0,120.0,133.0,101.0,126.0,138.0,102.0,142.0,112.0,121.0,98.0,132.0,126.0,96.0,119.0,121.0,128.0,105.0,122.0,117.0,103.0,120.0,108.0,120.0,122.0,126.0,155.0,94.0,125.0,110.0,125.0,113.0,116.0,103.0,117.0
8,0.0,108.0,145.0,125.0,119.0,143.0,118.0,132.0,132.0,136.0,143.0,154.0,186.0,136.0,128.0,149.0,122.0,151.0,137.0,146.0,136.0,139.0,139.0,128.0,144.0,130.0,149.0,128.0,152.0,150.0,153.0,143.0,128.0,145.0,130.0,146.0,141.0,112.0,127.0,119.0,135.0,132.0,139.0,128.0,143.0,136.0,130.0,138.0,115.0,135.0
9,0.0,133.0,147.0,141.0,146.0,153.0,136.0,143.0,167.0,183.0,148.0,170.0,145.0,165.0,146.0,158.0,169.0,140.0,162.0,150.0,152.0,144.0,139.0,146.0,158.0,149.0,167.0,151.0,152.0,140.0,141.0,151.0,148.0,161.0,171.0,137.0,156.0,177.0,171.0,177.0,166.0,172.0,152.0,171.0,147.0,158.0,160.0,179.0,172.0,142.0
10,0.0,149.0,159.0,178.0,143.0,173.0,198.0,143.0,171.0,173.0,172.0,174.0,139.0,206.0,171.0,214.0,187.0,180.0,167.0,195.0,162.0,166.0,168.0,199.0,207.0,159.0,181.0,173.0,149.0,153.0,173.0,172.0,174.0,193.0,156.0,190.0,179.0,189.0,221.0,171.0,181.0,209.0,144.0,189.0,182.0,170.0,195.0,147.0,192.0,147.0
11,0.0,184.0,202.0,184.0,227.0,241.0,158.0,164.0,212.0,129.0,209.0,153.0,181.0,209.0,192.0,165.0,190.0,162.0,182.0,208.0,185.0,202.0,186.0,161.0,197.0,199.0,194.0,181.0,219.0,187.0,206.0,157.0,201.0,198.0,212.0,152.0,170.0,226.0,187.0,194.0,178.0,165.0,223.0,164.0,155.0,220.0,203.0,187.0,196.0,214.0
12,0.0,161.0,189.0,202.0,237.0,228.0,215.0,215.0,192.0,172.0,227.0,228.0,186.0,171.0,236.0,232.0,201.0,148.0,175.0,232.0,199.0,259.0,188.0,189.0,211.0,193.0,188.0,237.0,254.0,187.0,222.0,184.0,233.0,199.0,188.0,233.0,173.0,224.0,186.0,215.0,158.0,213.0,197.0,186.0,193.0,188.0,202.0,161.0,238.0,185.0
13,0.0,186.0,248.0,184.0,222.0,220.0,210.0,224.0,242.0,161.0,203.0,224.0,189.0,222.0,239.0,257.0,206.0,181.0,132.0,216.0,175.0,163.0,159.0,148.0,189.0,237.0,235.0,204.0,244.0,196.0,164.0,229.0,262.0,192.0,200.0,228.0,249.0,218.0,208.0,235.0,200.0,261.0,212.0,203.0,152.0,174.0,191.0,233.0,213.0,263.0
14,0.0,223.0,240.0,240.0,262.0,147.0,158.0,215.0,244.0,212.0,215.0,240.0,167.0,260.0,242.0,199.0,262.0,242.0,201.0,196.0,167.0,173.0,250.0,250.0,222.0,180.0,223.0,280.0,230.0,242.0,147.0,262.0,266.0,220.0,237.0,278.0,221.0,248.0,208.0,124.0,263.0,209.0,190.0,233.0,204.0,223.0,246.0,232.0,227.0,139.0
15,0.0,204.0,225.0,257.0,257.0,196.0,145.0,167.0,146.0,197.0,178.0,204.0,258.0,248.0,232.0,248.0,247.0,211.0,189.0,202.0,267.0,264.0,262.0,223.0,264.0,245.0,236.0,255.0,240.0,245.0,250.0,277.0,225.0,221.0,224.0,147.0,268.0,219.0,168.0,205.0,233.0,222.0,254.0,241.0,260.0,223.0,270.0,222.0,164.0,153.0
16,0.0,218.0,217.0,224.0,197.0,253.0,269.0,218.0,208.0,218.0,237.0,246.0,174.0,285.0,258.0,273.0,160.0,257.0,228.0,268.0,274.0,296.0,259.0,227.0,257.0,230.0,219.0,185.0,134.0,186.0,264.0,272.0,266.0,222.0,208.0,170.0,176.0,202.0,222.0,259.0,162.0,249.0,154.0,195.0,194.0,233.0,220.0,271.0,269.0,304.0
17,0.0,235.0,246.0,225.0,164.0,204.0,221.0,193.0,237.0,261.0,207.0,215.0,175.0,231.0,234.0,268.0,222.0,171.0,273.0,257.0,220.0,247.0,232.0,192.0,262.0,233.0,240.0,269.0,247.0,184.0,225.0,204.0,275.0,170.0,202.0,187.0,213.0,239.0,136.0,199.0,225.0,262.0,215.0,202.0,201.0,201.0,214.0,242.0,203.0,225.0
18,0.0,266.0,310.0,280.0,281.0,245.0,245.0,219.0,246.0,276.0,238.0,220.0,267.0,216.0,283.0,280.0,276.0,244.0,284.0,214.0,192.0,245.0,214.0,238.0,211.0,209.0,284.0,261.0,283.0,204.0,211.0,163.0,209.0,194.0,182.0,102.0,239.0,206.0,279.0,171.0,182.0,147.0,175.0,240.0,195.0,217.0,272.0,286.0,297.0,266.0
19,0.0,253.0,269.0,275.0,233.0,269.0,264.0,256.0,198.0,221.0,242.0,199.0,212.0,202.0,192.0,252.0,244.0,230.0,219.0,202.0,175.0,239.0,260.0,170.0,186.0,171.0,245.0,261.0,276.0,256.0,297.0,175.0,262.0,256.0,214.0,248.0,242.0,278.0,236.0,264.0,236.0,219.0,236.0,218.0,216.0,272.0,261.0,243.0,257.0,262.0
20,0.0,235.0,201.0,199.0,193.0,254.0,255.0,292.0,258.0,222.0,173.0,229.0,262.0,270.0,180.0,129.0,122.0,217.0,213.0,211.0,265.0,296.0,296.0,322.0,277.0,293.0,267.0,238.0,175.0,266.0,204.0,289.0,284.0,235.0,230.0,256.0,273.0,249.0,236.0,231.0,260.0,208.0,267.0,211.0,267.0,262.0,240.0,165.0,186.0,261.0
