SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,130.0,140.0,132.0,151.0,137.0,135.0,147.0,151.0,168.0,180.0,164.0,137.0,158.0,138.0,160.0,164.0,131.0,142.0,152.0,159.0,163.0,159.0,148.0,157.0,154.0,164.0,160.0,129.0,145.0,169.0,156.0,154.0,152.0,158.0,145.0,169.0,168.0,151.0,153.0,140.0,147.0,153.0,151.0,159.0,160.0,178.0,142.0,160.0,153.0
2,0.0,132.0,152.0,137.0,172.0,162.0,172.0,176.0,172.0,184.0,183.0,168.0,178.0,169.0,176.0,169.0,169.0,191.0,155.0,176.0,169.0,194.0,164.0,191.0,178.0,173.0,168.0,194.0,182.0,185.0,184.0,176.0,151.0,166.0,160.0,182.0,177.0,154.0,180.0,186.0,182.0,180.0,201.0,188.0,165.0,168.0,175.0,194.0,160.0,182.0
3,0.0,152.0,160.0,165.0,176.0,174.0,207.0,211.0,186.0,181.0,205.0,205.0,199.0,207.0,213.0,215.0,196.0,201.0,191.0,202.0,221.0,213.0,192.0,198.0,253.0,205.0,181.0,191.0,181.0,203.0,183.0,182.0,196.0,205.0,215.0,191.0,195.0,195.0,222.0,205.0,200.0,194.0,239.0,179.0,239.0,216.0,180.0,202.0,202.0,218.0
4,0.0,177.0,186.0,182.0,183.0,202.0,222.0,204.0,235.0,205.0,210.0,220.0,216.0,248.0,236.0,209.0,218.0,242.0,209.0,247.0,255.0,243.0,225.0,182.0,220.0,228.0,212.0,214.0,229.0,230.0,217.0,204.0,232.0,229.0,239.0,254.0,193.0,248.0,224.0,206.0,215.0,226.0,190.0,216.0,221.0,177.0,221.0,228.0,226.0,209.0
5,0.0,171.0,209.0,198.0,204.0,234.0,231.0,261.0,259.0,238.0,235.0,253.0,271.0,246.0,210.0,234.0,245.0,267.0,264.0,262.0,247.0,249.0,220.0,253.0,246.0,259.0,230.0,256.0,238.0,244.0,253.0,261.0,253.0,283.0,228.0,250.0,225.0,252.0,222.0,237.0,232.0,250.0,252.0,248.0,252.0,246.0,247.0,225.0,257.0,268.0
6,0.0,193.0,223.0,209.0,258.0,235.0,269.0,252.0,290.0,245.0,262.0,268.0,263.0,275.0,267.0,292.0,298.0,281.0,250.0,266.0,270.0,297.0,265.0,255.0,264.0,260.0,250.0,288.0,276.0,277.0,252.0,253.0,251.0,283.0,246.0,256.0,270.0,287.0,263.0,255.0,279.0,268.0,263.0,293.0,246.0,271.0,272.0,303.0,263.0,256.0
7,0.0,205.0,246.0,252.0,282.0,256.0,278.0,277.0,270.0,298.0,308.0,269.0,284.0,310.0,297.0,310.0,264.0,309.0,315.0,292.0,292.0,299.0,308.0,305.0,312.0,333.0,290.0,279.0,315.0,286.0,283.0,302.0,276.0,253.0,298.0,273.0,271.0,303.0,306.0,295.0,317.0,309.0,289.0,285.0,308.0,283.0,313.0,307.0,295.0,309.0
8,0.0,204.0,294.0,270.0,287.0,283.0,284.0,294.0,301.0,322.0,319.0,323.0,329.0,314.0,307.0,334.0,322.0,315.0,315.0,323.0,316.0,344.0,347.0,331.0,333.0,288.0,340.0,307.0,317.0,337.0,271.0,284.0,351.0,314.0,335.0,323.0,300.0,323.0,313.0,326.0,351.0,345.0,325.0,306.0,330.0,320.0,334.0,323.0,324.0,373.0
9,0.0,222.0,253.0,266.0,320.0,294.0,278.0,321.0,332.0,302.0,363.0,363.0,304.0,370.0,324.0,305.0,333.0,331.0,340.0,326.0,353.0,335.0,332.0,362.0,347.0,320.0,342.0,336.0,331.0,362.0,346.0,368.0,360.0,338.0,330.0,354.0,362.0,351.0,374.0,315.0,336.0,334.0,336.0,324.0,345.0,348.0,354.0,351.0,344.0,357.0
10,0.0,266.0,295.0,306.0,342.0,316.0,344.0,352.0,375.0,376.0,348.0,360.0,304.0,314.0,339.0,374.0,337.0,388.0,388.0,362.0,374.0,343.0,313.0,389.0,403.0,379.0,347.0,371.0,389.0,381.0,419.0,364.0,368.0,332.0,360.0,378.0,384.0,351.0,367.0,348.0,419.0,346.0,408.0,373.0,349.0,378.0,380.0,393.0,378.0,363.0
11,0.0,248.0,312.0,362.0,292.0,366.0,370.0,353.0,386.0,349.0,405.0,422.0,394.0,382.0,379.0,388.0,393.0,408.0,363.0,374.0,331.0,436.0,423.0,413.0,367.0,357.0,410.0,380.0,419.0,408.0,392.0,405.0,392.0,450.0,350.0,347.0,365.0,378.0,383.0,407.0,400.0,404.0,438.0,377.0,345.0,385.0,395.0,437.0,379.0,355.0
