SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,21.0,26.0,29.0,0.0,47.0,6.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,44.0,34.0,50.0,43.0,53.0,25.0,0.0,0.0,6.0,0.0,0.0,3.0,41.0,19.0,0.0,19.0,12.0,38.0,23.0,45.0,39.0,0.0,55.0
2,0.0,0.0,9.0,46.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,26.0,13.0,39.0,3.0,0.0,4.0,35.0,5.0,0.0,11.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,16.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,43.0,1.0,0.0,0.0,0.0,2.0,0.0,26.0,13.0,25.0,45.0,0.0,0.0,39.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,46.0,44.0,16.0,0.0,13.0,0.0
4,0.0,0.0,0.0,40.0,32.0,0.0,0.0,40.0,41.0,6.0,34.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,0.0,32.0,0.0,27.0,35.0,0.0,0.0,13.0,23.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,28.0,30.0,19.0,53.0,0.0,0.0,0.0,0.0,0.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,32.0,9.0,12.0,0.0,57.0,30.0,25.0,55.0,35.0,12.0,20.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,25.0,23.0,0.0
6,0.0,0.0,0.0,2.0,32.0,29.0,0.0,2.0,23.0,0.0,48.0,33.0,0.0,14.0,0.0,0.0,34.0,26.0,0.0,7.0,0.0,30.0,0.0,18.0,32.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,47.0,60.0,41.0,15.0,28.0,60.0,34.0,0.0,34.0,37.0,20.0,0.0,18.0,0.0,30.0,50.0
7,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0,0.0,8.0,20.0,40.0,47.0,3.0,0.0,33.0,2.0,3.0,29.0,0.0,38.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,14.0,50.0,0.0,0.0,0.0,7.0,0.0,20.0,40.0,30.0,23.0,0.0,17.0,2.0,2.0,29.0,41.0,20.0,4.0,11.0,0.0,31.0,33.0,33.0,36.0,0.0,22.0,33.0,0.0,8.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0
9,0.0,0.0,0.0,0.0,47.0,54.0,40.0,12.0,14.0,23.0,0.0,26.0,0.0,0.0,18.0,5.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,11.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,42.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0
10,0.0,0.0,0.0,0.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,26.0,32.0,36.0,0.0,18.0,8.0,60.0,1.0,0.0,30.0,0.0,27.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,0.0,0.0,28.0,0.0,0.0,17.0,0.0,0.0,33.0,3.0,0.0,18.0,17.0,0.0,24.0
11,0.0,0.0,0.0,30.0,34.0,0.0,52.0,0.0,0.0,35.0,43.0,0.0,35.0,3.0,31.0,39.0,34.0,7.0,1.0,2.0,17.0,21.0,0.0,7.0,40.0,0.0,33.0,60.0,18.0,17.0,42.0,40.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,28.0,12.0,0.0,0.0,22.0,57.0,19.0,0.0,5.0
12,0.0,0.0,0.0,25.0,3.0,0.0,18.0,37.0,24.0,8.0,40.0,0.0,37.0,60.0,47.0,0.0,13.0,12.0,40.0,45.0,25.0,50.0,31.0,29.0,0.0,37.0,33.0,0.0,0.0,0.0,15.0,36.0,29.0,60.0,0.0,37.0,22.0,28.0,39.0,46.0,14.0,26.0,51.0,0.0,35.0,19.0,20.0,20.0,0.0,0.0
13,0.0,0.0,27.0,33.0,45.0,48.0,15.0,29.0,3.0,38.0,35.0,0.0,22.0,37.0,33.0,54.0,12.0,16.0,0.0,21.0,36.0,11.0,1.0,60.0,5.0,9.0,31.0,32.0,52.0,27.0,44.0,46.0,56.0,52.0,42.0,0.0,27.0,2.0,6.0,27.0,22.0,15.0,0.0,17.0,41.0,0.0,19.0,35.0,24.0,35.0
