SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,19.0,13.0,13.0,19.0,16.0,17.0,17.0,15.0,22.0,21.0,19.0,18.0,18.0,14.0,13.0,13.0,16.0,15.0,16.0,13.0,21.0,16.0,10.0,12.0,23.0,22.0,16.0,15.0,15.0,17.0,12.0,15.0,17.0,18.0,16.0,25.0,19.0,13.0,15.0,24.0,18.0,16.0,12.0,20.0,18.0,22.0,15.0,21.0,19.0
2,0.0,30.0,38.0,29.0,36.0,43.0,27.0,29.0,41.0,35.0,28.0,28.0,34.0,32.0,40.0,27.0,31.0,30.0,36.0,36.0,38.0,39.0,25.0,42.0,37.0,35.0,30.0,35.0,43.0,41.0,29.0,39.0,18.0,38.0,30.0,20.0,40.0,33.0,44.0,41.0,35.0,41.0,32.0,26.0,34.0,33.0,38.0,38.0,25.0,30.0
3,0.0,45.0,48.0,54.0,54.0,47.0,63.0,50.0,43.0,49.0,44.0,48.0,46.0,51.0,47.0,56.0,35.0,51.0,52.0,48.0,54.0,55.0,47.0,41.0,69.0,44.0,46.0,51.0,40.0,58.0,39.0,34.0,51.0,45.0,67.0,37.0,44.0,52.0,51.0,65.0,50.0,51.0,59.0,45.0,66.0,49.0,43.0,55.0,42.0,54.0
4,0.0,62.0,75.0,72.0,61.0,60.0,80.0,80.0,77.0,67.0,72.0,69.0,75.0,78.0,78.0,56.0,61.0,69.0,67.0,79.0,95.0,78.0,71.0,45.0,59.0,72.0,67.0,62.0,57.0,64.0,63.0,54.0,61.0,72.0,61.0,73.0,62.0,73.0,62.0,66.0,66.0,77.0,53.0,85.0,62.0,59.0,65.0,76.0,67.0,60.0
5,0.0,72.0,76.0,79.0,86.0,100.0,96.0,88.0,95.0,78.0,82.0,85.0,80.0,81.0,62.0,70.0,90.0,94.0,86.0,84.0,81.0,86.0,73.0,96.0,99.0,84.0,76.0,84.0,73.0,67.0,74.0,82.0,97.0,94.0,77.0,97.0,58.0,90.0,81.0,80.0,93.0,105.0,94.0,78.0,94.0,76.0,84.0,73.0,91.0,110.0
6,0.0,93.0,119.0,103.0,117.0,91.0,107.0,109.0,112.0,95.0,110.0,107.0,87.0,104.0,100.0,121.0,118.0,109.0,94.0,88.0,96.0,112.0,98.0,94.0,103.0,105.0,96.0,118.0,105.0,106.0,91.0,93.0,87.0,94.0,93.0,104.0,97.0,103.0,81.0,121.0,97.0,111.0,108.0,112.0,95.0,93.0,96.0,106.0,105.0,90.0
7,0.0,106.0,132.0,126.0,135.0,98.0,125.0,112.0,108.0,113.0,127.0,104.0,123.0,122.0,131.0,120.0,102.0,119.0,109.0,124.0,119.0,118.0,134.0,131.0,118.0,146.0,116.0,128.0,131.0,103.0,104.0,134.0,116.0,87.0,107.0,109.0,100.0,105.0,116.0,116.0,144.0,110.0,118.0,119.0,135.0,120.0,133.0,118.0,124.0,125.0
8,0.0,116.0,166.0,129.0,115.0,116.0,135.0,124.0,142.0,125.0,150.0,129.0,145.0,123.0,133.0,137.0,145.0,143.0,140.0,124.0,132.0,156.0,163.0,136.0,141.0,123.0,145.0,126.0,134.0,148.0,115.0,114.0,150.0,140.0,128.0,138.0,125.0,136.0,130.0,134.0,148.0,142.0,127.0,133.0,141.0,139.0,145.0,140.0,142.0,160.0
9,0.0,127.0,142.0,144.0,162.0,147.0,139.0,135.0,162.0,136.0,163.0,145.0,151.0,169.0,136.0,137.0,147.0,154.0,150.0,139.0,139.0,144.0,152.0,163.0,145.0,130.0,150.0,152.0,156.0,163.0,145.0,177.0,165.0,157.0,152.0,163.0,159.0,156.0,158.0,131.0,138.0,159.0,157.0,137.0,149.0,144.0,149.0,158.0,158.0,154.0
10,0.0,166.0,170.0,172.0,174.0,148.0,184.0,150.0,167.0,169.0,166.0,180.0,137.0,144.0,154.0,168.0,175.0,154.0,193.0,172.0,182.0,172.0,158.0,206.0,175.0,174.0,183.0,172.0,181.0,178.0,195.0,172.0,175.0,158.0,179.0,190.0,164.0,172.0,179.0,158.0,165.0,168.0,172.0,169.0,172.0,182.0,168.0,183.0,167.0,181.0
11,0.0,154.0,183.0,208.0,168.0,188.0,182.0,207.0,192.0,179.0,181.0,220.0,199.0,188.0,205.0,208.0,190.0,212.0,169.0,185.0,185.0,207.0,191.0,178.0,186.0,200.0,197.0,191.0,208.0,214.0,197.0,193.0,178.0,219.0,184.0,195.0,175.0,174.0,188.0,209.0,182.0,219.0,219.0,176.0,189.0,186.0,210.0,183.0,174.0,191.0
12,0.0,165.0,220.0,192.0,220.0,197.0,174.0,221.0,191.0,206.0,211.0,205.0,209.0,224.0,217.0,215.0,232.0,206.0,186.0,169.0,196.0,224.0,215.0,168.0,209.0,234.0,146.0,210.0,194.0,207.0,227.0,219.0,210.0,226.0,204.0,198.0,272.0,213.0,203.0,219.0,186.0,213.0,212.0,193.0,199.0,199.0,199.0,203.0,229.0,209.0
13,0.0,201.0,197.0,216.0,252.0,213.0,261.0,205.0,232.0,211.0,213.0,254.0,238.0,247.0,213.0,250.0,228.0,269.0,214.0,237.0,254.0,239.0,241.0,232.0,239.0,261.0,223.0,214.0,156.0,230.0,264.0,244.0,246.0,270.0,236.0,226.0,258.0,265.0,215.0,248.0,237.0,212.0,219.0,224.0,259.0,230.0,228.0,205.0,227.0,237.0
14,0.0,209.0,260.0,255.0,222.0,208.0,257.0,205.0,259.0,269.0,219.0,261.0,245.0,215.0,191.0,244.0,249.0,241.0,231.0,242.0,183.0,272.0,264.0,255.0,239.0,256.0,260.0,234.0,257.0,248.0,233.0,211.0,267.0,259.0,260.0,190.0,242.0,243.0,262.0,248.0,253.0,183.0,218.0,273.0,219.0,218.0,275.0,233.0,260.0,205.0
15,0.0,233.0,259.0,239.0,165.0,213.0,245.0,263.0,259.0,215.0,228.0,236.0,241.0,230.0,260.0,226.0,278.0,247.0,198.0,248.0,229.0,235.0,217.0,252.0,248.0,223.0,243.0,200.0,230.0,245.0,278.0,198.0,238.0,255.0,273.0,244.0,255.0,288.0,244.0,280.0,281.0,207.0,247.0,248.0,285.0,302.0,280.0,246.0,212.0,206.0
16,0.0,226.0,272.0,256.0,254.0,276.0,251.0,271.0,263.0,250.0,244.0,267.0,277.0,264.0,263.0,260.0,256.0,268.0,273.0,275.0,268.0,259.0,277.0,204.0,274.0,277.0,297.0,207.0,239.0,225.0,279.0,225.0,286.0,220.0,225.0,223.0,288.0,270.0,254.0,277.0,235.0,285.0,249.0,255.0,275.0,261.0,261.0,271.0,236.0,172.0
17,0.0,239.0,207.0,233.0,238.0,242.0,219.0,252.0,258.0,241.0,262.0,243.0,286.0,291.0,278.0,244.0,293.0,232.0,289.0,246.0,276.0,248.0,276.0,283.0,263.0,267.0,190.0,267.0,230.0,284.0,242.0,250.0,273.0,289.0,271.0,242.0,273.0,277.0,264.0,210.0,233.0,266.0,246.0,273.0,271.0,235.0,270.0,266.0,241.0,281.0
18,0.0,239.0,251.0,260.0,276.0,246.0,257.0,271.0,253.0,287.0,224.0,271.0,300.0,274.0,254.0,277.0,265.0,208.0,250.0,267.0,294.0,256.0,257.0,234.0,267.0,253.0,257.0,278.0,289.0,233.0,274.0,255.0,271.0,313.0,246.0,284.0,257.0,300.0,250.0,291.0,260.0,299.0,251.0,281.0,257.0,247.0,239.0,297.0,272.0,285.0
19,0.0,194.0,241.0,267.0,256.0,220.0,271.0,281.0,267.0,245.0,261.0,294.0,224.0,303.0,238.0,271.0,274.0,248.0,279.0,257.0,278.0,253.0,272.0,318.0,309.0,253.0,252.0,278.0,183.0,237.0,319.0,210.0,247.0,212.0,246.0,231.0,198.0,262.0,254.0,269.0,283.0,227.0,199.0,294.0,289.0,282.0,294.0,274.0,230.0,289.0
20,0.0,257.0,291.0,255.0,266.0,270.0,290.0,295.0,236.0,278.0,272.0,277.0,278.0,291.0,238.0,239.0,276.0,304.0,288.0,290.0,310.0,279.0,282.0,262.0,274.0,271.0,294.0,236.0,282.0,273.0,237.0,262.0,268.0,287.0,249.0,258.0,276.0,294.0,261.0,257.0,280.0,253.0,270.0,250.0,214.0,299.0,269.0,267.0,302.0,243.0
