SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,129.0,195.0,178.0,155.0,176.0,164.0,147.0,223.0,109.0,192.0,140.0,170.0,180.0,201.0,128.0,186.0,173.0,215.0,190.0,162.0,160.0,172.0,165.0,184.0,127.0,185.0,132.0,190.0,178.0,139.0,148.0,195.0,182.0,194.0,166.0,163.0,189.0,165.0,145.0,193.0,197.0,156.0,191.0,185.0,182.0,138.0,165.0,207.0,114.0
2,0.0,154.0,180.0,172.0,193.0,189.0,152.0,204.0,181.0,175.0,163.0,176.0,165.0,176.0,160.0,176.0,204.0,170.0,166.0,194.0,191.0,164.0,147.0,166.0,168.0,145.0,170.0,172.0,174.0,181.0,168.0,191.0,161.0,150.0,212.0,145.0,215.0,185.0,144.0,145.0,208.0,183.0,188.0,186.0,158.0,202.0,157.0,172.0,176.0,185.0
3,0.0,148.0,170.0,192.0,187.0,158.0,142.0,205.0,154.0,177.0,159.0,180.0,186.0,182.0,168.0,178.0,175.0,177.0,200.0,209.0,174.0,168.0,167.0,198.0,178.0,156.0,177.0,128.0,177.0,156.0,210.0,179.0,150.0,203.0,147.0,162.0,229.0,187.0,145.0,163.0,202.0,168.0,167.0,172.0,143.0,152.0,205.0,198.0,185.0,184.0
4,0.0,137.0,174.0,162.0,163.0,184.0,145.0,150.0,152.0,207.0,158.0,210.0,180.0,167.0,201.0,150.0,165.0,155.0,165.0,166.0,155.0,165.0,166.0,187.0,157.0,174.0,194.0,201.0,188.0,172.0,191.0,151.0,161.0,174.0,145.0,162.0,170.0,145.0,236.0,174.0,124.0,207.0,151.0,184.0,193.0,200.0,174.0,182.0,204.0,163.0
5,0.0,180.0,187.0,182.0,166.0,119.0,168.0,187.0,170.0,214.0,192.0,156.0,162.0,177.0,169.0,205.0,208.0,163.0,165.0,170.0,178.0,199.0,175.0,167.0,203.0,160.0,132.0,192.0,215.0,143.0,193.0,139.0,148.0,151.0,129.0,142.0,183.0,158.0,188.0,173.0,179.0,151.0,178.0,190.0,149.0,166.0,175.0,148.0,177.0,172.0
6,0.0,139.0,171.0,183.0,155.0,213.0,179.0,172.0,154.0,193.0,148.0,150.0,185.0,161.0,185.0,164.0,152.0,181.0,209.0,181.0,140.0,153.0,187.0,174.0,155.0,189.0,168.0,183.0,136.0,199.0,181.0,170.0,182.0,158.0,145.0,164.0,206.0,180.0,183.0,146.0,143.0,204.0,155.0,179.0,159.0,198.0,166.0,223.0,143.0,154.0
7,0.0,167.0,177.0,182.0,145.0,171.0,146.0,169.0,177.0,151.0,209.0,196.0,194.0,170.0,167.0,186.0,168.0,183.0,221.0,181.0,148.0,174.0,160.0,179.0,215.0,143.0,127.0,214.0,189.0,172.0,156.0,194.0,180.0,154.0,164.0,187.0,186.0,177.0,156.0,145.0,215.0,160.0,171.0,150.0,175.0,167.0,178.0,174.0,160.0,169.0
8,0.0,149.0,159.0,178.0,143.0,173.0,198.0,143.0,171.0,173.0,172.0,174.0,139.0,206.0,171.0,214.0,187.0,180.0,167.0,195.0,162.0,166.0,168.0,199.0,207.0,159.0,181.0,173.0,149.0,153.0,173.0,172.0,174.0,193.0,156.0,190.0,179.0,189.0,221.0,171.0,181.0,209.0,144.0,189.0,182.0,170.0,195.0,147.0,192.0,147.0
9,0.0,180.0,154.0,194.0,144.0,151.0,147.0,204.0,191.0,187.0,224.0,150.0,202.0,175.0,148.0,178.0,183.0,204.0,175.0,151.0,150.0,159.0,169.0,152.0,165.0,161.0,158.0,162.0,179.0,199.0,156.0,188.0,190.0,175.0,153.0,177.0,174.0,176.0,158.0,178.0,155.0,172.0,204.0,147.0,164.0,182.0,155.0,187.0,167.0,199.0
10,0.0,144.0,181.0,188.0,164.0,183.0,191.0,159.0,168.0,177.0,188.0,159.0,144.0,145.0,173.0,167.0,198.0,158.0,192.0,144.0,190.0,198.0,178.0,193.0,173.0,218.0,168.0,163.0,205.0,160.0,174.0,184.0,168.0,151.0,163.0,173.0,173.0,148.0,200.0,176.0,168.0,197.0,163.0,146.0,182.0,199.0,164.0,193.0,198.0,166.0
