SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,4.0,0.0,11.0,33.0,34.0,21.0,14.0,11.0,24.0,22.0,20.0,8.0,0.0,11.0,0.0,0.0,0.0,2.0,13.0,28.0,36.0,11.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,0.0,9.0,5.0,0.0,1.0,20.0,25.0,21.0,7.0,0.0,6.0,0.0,24.0,16.0
2,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,0.0,14.0,27.0,15.0,9.0,0.0,12.0,13.0,7.0,9.0,0.0,0.0,3.0,17.0,27.0,20.0,0.0,0.0,12.0,0.0,6.0,34.0,40.0,40.0,28.0,21.0,11.0,3.0,0.0,11.0,4.0,0.0,3.0
3,0.0,0.0,0.0,0.0,17.0,0.0,5.0,10.0,0.0,13.0,35.0,18.0,0.0,0.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,19.0,13.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4,0.0,6.0,10.0,0.0,0.0,36.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,20.0,34.0,17.0,25.0,1.0,21.0,18.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,7.0,6.0,27.0,34.0,12.0,4.0,28.0,37.0,38.0,37.0,39.0,27.0,11.0,0.0,5.0
5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,35.0,30.0,11.0,0.0,4.0,0.0,11.0,0.0,2.0,8.0,18.0,8.0,0.0,40.0,25.0,40.0,36.0,40.0,22.0,3.0,8.0,25.0,4.0,0.0,4.0,16.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0
6,0.0,0.0,20.0,34.0,5.0,6.0,0.0,0.0,19.0,16.0,0.0,9.0,0.0,13.0,6.0,3.0,13.0,9.0,0.0,0.0,14.0,19.0,33.0,18.0,0.0,0.0,0.0,4.0,10.0,0.0,3.0,5.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,4.0,12.0,0.0,0.0,0.0,6.0,19.0,28.0
7,0.0,5.0,0.0,0.0,0.0,0.0,12.0,30.0,40.0,31.0,20.0,29.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,2.0,10.0,0.0,0.0,17.0,1.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,25.0,39.0,0.0,8.0,28.0,3.0,2.0,6.0,11.0,0.0,20.0,14.0
8,0.0,0.0,0.0,0.0,0.0,3.0,3.0,27.0,39.0,0.0,17.0,21.0,14.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,6.0,0.0,14.0,3.0,2.0,10.0,0.0,6.0,3.0,0.0,5.0,0.0,7.0,0.0,0.0,10.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,2.0,5.0
9,0.0,0.0,8.0,0.0,0.0,10.0,21.0,33.0,40.0,37.0,19.0,1.0,7.0,0.0,0.0,0.0,8.0,22.0,36.0,40.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,1.0,4.0,8.0,17.0,35.0,40.0,39.0,36.0,17.0,13.0,2.0,12.0,2.0
10,0.0,9.0,0.0,4.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,16.0,13.0,3.0,0.0,19.0,7.0,0.0,1.0,3.0,3.0,0.0,1.0,23.0,15.0,0.0,20.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,17.0,3.0
