SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,19.0,14.0,17.0,13.0,36.0,41.0,52.0,59.0,57.0,57.0,42.0,43.0,56.0,49.0,47.0,45.0,49.0,49.0,48.0,46.0,45.0,40.0,29.0,32.0,29.0,27.0,31.0,27.0,30.0,34.0,58.0,59.0,59.0,52.0,48.0,44.0,45.0,43.0
7,0.0,1.0,7.0,7.0,21.0,29.0,29.0,45.0,42.0,72.0,84.0,86.0,93.0,96.0,97.0,112.0,124.0,126.0,132.0,150.0,152.0,172.0,169.0,169.0,169.0,185.0,187.0,195.0,213.0,221.0,219.0,241.0,236.0,246.0,265.0,272.0,265.0,273.0,276.0,281.0,280.0,284.0,305.0,307.0,310.0,312.0,319.0,326.0,329.0,339.0
8,0.0,10.0,34.0,38.0,55.0,74.0,77.0,83.0,98.0,116.0,132.0,145.0,149.0,165.0,161.0,181.0,171.0,177.0,186.0,186.0,192.0,200.0,195.0,220.0,239.0,237.0,255.0,268.0,286.0,290.0,298.0,318.0,325.0,329.0,334.0,344.0,352.0,364.0,365.0,369.0,375.0,372.0,385.0,403.0,420.0,426.0,439.0,449.0,473.0,472.0
9,0.0,3.0,10.0,29.0,43.0,55.0,74.0,78.0,88.0,111.0,133.0,138.0,145.0,163.0,187.0,193.0,196.0,206.0,208.0,209.0,237.0,263.0,295.0,316.0,343.0,355.0,383.0,411.0,429.0,438.0,459.0,479.0,488.0,511.0,508.0,519.0,528.0,533.0,541.0,562.0,573.0,586.0,594.0,612.0,616.0,622.0,644.0,676.0,701.0,717.0
10,0.0,10.0,34.0,66.0,79.0,100.0,113.0,129.0,144.0,170.0,174.0,187.0,201.0,213.0,228.0,249.0,266.0,285.0,285.0,320.0,348.0,368.0,397.0,420.0,438.0,459.0,478.0,509.0,539.0,575.0,604.0,621.0,644.0,649.0,678.0,700.0,707.0,729.0,763.0,780.0,801.0,820.0,855.0,875.0,895.0,907.0,919.0,941.0,971.0,986.0
