SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,37.0,76.0,76.0,78.0,86.0,88.0,102.0,140.0,155.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,161.0,202.0,209.0,224.0,258.0,312.0,334.0,365.0,367.0,367.0,367.0,367.0,370.0,370.0,371.0,388.0,389.0,390.0,390.0,396.0,399.0,431.0,468.0,478.0,492.0
2,0.0,0.0,5.0,17.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,57.0,65.0,67.0,68.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,109.0,128.0,132.0,132.0,132.0,134.0,159.0,159.0,159.0,159.0,160.0,170.0,170.0,170.0,170.0,170.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,62.0,73.0,83.0,87.0,117.0,117.0,118.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,168.0,180.0,193.0,193.0,193.0
4,0.0,0.0,0.0,3.0,35.0,35.0,35.0,43.0,79.0,92.0,96.0,97.0,99.0,104.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,123.0,139.0,144.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,179.0,187.0,188.0,225.0,238.0,239.0,245.0,246.0,246.0,246.0,252.0,254.0,254.0
5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,20.0,41.0,41.0,41.0,41.0,41.0,44.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,82.0,94.0,96.0,120.0,121.0,135.0,197.0,219.0,256.0,319.0,319.0,319.0,319.0,321.0,321.0,321.0,326.0,329.0,329.0,329.0,329.0,336.0,337.0,337.0
6,0.0,0.0,0.0,0.0,5.0,7.0,9.0,9.0,19.0,23.0,29.0,97.0,108.0,108.0,108.0,108.0,122.0,124.0,126.0,126.0,126.0,130.0,132.0,133.0,146.0,150.0,152.0,153.0,153.0,162.0,162.0,162.0,162.0,162.0,164.0,200.0,210.0,214.0,219.0,236.0,301.0,301.0,312.0,324.0,356.0,356.0,356.0,356.0,357.0,360.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,23.0,24.0,24.0,24.0,25.0,25.0,31.0,37.0,37.0,37.0,37.0,49.0,68.0,80.0,80.0,80.0,157.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,176.0,176.0,178.0,214.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
8,0.0,0.0,0.0,0.0,0.0,18.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0,55.0,55.0,61.0,61.0,61.0,66.0,66.0,66.0,83.0,110.0,117.0,135.0,135.0,136.0,136.0,137.0,162.0,199.0,199.0,199.0,199.0,199.0,213.0,222.0,234.0,238.0,243.0,272.0,274.0,274.0,274.0,275.0,286.0,286.0,286.0,286.0,286.0
9,0.0,0.0,0.0,0.0,5.0,48.0,91.0,98.0,98.0,100.0,101.0,103.0,103.0,103.0,103.0,109.0,109.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,118.0,137.0,137.0,137.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,164.0,193.0,193.0,193.0,193.0,194.0,194.0,194.0,197.0
10,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,26.0,73.0,90.0,101.0,102.0,102.0,102.0,112.0,148.0,149.0,149.0,150.0,155.0,166.0,166.0,166.0,172.0,172.0,187.0,188.0,188.0,188.0,188.0,189.0,189.0,191.0,192.0,192.0,200.0,200.0,200.0,200.0,210.0,213.0,213.0,215.0,220.0,221.0
11,0.0,0.0,0.0,1.0,34.0,47.0,51.0,63.0,63.0,91.0,98.0,126.0,137.0,138.0,153.0,154.0,169.0,183.0,185.0,190.0,194.0,195.0,195.0,195.0,205.0,211.0,213.0,235.0,275.0,275.0,324.0,370.0,407.0,422.0,426.0,426.0,426.0,426.0,426.0,426.0,433.0,451.0,460.0,461.0,461.0,473.0,507.0,518.0,518.0,519.0
