SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.005221535515312595,0.003814563506162465,0.004232477558809303,0.0045499469038747,0.004451782205500527,0.004269400530658443,0.0040098218626409285,0.0039092827712177,0.003733096745138862,0.0037282593712666505,0.0035120096154372693,0.0032865739674881613,0.00351500876970963,0.003603238948061563,0.0035300007969791985,0.0036008772434584346,0.0035577213183179478,0.0034729066360311496,0.0036576883163069005,0.0036088682698122436,0.00374794067336518,0.0036202007919180312,0.0035657814243346374,0.0035238192022665374,0.003539999436030674,0.003478258444176976,0.0035346654331685034,0.0034681960404708717,0.003603427500734169,0.0036446395487516477,0.003579386136322176,0.003591676144104839,0.0035853960973351758,0.003629458498194212,0.0035565185793726742,0.0036476853136825685,0.0035506993305220685,0.003585690044191322,0.0035852162861321115,0.003520552605451945,0.003479121074330129,0.003510353687555492,0.0034753393266283724,0.0034669040527204246,0.0034766450084751893,0.003564863845355667,0.00352813326677392,0.0035217693478945006,0.0035026333128455236
2,0.0,0.004315759099036985,0.004508361692428371,0.004391540967345202,0.005884197671920703,0.005948271321234738,0.005834759592056264,0.00649265986274909,0.006063418094957494,0.006167871264818201,0.005893083264663569,0.005739495164003849,0.005890289260571078,0.006272024633050144,0.006153276507458148,0.006134012118732629,0.006030583806423131,0.0058873915780963,0.005925529179538196,0.0059238740260203785,0.005960060047078792,0.005904097350541891,0.005841832898375873,0.00587268093883932,0.005878660553743837,0.005897636633722367,0.006110926237449345,0.006007513046759228,0.005932051838059311,0.005902200712489248,0.005864951205119609,0.005825168762083243,0.005845712695246686,0.005745396427820951,0.005665375632717997,0.005683547252339521,0.00564284462398014,0.005818984758033888,0.005746967903091885,0.005754030243531703,0.005857481564379904,0.005846464009327079,0.005828906967947338,0.005841827920010823,0.0057693115616197785,0.00580307280564448,0.005884330239570129,0.005826547445200927,0.005773323808257809,0.00576183994633184
3,0.0,0.008138433238945432,0.007792274439620747,0.008085511997218424,0.009119765219989162,0.007988241338728184,0.007925625630422138,0.00794949552931575,0.007749291037060558,0.008133794989261336,0.007882372098786172,0.007899326378278513,0.007743804944785997,0.007787597062559666,0.0077796498606153815,0.008202190801425776,0.008411344323075578,0.008454845445216635,0.0084240952525803,0.008564346860755218,0.008567277730471412,0.008652488101369494,0.008461837735711394,0.008548498124450713,0.008648868597757547,0.00846201583418653,0.008616129903043111,0.008787333447165892,0.008933888544192024,0.008918631406308905,0.008850329908927654,0.0087145468542405,0.00870815724765732,0.00877378934407108,0.008753910324627785,0.008809006663023524,0.008727869442493083,0.008623074200503194,0.008596742477186768,0.008499058338269356,0.0085982958073319,0.008685491760699562,0.00872655241813953,0.008872830059649154,0.008897716730284359,0.00884135563383373,0.008836053325505947,0.008952495503359715,0.008920236909838205,0.008846553869920847
4,0.0,0.011512853209217482,0.008823560506754067,0.010475838041995944,0.012253306123389826,0.013117909667934137,0.013429359267377572,0.01287491996238486,0.01284467526792383,0.012499936871303553,0.012825535924013087,0.012606394356515943,0.01259979512641588,0.012205573199297595,0.01252803477460275,0.012301438592482006,0.012443416112022153,0.012619015788561345,0.012459654089580233,0.012492155966124822,0.01258574542067917,0.012443114944755853,0.012476846158862112,0.01247469022880549,0.012395277022409187,0.012415268195147896,0.012214206655440337,0.012201824782297602,0.012158721603071519,0.012340089396178658,0.012387113833052648,0.01234364488070297,0.012408585068369428,0.012594409434493662,0.012498760657072448,0.01252241960390624,0.01246514501265389,0.012462404377758843,0.012335941029569919,0.012325127053712276,0.012350562637665354,0.012283255700044253,0.012159493513222713,0.012164328627400607,0.012020295139088885,0.012007095892444634,0.012006017091712165,0.011927472454038092,0.0118539390173636,0.011832318376567322
5,0.0,0.0273476207434859,0.025188373069862355,0.021564418513959807,0.020274330136568423,0.01839307743834488,0.016911812130711166,0.01612761336796464,0.015571068924866793,0.015311251534096777,0.01507669843897947,0.014997086970120387,0.014467625090230357,0.014360553711197094,0.014159636530725916,0.013879453459991857,0.013906076345650152,0.013502949314066657,0.013477706544517345,0.013633013220141585,0.013403047408335136,0.013604003479723105,0.013615084468643276,0.013911705323277998,0.01395269706203116,0.013635529788753436,0.013600219623855563,0.013766785994112045,0.013727785185606635,0.013789765377863772,0.013635388735262252,0.01364454455109769,0.013630516188701905,0.013566623594964489,0.013558999770248693,0.013409262005915641,0.013459359872308252,0.013399413622371285,0.013306529361092168,0.013115851793842994,0.013305904634378867,0.013277691358935903,0.013222299243643475,0.013501023189105418,0.013511598734372682,0.013506857267720876,0.013559424506150214,0.013616725978652622,0.013629770659534192,0.013769708256721885
6,0.0,0.022492194628518675,0.02068022619758735,0.01867656636952636,0.0185746224261997,0.020166165580283446,0.01989206037891608,0.01897171573725055,0.01910272012112207,0.019009723848142108,0.019551943675373884,0.019642079186431304,0.01958548940800767,0.019228166418027142,0.019482484969468607,0.019459405579092173,0.019606046304939787,0.019967124670015813,0.019991973333694475,0.02013758611569317,0.019889350676990027,0.019898386883221274,0.01986735472401385,0.019942628429501938,0.01974462207703617,0.01985038505143637,0.019751134166690956,0.01988031197462182,0.01993592227422915,0.019994605538257344,0.01992069721816499,0.019756364432892203,0.019860852132883657,0.019733138352103694,0.019659221659241548,0.0196954378281765,0.019616538319243457,0.01980051349464281,0.019594855706453137,0.019435363454160724,0.01940680706282161,0.019453108902222703,0.019490337195533867,0.019384571929712793,0.019393063288102086,0.019374039167629215,0.019449665602121687,0.019400890552862506,0.019376645393972946,0.019494496644526006
7,0.0,0.016945511363050912,0.021968549477685905,0.022512904031728443,0.02008919750428794,0.020605645944486415,0.021567201904655775,0.022839911116882994,0.02286475293623819,0.023471348020366146,0.023907791161107413,0.023456113526004907,0.023847219521170544,0.02324279460384115,0.022428087264794245,0.02259261990289503,0.022792198877469066,0.022756514061407662,0.02263325688618176,0.022820566473985258,0.022759832376088644,0.02236630733820259,0.023268522845641845,0.023264915583487453,0.022842905635719796,0.022373358171319645,0.022450838917588183,0.022366764483397777,0.02232357220617404,0.022134045484702585,0.02185225836307422,0.021756480777227843,0.021656185349611317,0.02171844993119682,0.02175313984472105,0.021622033388096474,0.021802999239615373,0.021839782349937508,0.021751411886327194,0.021730863040725207,0.02192547901250852,0.022034714013456667,0.021833499116309777,0.021662152798725895,0.02166691273357144,0.02181371253577773,0.021709131630713082,0.02167092875282084,0.021589770914488552,0.021609916480790026
8,0.0,0.02290557402372274,0.02636553667054983,0.029712941497219755,0.030183726461474672,0.030573710606031087,0.028354412358899014,0.027071943566519988,0.026441891451597654,0.02683939369121477,0.02642967372768117,0.026505450857920016,0.026348758654126003,0.02701581706118772,0.026529771594683404,0.026503688507271906,0.026066534413060602,0.02581242808468359,0.02579764990867017,0.026011309965331495,0.025909214003663802,0.02570712184315802,0.02554972626842586,0.025716344465364156,0.02560082181636338,0.02531044431352704,0.025190591697611318,0.025113623066542242,0.02516588051420721,0.02477075238660265,0.02490848313971626,0.024976724764400302,0.024910530983171437,0.024737487539292183,0.0247839271392806,0.024610780574334537,0.024766795945405987,0.024674972867930755,0.02445621206581508,0.024203118762587156,0.02413531197371203,0.024113355468765817,0.023859524461173745,0.023725066773216744,0.023784196326040733,0.023779343054160917,0.02378513612355987,0.023679716959304778,0.02352247317402698,0.023546163027224436
9,0.0,0.02472228067447452,0.026027081768440537,0.02942519046615463,0.028036795113839937,0.026608983152088195,0.026852288761981372,0.02531953067338232,0.026400217383579228,0.02733570158107271,0.026537392297968154,0.02613705386709643,0.02648786450348138,0.0263201860450567,0.026333328320990505,0.02583992206368639,0.02575174517562721,0.025626120135407507,0.025435429704431994,0.025998020455337306,0.026087689416040907,0.02619756587019023,0.026019438901048214,0.02611629783543261,0.026253370091108407,0.025999572243243105,0.02629883608411616,0.02606001859134673,0.026090865739385707,0.025772198676074342,0.026140805887898393,0.025818184213531974,0.02595752232770229,0.02564696322207578,0.02582003474303293,0.025695438345248896,0.0255574131141738,0.025554153098832733,0.025477630827901786,0.025738397841191234,0.02561002378990172,0.025555548205287906,0.025397165720892956,0.025279502855158908,0.025095219205244906,0.025242920390663073,0.025150565406186366,0.024934045759843423,0.024899679491714954,0.025047550638488722
10,0.0,0.02161962082949009,0.025747076217360665,0.025848107466468748,0.023145721841696196,0.023387300927791847,0.02393259179642557,0.024086637727152926,0.024681190321215105,0.02575860605032552,0.025615169087008047,0.026356991501177582,0.024952988449215608,0.0242455438054598,0.024012778463287827,0.024713125417973988,0.025722094652476258,0.02556178811361241,0.025860255602461125,0.02620436752096751,0.026163943835333617,0.025723719140913426,0.025275462499391037,0.024937365347405413,0.025063910343813084,0.025020255227953522,0.024820130027427414,0.025009541757355407,0.025060439358707155,0.024925176911975645,0.02496083137622868,0.024729131688042933,0.024698887174158937,0.02464462196881885,0.02460920824632722,0.024497632872582817,0.02463819873336773,0.024591718957154216,0.024653584345216695,0.024569281933870393,0.024478654222050786,0.024381702532211957,0.02430537729942507,0.024376513172958584,0.024331766651105424,0.02429770732662857,0.024598058356750604,0.024577022732933846,0.024680267424881067,0.02463761998497212
