SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,242.0,239.0,278.0,271.0,351.0,351.0,313.0,308.0,366.0,333.0,408.0,318.0,352.0,371.0,339.0,336.0,353.0,398.0,338.0,343.0,361.0,314.0,327.0,335.0,363.0,323.0,354.0,366.0,370.0,323.0,389.0,349.0,344.0,349.0,341.0,362.0,372.0,329.0,325.0,326.0,361.0,359.0,347.0,384.0,350.0,344.0,365.0,375.0,339.0
2,0.0,242.0,272.0,298.0,272.0,358.0,354.0,341.0,342.0,375.0,354.0,356.0,348.0,368.0,343.0,356.0,347.0,363.0,348.0,382.0,362.0,344.0,330.0,361.0,323.0,360.0,356.0,320.0,361.0,370.0,384.0,344.0,350.0,367.0,363.0,355.0,351.0,371.0,426.0,331.0,339.0,338.0,434.0,341.0,390.0,373.0,367.0,355.0,395.0,324.0
3,0.0,266.0,295.0,306.0,342.0,316.0,344.0,352.0,375.0,376.0,348.0,360.0,304.0,314.0,339.0,374.0,337.0,388.0,388.0,362.0,374.0,343.0,313.0,389.0,403.0,379.0,347.0,371.0,389.0,381.0,419.0,364.0,368.0,332.0,360.0,378.0,384.0,351.0,367.0,348.0,419.0,346.0,408.0,373.0,349.0,378.0,380.0,393.0,378.0,363.0
4,0.0,264.0,273.0,298.0,330.0,380.0,351.0,383.0,365.0,341.0,370.0,415.0,339.0,360.0,378.0,382.0,427.0,448.0,333.0,410.0,352.0,367.0,397.0,368.0,387.0,369.0,357.0,450.0,371.0,366.0,365.0,362.0,384.0,412.0,406.0,406.0,389.0,357.0,328.0,420.0,410.0,401.0,394.0,372.0,385.0,392.0,363.0,396.0,346.0,393.0
5,0.0,244.0,317.0,325.0,295.0,394.0,392.0,386.0,371.0,370.0,376.0,356.0,366.0,378.0,414.0,410.0,414.0,381.0,372.0,342.0,372.0,382.0,381.0,400.0,358.0,365.0,391.0,377.0,392.0,321.0,428.0,341.0,412.0,396.0,445.0,381.0,358.0,336.0,364.0,434.0,380.0,355.0,381.0,391.0,360.0,361.0,405.0,373.0,360.0,362.0
6,0.0,284.0,303.0,348.0,341.0,396.0,346.0,363.0,397.0,342.0,376.0,336.0,396.0,347.0,422.0,380.0,382.0,401.0,374.0,407.0,355.0,405.0,363.0,446.0,392.0,384.0,389.0,400.0,353.0,393.0,379.0,326.0,327.0,323.0,364.0,386.0,368.0,338.0,412.0,402.0,319.0,366.0,415.0,399.0,428.0,339.0,347.0,376.0,365.0,399.0
7,0.0,307.0,299.0,345.0,337.0,402.0,359.0,368.0,331.0,410.0,388.0,361.0,381.0,344.0,316.0,383.0,402.0,355.0,407.0,416.0,373.0,344.0,404.0,367.0,346.0,358.0,360.0,375.0,394.0,372.0,355.0,333.0,317.0,374.0,353.0,387.0,364.0,353.0,383.0,403.0,341.0,397.0,309.0,382.0,374.0,342.0,368.0,393.0,429.0,422.0
8,0.0,274.0,325.0,302.0,353.0,326.0,306.0,327.0,367.0,386.0,364.0,352.0,402.0,368.0,362.0,403.0,406.0,385.0,357.0,342.0,359.0,364.0,406.0,379.0,398.0,395.0,381.0,364.0,389.0,379.0,389.0,404.0,404.0,403.0,422.0,394.0,385.0,363.0,347.0,379.0,375.0,396.0,374.0,376.0,351.0,369.0,388.0,429.0,371.0,394.0
9,0.0,259.0,255.0,340.0,344.0,337.0,401.0,356.0,331.0,345.0,391.0,364.0,365.0,368.0,396.0,344.0,367.0,393.0,323.0,348.0,341.0,345.0,306.0,395.0,394.0,372.0,440.0,345.0,383.0,388.0,369.0,424.0,377.0,358.0,421.0,357.0,335.0,442.0,417.0,360.0,357.0,358.0,354.0,376.0,367.0,330.0,355.0,442.0,356.0,398.0
10,0.0,260.0,369.0,312.0,354.0,361.0,343.0,377.0,415.0,377.0,365.0,293.0,420.0,430.0,388.0,390.0,320.0,347.0,400.0,318.0,396.0,380.0,346.0,350.0,374.0,354.0,345.0,382.0,368.0,353.0,429.0,348.0,353.0,348.0,353.0,367.0,362.0,388.0,351.0,399.0,461.0,374.0,391.0,390.0,386.0,419.0,421.0,383.0,365.0,359.0
11,0.0,273.0,330.0,329.0,295.0,319.0,336.0,395.0,360.0,420.0,372.0,379.0,393.0,369.0,322.0,368.0,350.0,383.0,401.0,315.0,415.0,405.0,350.0,359.0,381.0,416.0,330.0,328.0,402.0,383.0,388.0,341.0,325.0,382.0,330.0,419.0,373.0,402.0,417.0,382.0,346.0,330.0,328.0,371.0,371.0,321.0,312.0,368.0,358.0,344.0
