SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,13.0,17.0,9.0,17.0,15.0,14.0,9.0,0.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,2.0,9.0,1.0,7.0,8.0,14.0,18.0,16.0,1.0,0.0,0.0,2.0,7.0,21.0,22.0,19.0,19.0,18.0,20.0,19.0,18.0,11.0,21.0,25.0,42.0,50.0,55.0
7,0.0,0.0,1.0,13.0,26.0,23.0,23.0,27.0,26.0,33.0,37.0,52.0,57.0,64.0,69.0,81.0,93.0,109.0,120.0,117.0,112.0,129.0,136.0,151.0,173.0,180.0,193.0,203.0,193.0,198.0,203.0,210.0,205.0,215.0,235.0,245.0,253.0,256.0,262.0,272.0,274.0,284.0,295.0,301.0,318.0,333.0,337.0,342.0,343.0,361.0
8,0.0,6.0,13.0,14.0,21.0,42.0,61.0,74.0,86.0,86.0,91.0,96.0,106.0,109.0,109.0,121.0,126.0,139.0,163.0,187.0,207.0,219.0,227.0,235.0,249.0,252.0,269.0,281.0,311.0,324.0,340.0,359.0,382.0,383.0,393.0,391.0,414.0,424.0,422.0,440.0,441.0,453.0,455.0,461.0,468.0,463.0,456.0,474.0,488.0,505.0
9,0.0,0.0,17.0,29.0,50.0,63.0,57.0,74.0,91.0,94.0,119.0,142.0,156.0,182.0,184.0,197.0,210.0,224.0,244.0,254.0,274.0,287.0,292.0,303.0,325.0,331.0,338.0,352.0,364.0,378.0,398.0,426.0,442.0,468.0,488.0,513.0,522.0,559.0,586.0,585.0,586.0,588.0,587.0,611.0,631.0,635.0,642.0,662.0,679.0,693.0
10,0.0,12.0,25.0,20.0,43.0,54.0,84.0,93.0,108.0,130.0,134.0,167.0,192.0,204.0,222.0,244.0,258.0,255.0,270.0,263.0,285.0,297.0,316.0,329.0,338.0,349.0,373.0,407.0,429.0,470.0,504.0,526.0,551.0,571.0,599.0,628.0,647.0,674.0,698.0,725.0,743.0,789.0,823.0,852.0,882.0,888.0,895.0,923.0,932.0,942.0
