SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,153.0,164.0,193.0,170.0,195.0,189.0,141.0,205.0,165.0,157.0,184.0,158.0,157.0,158.0,158.0,166.0,166.0,195.0,178.0,154.0,152.0,166.0,186.0,139.0,167.0,165.0,172.0,156.0,185.0,180.0,156.0,180.0,180.0,165.0,180.0,198.0,165.0,160.0,181.0,170.0,173.0,163.0,164.0,157.0,173.0,148.0,174.0,156.0,160.0
2,0.0,159.0,150.0,151.0,154.0,170.0,173.0,172.0,185.0,180.0,166.0,175.0,153.0,153.0,141.0,181.0,186.0,174.0,168.0,187.0,197.0,165.0,173.0,183.0,155.0,166.0,173.0,168.0,172.0,181.0,181.0,177.0,157.0,168.0,167.0,190.0,183.0,168.0,205.0,177.0,155.0,179.0,159.0,186.0,149.0,179.0,178.0,164.0,168.0,165.0
3,0.0,145.0,167.0,177.0,158.0,177.0,185.0,165.0,191.0,145.0,169.0,156.0,165.0,164.0,169.0,178.0,188.0,184.0,182.0,180.0,176.0,177.0,197.0,167.0,169.0,144.0,171.0,175.0,175.0,172.0,164.0,159.0,171.0,170.0,187.0,171.0,166.0,160.0,183.0,174.0,130.0,163.0,146.0,154.0,178.0,147.0,195.0,183.0,189.0,174.0
4,0.0,165.0,187.0,183.0,159.0,180.0,191.0,192.0,161.0,166.0,173.0,167.0,151.0,163.0,197.0,157.0,197.0,177.0,164.0,165.0,183.0,166.0,159.0,146.0,170.0,161.0,178.0,121.0,179.0,174.0,216.0,179.0,166.0,170.0,159.0,165.0,161.0,162.0,169.0,148.0,172.0,173.0,157.0,135.0,154.0,173.0,185.0,169.0,139.0,174.0
5,0.0,170.0,176.0,173.0,170.0,159.0,164.0,157.0,171.0,184.0,150.0,187.0,154.0,142.0,176.0,189.0,158.0,175.0,149.0,178.0,174.0,164.0,171.0,193.0,159.0,170.0,174.0,157.0,177.0,154.0,183.0,174.0,180.0,172.0,176.0,164.0,183.0,162.0,180.0,161.0,176.0,192.0,165.0,165.0,195.0,161.0,174.0,193.0,146.0,174.0
6,0.0,132.0,156.0,158.0,166.0,159.0,186.0,161.0,168.0,171.0,160.0,170.0,169.0,188.0,176.0,146.0,151.0,167.0,164.0,179.0,199.0,184.0,135.0,165.0,175.0,164.0,157.0,199.0,173.0,192.0,162.0,159.0,153.0,199.0,156.0,153.0,175.0,170.0,178.0,140.0,170.0,172.0,175.0,139.0,174.0,151.0,186.0,160.0,171.0,167.0
7,0.0,150.0,174.0,170.0,173.0,174.0,182.0,168.0,186.0,167.0,180.0,188.0,184.0,163.0,192.0,165.0,164.0,171.0,188.0,159.0,173.0,176.0,167.0,175.0,172.0,156.0,163.0,176.0,174.0,168.0,163.0,181.0,178.0,167.0,137.0,188.0,183.0,189.0,177.0,189.0,148.0,187.0,165.0,137.0,190.0,155.0,204.0,166.0,167.0,191.0
8,0.0,166.0,170.0,172.0,174.0,148.0,184.0,150.0,167.0,169.0,166.0,180.0,137.0,144.0,154.0,168.0,175.0,154.0,193.0,172.0,182.0,172.0,158.0,206.0,175.0,174.0,183.0,172.0,181.0,178.0,195.0,172.0,175.0,158.0,179.0,190.0,164.0,172.0,179.0,158.0,165.0,168.0,172.0,169.0,172.0,182.0,168.0,183.0,167.0,181.0
9,0.0,148.0,173.0,190.0,171.0,183.0,178.0,165.0,157.0,160.0,183.0,164.0,142.0,154.0,199.0,163.0,166.0,164.0,189.0,193.0,173.0,171.0,170.0,169.0,171.0,174.0,147.0,179.0,171.0,178.0,182.0,173.0,182.0,167.0,159.0,167.0,174.0,158.0,160.0,143.0,173.0,188.0,202.0,172.0,155.0,163.0,190.0,172.0,173.0,193.0
10,0.0,158.0,176.0,158.0,196.0,168.0,159.0,209.0,184.0,166.0,171.0,163.0,169.0,175.0,183.0,154.0,158.0,200.0,216.0,150.0,224.0,159.0,206.0,148.0,204.0,157.0,172.0,206.0,152.0,215.0,158.0,157.0,177.0,174.0,145.0,199.0,179.0,168.0,156.0,184.0,162.0,169.0,170.0,166.0,154.0,181.0,182.0,156.0,172.0,163.0
11,0.0,154.0,162.0,154.0,205.0,191.0,132.0,145.0,172.0,167.0,184.0,159.0,227.0,163.0,182.0,160.0,162.0,174.0,189.0,168.0,176.0,202.0,166.0,203.0,163.0,190.0,179.0,183.0,173.0,181.0,169.0,166.0,180.0,170.0,189.0,195.0,167.0,176.0,158.0,175.0,174.0,184.0,163.0,179.0,149.0,184.0,172.0,210.0,151.0,165.0
12,0.0,164.0,195.0,177.0,178.0,175.0,153.0,187.0,150.0,174.0,163.0,147.0,159.0,183.0,134.0,190.0,199.0,209.0,165.0,152.0,147.0,165.0,150.0,140.0,163.0,184.0,126.0,208.0,191.0,214.0,185.0,153.0,192.0,149.0,191.0,154.0,163.0,175.0,165.0,185.0,189.0,172.0,140.0,247.0,179.0,177.0,176.0,187.0,159.0,160.0
