total_num_patients, total_num_ed_patients, total_num_patients_entered,total_num_ed_patients_entered,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab,avg_doctor_utilization_surgery
7514.0,822.0,7780.0,1195.0,58.92,109.0,0.0,16.11764705882353,0.0,8.326394671107411E-4,0.0033305578684429643,0.0,0.0,0.0,0.0,58.089296729549886,0.0,0.22267582626224341,0.11817645416625999,0.0,2.570470911711137,147.33333333333334,0.0,0,0,0,0,0.0033305578684429643,0.4685413875275438,
8552.0,1661.0,8872.0,2380.0,57.37,109.0,0.0,32.568627450980394,0.0,0.014154870940882597,0.0016652789342214821,0.0,0.0,0.0,0.0,83.77393038195653,0.0,0.26122282086925624,0.13677338253177374,0.0,4.642268929839859,167.68627450980392,0.0,0,0,0,0,0.0016652789342214821,0.47011114189603986,
9739.0,2437.0,10111.0,3531.0,67.91,127.0,0.0,47.78431372549019,0.0,0.027477102414654453,0.03164029975020816,0.0,0.0,0.0,0.0,99.326813586,0.0,0.32968466953352077,0.1654930138034066,0.0,6.717172855998185,190.9607843137255,0.0,0,0,0,0,0.03164029975020816,0.5780467611594832,
10652.0,3302.0,11065.0,4713.0,62.19,125.0,0.0,64.74509803921569,0.0,0.03913405495420483,0.054954204829308906,0.010824313072439634,0.0,0.0,0.0,97.40887062144444,0.0,0.3625486174145204,0.2546843980039084,0.0,8.307245479829868,208.86274509803923,0.0,0,0,0,0,0.054954204829308906,0.5718779349177682,
11890.0,4142.0,12366.0,6009.0,52.55,134.0,0.0,81.2156862745098,0.0,0.18151540383014156,0.1315570358034971,0.03746877601998335,0.0,0.011656952539550375,0.0,110.85295737414509,0.0,0.4583762993761539,0.29105100068036144,2.6611896821009394E-4,10.466620396326697,233.13725490196077,0.0,0,0,0,0,0.1315570358034971,0.6321516140671601,
12991.0,4996.0,13484.0,7187.0,47.54,135.0,0.0,97.96078431372548,0.0,0.15736885928393005,0.3122398001665279,0.08076602830974189,0.0,0.0,0.0,109.35357909760138,0.0,0.4684444403503425,0.37579900925730897,0.001161274116895456,12.411167316581285,254.72549019607843,0.0,0,0,0,0,0.3122398001665279,0.5895426066770382,
14210.0,5816.0,14800.0,8302.0,61.13,162.0,0.0,114.03921568627452,0.0,0.3080766028309742,0.8334721065778518,0.13072439633638636,0.0,0.002497918401332223,0.0,113.28514179427182,0.0,0.5125895398952799,0.5093669477618802,0.0020608796458342752,15.147545250590925,278.62745098039215,0.0,0,0,0,0,0.8334721065778518,0.6320686948945219,
15532.0,6692.0,16142.0,9641.0,51.2,171.0,0.0,131.2156862745098,2.777392028884877E-4,1.4263114071606995,1.4429641965029143,0.38467943380516234,0.0,0.0,0.0,121.12005404925631,0.0,0.5759697422325419,0.46263446301911154,0.0050347733539036705,23.331878286905294,304.54901960784315,0.0,0,0,0,0,1.4429641965029143,0.6647960906147908,
16334.0,7378.0,17081.0,10604.0,47.28,174.0,0.0,144.66666666666666,4.1660880433273156E-4,2.5620316402997503,2.3422148209825147,0.5695253955037469,0.0,0.041631973355537054,0.0,121.92384365659377,0.0,0.6199293682891549,0.4263914843441148,0.01231368229605705,31.84236214301237,320.27450980392155,0.0,0,0,0,0,2.3422148209825147,0.7076828900126466,
17717.0,8423.0,18464.0,11925.0,56.96,225.0,18.0,165.15686274509804,1.0019441744202193,11.684429641965028,9.261448792672773,0.6661115736885929,0.0,0.02997502081598668,0.02873649040385093,125.17405333135201,0.0,0.6520874489808124,0.6275517897323469,6.42380607724203,94.46817203699536,347.3921568627451,4.0,5,0,0,0,9.261448792672773,0.7398573475559407,
18647.0,9408.0,19631.0,13274.0,53.35,191.0,64.0,184.47058823529412,4.523260658241911,22.080766028309743,11.295587010824313,2.003330557868443,8.326394671107411E-4,0.011656952539550375,0.12405462575633262,138.0820676922774,41.936750991942496,0.7024242646772738,0.5472838069913287,25.739775641182458,143.8016533216995,365.62745098039215,14.0,0,0,0,0,11.295587010824313,0.7416894465585556,
19640.0,10110.0,20899.0,14351.0,52.08,213.0,344.0,198.23529411764707,12.45188168309957,28.71940049958368,14.085761865112406,1.3205661948376353,0.0,0.24479600333055787,0.3742283037297611,164.96647877642053,74.831191261468,0.7226977248652072,0.6077038713487438,63.16546193931798,192.33186468060686,385.0980392156863,33.0,33,0,0,0,14.085761865112406,0.8242545749911083,
20887.0,11391.0,22350.0,15871.0,81.8,337.0,471.0,223.35294117647058,18.543396750451326,27.768526228143212,17.29059117402165,4.3497085761865115,0.0,0.3064113238967527,0.5963780968776798,177.9672265218676,806.0868948463648,0.7261069046195998,0.7278235501181538,84.77936327173306,211.03675193540457,409.54901960784315,50.0,79,0,0,0,17.29059117402165,0.7948693118945154,
21101.0,11729.0,23354.0,16854.0,38.55,175.0,1019.0,229.98039215686273,27.202749618108594,26.873438800999168,13.248126561199001,0.8451290591174022,0.0,0.17485428809325562,0.8655728098458125,200.96994512497056,44.9297061580184,0.7141253682469954,0.60264905393687,117.24686599186418,195.16291286641967,413.7450980392157,62.0,319,0,0,0,13.248126561199001,0.7961560312343853,
21385.0,11899.0,24438.0,17805.0,48.43,231.0,1586.0,233.31372549019608,33.806693514789615,30.421315570358036,9.2714404662781,0.9650291423813488,0.0,0.0466278101582015,1.0780656262624406,222.81389450923038,365.5274928682531,0.6713078426127436,0.607549886406786,138.13857503830795,206.03372011238133,419.3137254901961,69.0,615,0,0,0,9.2714404662781,0.7326694085408696,
22103.0,12604.0,25747.0,19160.0,43.04,207.0,2007.0,247.13725490196077,38.53159283432856,21.175686927560367,13.502914238134888,1.2714404662781016,0.0,0.13322231473771856,1.2478537424389848,225.7540589981968,47.98338881460704,0.707909072190631,0.623592229015027,148.29395393831055,188.24603017412392,433.3921568627451,75.0,745,0,0,0,13.502914238134888,0.7724290190310693,
21988.0,12614.0,26925.0,20292.0,42.89,208.0,2597.0,247.33333333333334,43.1603943896681,22.57035803497086,18.733555370524563,1.7210657785179018,0.0,0.06411323896752706,1.4479389166550913,241.56074345912089,336.21844240605293,0.681277674619207,0.6473239764238651,163.151616769447,219.09386669536403,431.1372549019608,76.0,1370,0,0,0,18.733555370524563,0.7273981492998216,
22256.0,12977.0,28195.0,21774.0,45.0,198.0,3161.0,254.45098039215685,46.38439105679767,19.17735220649459,10.513738551207327,1.305578684429642,0.0,0.017485428809325562,1.561847409633108,245.5793973917173,5.645500494930494,0.6984480228023752,0.6545167413970575,167.91627339162852,182.6136358869702,436.3921568627451,77.0,1840,0,0,0,10.513738551207327,0.7648998155140486,
