SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,13.0,19.0,19.0,21.0,22.0,26.0,27.0,30.0,32.0,35.0,35.0,33.0,32.0,30.0,29.0,28.0,27.0,29.0,28.0,30.0,32.0,34.0,35.0,37.0,37.0,36.0,36.0,36.0,36.0,35.0,34.0,35.0,35.0,34.0,35.0,36.0,37.0,38.0,38.0,39.0,38.0
2,0.0,0.0,7.0,31.0,43.0,40.0,36.0,33.0,29.0,26.0,24.0,25.0,24.0,22.0,21.0,23.0,27.0,28.0,30.0,33.0,32.0,31.0,29.0,28.0,27.0,26.0,27.0,26.0,26.0,25.0,24.0,23.0,22.0,22.0,23.0,25.0,26.0,26.0,25.0,26.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,15.0,16.0,21.0,21.0,19.0,18.0,16.0,15.0,14.0,15.0,15.0,14.0,15.0,16.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,18.0,19.0,21.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,25.0,26.0,27.0,27.0,27.0
4,0.0,0.0,0.0,11.0,29.0,35.0,30.0,30.0,36.0,40.0,40.0,42.0,42.0,43.0,44.0,41.0,39.0,37.0,35.0,33.0,31.0,30.0,28.0,27.0,26.0,26.0,28.0,31.0,32.0,31.0,30.0,29.0,29.0,28.0,27.0,26.0,26.0,27.0,29.0,28.0,29.0,31.0,30.0,31.0,32.0,31.0,31.0,31.0,32.0,31.0
5,0.0,0.0,0.0,4.0,3.0,4.0,16.0,21.0,29.0,36.0,34.0,31.0,29.0,26.0,27.0,30.0,32.0,31.0,29.0,28.0,26.0,25.0,24.0,23.0,22.0,21.0,22.0,23.0,25.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,34.0,33.0,32.0,32.0,31.0,32.0,32.0
6,0.0,0.0,0.0,0.0,7.0,17.0,21.0,19.0,24.0,28.0,31.0,35.0,39.0,37.0,35.0,33.0,35.0,34.0,36.0,35.0,33.0,32.0,33.0,33.0,35.0,36.0,36.0,36.0,35.0,36.0,35.0,34.0,33.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,38.0,38.0,40.0,41.0,40.0,40.0,40.0,40.0,40.0
7,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,10.0,15.0,22.0,24.0,22.0,21.0,20.0,20.0,23.0,26.0,28.0,27.0,26.0,28.0,29.0,30.0,31.0,32.0,33.0,35.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,29.0,29.0,29.0,31.0,31.0,30.0,29.0,29.0,28.0,28.0,27.0,26.0,26.0,25.0
8,0.0,0.0,0.0,0.0,0.0,16.0,25.0,23.0,20.0,17.0,16.0,14.0,16.0,21.0,22.0,24.0,23.0,22.0,21.0,21.0,20.0,22.0,24.0,27.0,29.0,28.0,29.0,28.0,27.0,28.0,30.0,29.0,29.0,29.0,28.0,30.0,31.0,32.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0
9,0.0,0.0,0.0,6.0,11.0,24.0,33.0,41.0,41.0,41.0,44.0,44.0,47.0,45.0,42.0,44.0,44.0,46.0,44.0,42.0,40.0,38.0,36.0,35.0,33.0,32.0,31.0,30.0,32.0,32.0,32.0,32.0,31.0,30.0,30.0,29.0,28.0,27.0,26.0,26.0,25.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,26.0
10,0.0,0.0,0.0,0.0,2.0,18.0,18.0,16.0,14.0,12.0,14.0,14.0,17.0,22.0,27.0,30.0,32.0,31.0,31.0,33.0,35.0,35.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,31.0,30.0,30.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,30.0,31.0,31.0,32.0,32.0
