total_num_patients,total_num_ed_patients,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab
15770.0,12083.0,0.93,146.0,533.0,163.76470588235293,16.055408970976252,34.332223147377185,0.07993338884263114,0.41298917568692756,0.0,0.07243963363863447,0.4598831140411075,179.371238546938,0.0,0.564628798542833,0.5382814455208352,91.73569500286322,223.0856036414011,285.05882352941177,39.0,39,0,0,0,0.07993338884263114,
16161.0,12029.0,0.93,150.0,170.0,167.62745098039215,8.752812109429247,30.210657785179016,0.14737718567860117,0.5012489592006661,0.0,0.014154870940882597,0.2516499540333846,153.58392945075678,20.759532265405966,0.5612675468211202,0.583387250216356,53.05246191877574,178.22323747283696,300.15686274509807,25.0,3,0,0,0,0.14737718567860117,
16615.0,12075.0,0.92,153.0,193.0,169.09803921568627,8.808776558811276,31.6278101582015,0.3488759367194005,0.6627810158201499,0.0,0.10324729392173189,0.24728286533292784,152.2526765234745,0.0,0.5808539907155257,0.5185950508596792,52.51372297941265,180.04584105558115,308.6666666666667,26.0,27,0,0,0,0.3488759367194005,
17029.0,12000.0,0.84,143.0,254.0,165.49019607843138,10.932092764893765,28.786844296419652,0.6278101582014988,0.6328059950041632,0.0,0.04995836802664446,0.3108209231674054,167.3724788891012,0.0,0.546316249208274,0.5771144335115175,65.33451180841244,168.82357670203413,315.0,30.0,26,0,0,0,0.6278101582014988,
17720.0,11962.0,0.92,163.0,337.0,164.64705882352942,11.722677405915846,31.961698584512906,0.9059117402164862,0.5029142381348876,0.0,0.2373022481265612,0.3372834937520616,163.56185766725287,11.584505342956401,0.5649141650226585,0.5254236535149119,68.12417980177139,179.5827032065084,325.6078431372549,31.0,15,0,0,0,0.9059117402164862,
17930.0,11934.0,0.86,154.0,383.0,165.62745098039215,15.611165115956117,36.661115736885925,1.906744379683597,0.5320566194837635,0.0,0.014154870940882597,0.4384307445376348,180.08276124961148,39.56189490036299,0.5505735353569997,0.5418136731703171,92.10430466344494,211.35038805855905,329.29411764705884,41.0,55,0,0,0,1.906744379683597,
18495.0,11975.0,0.8,148.0,218.0,166.7450980392157,8.528815442299681,27.92339716902581,3.3255620316403,0.8159866777685262,0.0,0.01582014987510408,0.23628614885900484,153.68166388857955,0.0,0.564615486833412,0.5190036030152144,50.788822023628626,154.99429800416135,345.1372549019608,25.0,9,0,0,0,3.3255620316403,
19036.0,12122.0,0.64,121.0,295.0,168.6078431372549,12.418414109151506,33.93172356369692,3.437135720233139,0.5978351373855121,0.0,0.07160699417152373,0.3580347406664018,164.71319428390836,0.0,0.5757875049517581,0.5110546179205522,73.03194975111164,184.35993824195782,353.03921568627453,33.0,9,0,0,0,3.437135720233139,
19404.0,11855.0,0.79,153.0,197.0,166.15686274509804,8.768643243993889,30.208159866777684,7.306411323896753,0.5228975853455454,0.0,0.06078268109908409,0.244558937281148,157.42412537496608,0.0,0.5369110487342958,0.5461984702378021,52.798197406678796,172.70454088983152,361.2156862745098,25.0,10,0,0,0,7.306411323896753,
19942.0,11900.0,0.79,158.0,221.0,168.84313725490196,10.900708234967366,34.26477935054122,12.355537052456286,0.7485428809325562,0.0,0.009991673605328892,0.30635765381810337,162.73960191888847,0.0,0.5340101799835116,0.492221874285082,65.21361220558944,206.19497282590783,372.1764705882353,32.0,0,0,0,0,12.355537052456286,
20665.0,11929.0,0.62,128.0,520.0,166.37254901960785,19.068601583113455,35.945878434637805,12.141548709408825,0.2248126561199001,0.0,0.0033305578684429643,0.5429827504348734,192.43338680011834,0.0,0.5168087223601558,0.509295906817984,110.82547700052683,225.54052990920704,379.72549019607845,50.0,25,0,0,0,12.141548709408825,
21228.0,12056.0,0.68,145.0,732.0,164.31372549019608,21.68323843910568,37.13238967527061,15.7285595337219,0.6702747710241466,0.0,0.03746877601998335,0.6237260539326526,201.50854114029897,0.3520776553447622,0.5129285142300648,0.5748168553800671,122.40513689716613,242.31105372595798,385.5686274509804,54.0,71,0,0,0,15.7285595337219,
21685.0,12166.0,0.61,133.0,1072.0,162.37254901960785,26.276628246076935,37.28393005828476,24.750208159866776,0.29891756869275604,0.0,0.002497918401332223,0.7534391567124711,219.1091738292496,2.9017826340905737,0.4993500044334078,0.37533088578707174,143.7020903933343,279.76362761858206,386.7843137254902,62.0,100,0,0,0,24.750208159866776,
22169.0,11970.0,0.51,114.0,1572.0,153.86274509803923,33.63324538258575,36.81182348043297,27.21398834304746,0.2031640299750208,0.0,0.002497918401332223,0.956779384344954,246.9310411915708,0.0,0.45694938745299213,0.4773718330081594,184.97718821910735,298.48678794681825,386.7843137254902,73.0,97,0,0,0,27.21398834304746,
22433.0,12018.0,0.56,126.0,1700.0,153.23529411764707,35.316900430495764,35.666111573688596,29.645295587010825,0.12073272273105745,0.0,0.002497918401332223,1.0065417354525388,249.89107724384914,0.0,0.4476653548394212,0.3662249685808855,193.07873304272863,306.13572313869383,384.62745098039215,75.0,130,0,0,0,29.645295587010825,
23126.0,11947.0,0.54,126.0,2142.0,142.7450980392157,37.63602277461464,37.76686094920899,29.533721898417983,0.054954204829308906,0.0,0.009159034138218152,1.056515131470898,260.9135228610807,0.0,0.41993814492901893,0.45353982446931695,204.2726482572668,317.2767668542396,379.6470588235294,74.0,229,0,0,0,29.533721898417983,
23647.0,12036.0,0.59,140.0,2103.0,145.90196078431373,38.27454520205527,36.92506244796003,29.81099084096586,0.049125728559533725,0.0,0.0016652789342214821,1.076621011459167,261.3886534902511,0.0,0.4297893275198307,0.549613734148374,211.40566042067692,316.9425295929307,382.52941176470586,75.0,214,0,0,0,29.81099084096586,
24026.0,11930.0,0.48,116.0,1882.0,148.3921568627451,38.1230384668796,37.25062447960033,29.75437135720233,0.11990008326394672,0.0,0.0,1.085566143369536,264.52822213512906,0.0,0.4191064273587054,0.39191549020165717,213.37415468266119,318.9837151644216,384.1764705882353,76.0,198,0,0,0,29.75437135720233,
24637.0,12071.0,0.43,106.0,2464.0,140.5686274509804,40.36994861824746,37.333888426311404,29.834304746044964,0.08659450457951708,0.0,0.004995836802664446,1.1288711542874719,265.13102671019215,0.0,0.4319921864463409,0.41606152458843165,217.3408760896206,318.41620327512584,382.8627450980392,76.0,182,0,0,0,29.834304746044964,
25349.0,12135.0,0.41,104.0,1907.0,149.98039215686273,38.20538814053604,37.07826810990841,29.790174854288093,0.10657785179017486,0.0,0.009159034138218152,1.0826446208523646,266.39951788682885,0.0,0.42194670332763184,0.38613186272212574,208.87519290805224,316.8745778706818,385.0980392156863,77.0,173,0,0,0,29.790174854288093,
