SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,0.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,20.0,21.0,5.0,0.0,0.0,21.0,6.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0
7,0.0,7.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,15.0,14.0,0.0,4.0,0.0,0.0,6.0,0.0,8.0,0.0,4.0,0.0,20.0,0.0,0.0,3.0,5.0,9.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,14.0,13.0,27.0,21.0,29.0,20.0,24.0,12.0,0.0,10.0,1.0,3.0,0.0,7.0,0.0,30.0,1.0,0.0,16.0,0.0,5.0,0.0,7.0,0.0,0.0,21.0,0.0,10.0,0.0,7.0,0.0,11.0,6.0,9.0,10.0,12.0,26.0,15.0,27.0,0.0,30.0,0.0,0.0,25.0,30.0,16.0,0.0,0.0,1.0
9,0.0,12.0,12.0,30.0,30.0,30.0,15.0,0.0,0.0,8.0,5.0,0.0,30.0,27.0,25.0,16.0,0.0,0.0,9.0,0.0,15.0,5.0,6.0,23.0,30.0,28.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,16.0,5.0,13.0,8.0,27.0,0.0,5.0,6.0,19.0,30.0,4.0,0.0,30.0,18.0
10,0.0,20.0,30.0,30.0,26.0,30.0,30.0,29.0,30.0,22.0,0.0,5.0,10.0,25.0,23.0,12.0,30.0,30.0,30.0,3.0,1.0,0.0,12.0,17.0,30.0,30.0,30.0,30.0,30.0,9.0,30.0,30.0,26.0,30.0,30.0,23.0,21.0,5.0,5.0,4.0,10.0,10.0,7.0,3.0,22.0,23.0,0.0,14.0,13.0,30.0
11,0.0,5.0,30.0,24.0,30.0,30.0,30.0,23.0,0.0,24.0,19.0,6.0,4.0,28.0,30.0,5.0,26.0,28.0,12.0,30.0,30.0,30.0,22.0,21.0,30.0,30.0,30.0,21.0,30.0,0.0,14.0,30.0,30.0,30.0,4.0,30.0,3.0,16.0,29.0,30.0,30.0,28.0,30.0,30.0,13.0,0.0,22.0,19.0,30.0,30.0
12,0.0,29.0,16.0,18.0,30.0,27.0,0.0,2.0,1.0,18.0,28.0,30.0,30.0,30.0,30.0,20.0,30.0,12.0,25.0,30.0,4.0,24.0,30.0,28.0,17.0,30.0,30.0,30.0,30.0,29.0,24.0,30.0,30.0,30.0,30.0,1.0,18.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
