SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,166.0,166.0,191.0,191.0,168.0,168.0,150.0,150.0,153.0,153.0,170.0,170.0,191.0,191.0,173.0,173.0,151.0,151.0,188.0,188.0,177.0,177.0,141.0,141.0,157.0,157.0,178.0,178.0,167.0,167.0,158.0,158.0,139.0,139.0,200.0,200.0,164.0,164.0,161.0,161.0,139.0,139.0,196.0,196.0,196.0,196.0,165.0,165.0
2,163.0,163.0,178.0,178.0,142.0,142.0,185.0,185.0,177.0,177.0,163.0,163.0,158.0,158.0,162.0,162.0,165.0,165.0,171.0,171.0,179.0,179.0,178.0,178.0,161.0,161.0,182.0,182.0,162.0,162.0,189.0,189.0,167.0,167.0,164.0,164.0,143.0,143.0,184.0,184.0,171.0,171.0,174.0,174.0,143.0,143.0,197.0,197.0,191.0,191.0
3,0.0,0.0,157.0,157.0,155.0,155.0,189.0,189.0,151.0,151.0,164.0,164.0,154.0,154.0,190.0,190.0,195.0,195.0,188.0,188.0,177.0,177.0,174.0,174.0,174.0,174.0,165.0,165.0,175.0,175.0,201.0,201.0,162.0,162.0,198.0,198.0,174.0,174.0,169.0,169.0,157.0,157.0,168.0,168.0,172.0,172.0,180.0,180.0,171.0,171.0
4,191.0,191.0,157.0,157.0,160.0,160.0,189.0,189.0,184.0,184.0,155.0,155.0,165.0,165.0,193.0,193.0,171.0,171.0,189.0,189.0,177.0,177.0,177.0,177.0,173.0,173.0,181.0,181.0,171.0,171.0,185.0,185.0,179.0,179.0,167.0,167.0,163.0,163.0,174.0,174.0,168.0,168.0,172.0,172.0,168.0,168.0,177.0,177.0,196.0,196.0
5,0.0,0.0,157.0,157.0,169.0,169.0,162.0,162.0,179.0,179.0,148.0,148.0,146.0,146.0,147.0,147.0,172.0,172.0,180.0,180.0,182.0,182.0,167.0,167.0,154.0,154.0,154.0,154.0,171.0,171.0,164.0,164.0,187.0,187.0,171.0,171.0,171.0,171.0,181.0,181.0,175.0,175.0,157.0,157.0,169.0,169.0,145.0,145.0,175.0,175.0
6,174.0,174.0,169.0,169.0,194.0,194.0,159.0,159.0,156.0,156.0,151.0,151.0,187.0,187.0,187.0,187.0,172.0,172.0,160.0,160.0,194.0,194.0,169.0,169.0,190.0,190.0,182.0,182.0,177.0,177.0,168.0,168.0,173.0,173.0,170.0,170.0,167.0,167.0,161.0,161.0,186.0,186.0,164.0,164.0,174.0,174.0,191.0,191.0,170.0,170.0
7,0.0,0.0,164.0,164.0,142.0,142.0,161.0,161.0,172.0,172.0,177.0,177.0,153.0,153.0,181.0,181.0,166.0,166.0,176.0,176.0,151.0,151.0,171.0,171.0,151.0,151.0,170.0,170.0,170.0,170.0,177.0,177.0,177.0,177.0,183.0,183.0,177.0,177.0,190.0,190.0,156.0,156.0,197.0,197.0,178.0,178.0,179.0,179.0,179.0,179.0
8,163.0,163.0,176.0,176.0,152.0,152.0,194.0,194.0,145.0,145.0,173.0,173.0,171.0,171.0,168.0,168.0,177.0,177.0,180.0,180.0,173.0,173.0,192.0,192.0,160.0,160.0,169.0,169.0,165.0,165.0,173.0,173.0,165.0,165.0,185.0,185.0,169.0,169.0,175.0,175.0,185.0,185.0,158.0,158.0,156.0,156.0,188.0,188.0,158.0,158.0
9,0.0,0.0,162.0,162.0,175.0,175.0,180.0,180.0,191.0,191.0,170.0,170.0,165.0,165.0,159.0,159.0,201.0,201.0,156.0,156.0,175.0,175.0,170.0,170.0,175.0,175.0,194.0,194.0,154.0,154.0,134.0,134.0,174.0,174.0,155.0,155.0,201.0,201.0,150.0,150.0,167.0,167.0,165.0,165.0,173.0,173.0,166.0,166.0,158.0,158.0
10,160.0,160.0,179.0,179.0,178.0,178.0,162.0,162.0,176.0,176.0,187.0,187.0,139.0,139.0,164.0,164.0,177.0,177.0,162.0,162.0,174.0,174.0,163.0,163.0,179.0,179.0,154.0,154.0,167.0,167.0,154.0,154.0,156.0,156.0,178.0,178.0,164.0,164.0,156.0,156.0,182.0,182.0,175.0,175.0,171.0,171.0,179.0,179.0,162.0,162.0
