SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,0.0,2.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0
7,0.0,5.0,0.0,0.0,0.0,1.0,14.0,4.0,12.0,0.0,0.0,4.0,8.0,0.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,3.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
8,0.0,10.0,5.0,6.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,4.0,1.0,7.0,3.0,18.0,0.0,0.0,0.0
9,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,9.0,0.0,13.0,3.0,0.0,17.0,29.0,0.0,8.0,0.0,0.0,12.0,6.0,16.0,3.0,13.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,3.0,8.0,14.0,0.0,8.0,9.0,8.0,2.0,0.0,28.0,1.0,0.0,0.0,0.0,8.0,30.0,7.0
10,0.0,9.0,12.0,1.0,11.0,16.0,9.0,17.0,15.0,0.0,3.0,1.0,0.0,0.0,6.0,11.0,30.0,14.0,30.0,0.0,25.0,21.0,10.0,30.0,4.0,19.0,22.0,1.0,12.0,7.0,7.0,13.0,6.0,0.0,19.0,24.0,26.0,28.0,25.0,30.0,17.0,16.0,0.0,0.0,8.0,28.0,25.0,0.0,16.0,0.0
