SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
4,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,34.0,57.0,60.0,60.0,60.0,62.0,62.0,65.0,65.0,66.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,116.0,122.0,122.0,122.0,125.0,130.0,156.0,157.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0
5,0.0,0.0,0.0,0.0,1.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,44.0,45.0,45.0,45.0,45.0,45.0,108.0,125.0,125.0,127.0,133.0,180.0,210.0,210.0,210.0,210.0,212.0,215.0,215.0,226.0,226.0,227.0,240.0,284.0,349.0,377.0,377.0,377.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,391.0
6,0.0,0.0,0.0,13.0,23.0,35.0,35.0,35.0,37.0,37.0,38.0,94.0,109.0,164.0,183.0,185.0,187.0,196.0,196.0,216.0,233.0,247.0,274.0,289.0,289.0,294.0,324.0,328.0,390.0,409.0,424.0,468.0,560.0,648.0,693.0,717.0,728.0,731.0,767.0,768.0,768.0,769.0,774.0,781.0,782.0,782.0,803.0,838.0,865.0,880.0
7,0.0,0.0,0.0,0.0,11.0,38.0,60.0,64.0,134.0,143.0,143.0,147.0,179.0,194.0,237.0,279.0,313.0,386.0,405.0,406.0,408.0,465.0,519.0,559.0,583.0,611.0,687.0,765.0,777.0,786.0,843.0,911.0,1017.0,1046.0,1110.0,1161.0,1172.0,1175.0,1215.0,1252.0,1293.0,1321.0,1379.0,1413.0,1413.0,1419.0,1469.0,1487.0,1500.0,1500.0
8,0.0,0.0,0.0,0.0,14.0,82.0,130.0,202.0,247.0,261.0,286.0,287.0,302.0,335.0,383.0,390.0,408.0,455.0,466.0,530.0,571.0,635.0,680.0,709.0,736.0,746.0,766.0,777.0,800.0,848.0,854.0,894.0,894.0,895.0,911.0,923.0,963.0,1016.0,1066.0,1076.0,1100.0,1111.0,1144.0,1149.0,1216.0,1281.0,1317.0,1334.0,1356.0,1386.0
9,0.0,0.0,24.0,87.0,129.0,173.0,186.0,207.0,283.0,335.0,362.0,375.0,375.0,391.0,395.0,436.0,479.0,504.0,541.0,620.0,654.0,747.0,830.0,854.0,876.0,914.0,934.0,950.0,989.0,1004.0,1051.0,1067.0,1070.0,1100.0,1134.0,1136.0,1189.0,1208.0,1220.0,1242.0,1269.0,1368.0,1413.0,1489.0,1510.0,1594.0,1630.0,1659.0,1699.0,1736.0
10,0.0,2.0,3.0,19.0,48.0,94.0,126.0,174.0,186.0,220.0,244.0,317.0,398.0,416.0,421.0,436.0,499.0,546.0,559.0,605.0,630.0,640.0,682.0,751.0,783.0,837.0,884.0,908.0,967.0,1024.0,1049.0,1092.0,1162.0,1225.0,1289.0,1332.0,1385.0,1413.0,1467.0,1507.0,1509.0,1510.0,1517.0,1525.0,1531.0,1548.0,1583.0,1585.0,1587.0,1626.0
