SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,191.0,191.0,188.0,188.0,163.0,163.0,194.0,194.0,173.0,173.0,165.0,165.0,202.0,202.0,202.0,202.0,201.0,201.0,189.0,189.0,205.0,205.0,218.0,218.0,192.0,192.0,210.0,210.0,201.0,201.0,192.0,192.0,179.0,179.0,229.0,229.0,190.0,190.0,207.0,207.0,196.0,196.0,152.0,152.0,220.0,220.0,211.0,211.0
2,190.0,190.0,62.0,62.0,50.0,50.0,86.0,86.0,103.0,103.0,101.0,101.0,86.0,86.0,88.0,88.0,80.0,80.0,93.0,93.0,90.0,90.0,89.0,89.0,92.0,92.0,79.0,79.0,92.0,92.0,88.0,88.0,78.0,78.0,81.0,81.0,93.0,93.0,92.0,92.0,81.0,81.0,85.0,85.0,154.0,154.0,212.0,212.0,173.0,173.0
3,0.0,0.0,164.0,164.0,193.0,193.0,188.0,188.0,214.0,214.0,172.0,172.0,175.0,175.0,168.0,168.0,181.0,181.0,175.0,175.0,183.0,183.0,174.0,174.0,209.0,209.0,170.0,170.0,193.0,193.0,217.0,217.0,194.0,194.0,179.0,179.0,193.0,193.0,186.0,186.0,214.0,214.0,190.0,190.0,194.0,194.0,190.0,190.0,208.0,208.0
4,195.0,195.0,66.0,66.0,60.0,60.0,74.0,74.0,82.0,82.0,83.0,83.0,85.0,85.0,83.0,83.0,89.0,89.0,82.0,82.0,74.0,74.0,91.0,91.0,91.0,91.0,86.0,86.0,80.0,80.0,89.0,89.0,90.0,90.0,71.0,71.0,87.0,87.0,68.0,68.0,89.0,89.0,96.0,96.0,223.0,223.0,187.0,187.0,173.0,173.0
5,0.0,0.0,184.0,184.0,179.0,179.0,181.0,181.0,169.0,169.0,194.0,194.0,198.0,198.0,186.0,186.0,161.0,161.0,189.0,189.0,205.0,205.0,224.0,224.0,170.0,170.0,208.0,208.0,214.0,214.0,195.0,195.0,204.0,204.0,198.0,198.0,202.0,202.0,207.0,207.0,199.0,199.0,197.0,197.0,198.0,198.0,193.0,193.0,222.0,222.0
6,228.0,228.0,77.0,77.0,51.0,51.0,87.0,87.0,97.0,97.0,73.0,73.0,87.0,87.0,82.0,82.0,78.0,78.0,91.0,91.0,94.0,94.0,96.0,96.0,103.0,103.0,88.0,88.0,78.0,78.0,100.0,100.0,84.0,84.0,93.0,93.0,102.0,102.0,76.0,76.0,72.0,72.0,90.0,90.0,216.0,216.0,148.0,148.0,182.0,182.0
7,0.0,0.0,169.0,169.0,173.0,173.0,187.0,187.0,181.0,181.0,195.0,195.0,194.0,194.0,210.0,210.0,164.0,164.0,167.0,167.0,191.0,191.0,204.0,204.0,144.0,144.0,207.0,207.0,218.0,218.0,181.0,181.0,207.0,207.0,197.0,197.0,190.0,190.0,181.0,181.0,203.0,203.0,195.0,195.0,179.0,179.0,174.0,174.0,185.0,185.0
8,173.0,173.0,80.0,80.0,55.0,55.0,82.0,82.0,85.0,85.0,76.0,76.0,69.0,69.0,76.0,76.0,95.0,95.0,80.0,80.0,84.0,84.0,89.0,89.0,83.0,83.0,86.0,86.0,100.0,100.0,81.0,81.0,87.0,87.0,80.0,80.0,87.0,87.0,88.0,88.0,75.0,75.0,74.0,74.0,201.0,201.0,210.0,210.0,180.0,180.0
9,0.0,0.0,161.0,161.0,222.0,222.0,195.0,195.0,199.0,199.0,198.0,198.0,206.0,206.0,189.0,189.0,185.0,185.0,202.0,202.0,171.0,171.0,174.0,174.0,187.0,187.0,187.0,187.0,198.0,198.0,192.0,192.0,200.0,200.0,189.0,189.0,179.0,179.0,198.0,198.0,198.0,198.0,174.0,174.0,184.0,184.0,164.0,164.0,178.0,178.0
10,191.0,191.0,56.0,56.0,54.0,54.0,79.0,79.0,85.0,85.0,89.0,89.0,92.0,92.0,85.0,85.0,85.0,85.0,71.0,71.0,80.0,80.0,78.0,78.0,81.0,81.0,86.0,86.0,85.0,85.0,99.0,99.0,86.0,86.0,88.0,88.0,80.0,80.0,74.0,74.0,100.0,100.0,76.0,76.0,204.0,204.0,166.0,166.0,167.0,167.0
