SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,15.0,33.0,29.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,32.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,12.0,21.0,0.0,19.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,26.0,11.0,0.0,0.0,0.0,0.0,18.0,58.0,10.0,14.0,14.0,36.0,29.0,4.0,0.0,0.0,0.0,0.0,36.0,27.0,38.0,0.0,0.0,19.0,50.0,34.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0
6,0.0,0.0,0.0,21.0,43.0,0.0,0.0,7.0,0.0,0.0,35.0,45.0,18.0,51.0,20.0,0.0,33.0,7.0,19.0,5.0,4.0,3.0,55.0,0.0,0.0,47.0,32.0,24.0,45.0,58.0,20.0,56.0,53.0,50.0,42.0,33.0,24.0,51.0,26.0,0.0,0.0,8.0,37.0,29.0,0.0,0.0,56.0,35.0,44.0,16.0
7,0.0,0.0,3.0,0.0,38.0,33.0,15.0,51.0,49.0,3.0,1.0,12.0,46.0,60.0,53.0,51.0,43.0,45.0,12.0,11.0,28.0,48.0,39.0,34.0,42.0,40.0,49.0,35.0,26.0,48.0,44.0,60.0,43.0,49.0,60.0,0.0,30.0,39.0,46.0,26.0,45.0,22.0,42.0,16.0,0.0,38.0,33.0,45.0,30.0,18.0
8,0.0,0.0,0.0,17.0,36.0,43.0,48.0,47.0,8.0,37.0,11.0,37.0,36.0,44.0,27.0,37.0,42.0,30.0,29.0,39.0,37.0,47.0,40.0,53.0,22.0,41.0,21.0,50.0,44.0,47.0,49.0,39.0,8.0,24.0,31.0,45.0,37.0,34.0,33.0,37.0,31.0,22.0,39.0,23.0,55.0,32.0,52.0,29.0,48.0,31.0
9,0.0,0.0,49.0,46.0,39.0,44.0,21.0,57.0,48.0,56.0,19.0,27.0,33.0,38.0,22.0,53.0,57.0,27.0,35.0,48.0,60.0,44.0,29.0,42.0,44.0,53.0,0.0,37.0,36.0,42.0,49.0,18.0,43.0,49.0,5.0,34.0,38.0,29.0,26.0,59.0,54.0,56.0,41.0,26.0,51.0,43.0,43.0,27.0,35.0,46.0
10,0.0,16.0,31.0,60.0,46.0,42.0,48.0,43.0,35.0,40.0,54.0,60.0,21.0,29.0,24.0,52.0,40.0,45.0,30.0,52.0,28.0,40.0,44.0,32.0,44.0,38.0,44.0,60.0,41.0,52.0,16.0,60.0,47.0,40.0,42.0,48.0,45.0,37.0,50.0,19.0,21.0,37.0,38.0,20.0,31.0,39.0,23.0,25.0,21.0,52.0
11,0.0,21.0,35.0,44.0,47.0,32.0,53.0,47.0,53.0,22.0,43.0,47.0,40.0,55.0,45.0,41.0,39.0,43.0,6.0,40.0,37.0,24.0,23.0,41.0,37.0,33.0,44.0,37.0,30.0,36.0,29.0,47.0,46.0,45.0,42.0,43.0,30.0,44.0,34.0,54.0,57.0,54.0,42.0,44.0,15.0,36.0,45.0,54.0,55.0,28.0
12,0.0,32.0,41.0,50.0,42.0,53.0,37.0,41.0,35.0,30.0,29.0,55.0,52.0,44.0,55.0,23.0,42.0,37.0,38.0,37.0,17.0,11.0,45.0,50.0,46.0,50.0,16.0,17.0,25.0,35.0,40.0,54.0,20.0,40.0,41.0,20.0,22.0,39.0,60.0,42.0,45.0,31.0,47.0,32.0,18.0,50.0,28.0,60.0,52.0,51.0
13,0.0,16.0,29.0,47.0,60.0,50.0,45.0,46.0,44.0,52.0,32.0,49.0,52.0,9.0,52.0,37.0,28.0,20.0,46.0,39.0,40.0,39.0,33.0,53.0,48.0,56.0,57.0,38.0,40.0,40.0,55.0,42.0,48.0,16.0,50.0,32.0,22.0,24.0,49.0,53.0,33.0,45.0,27.0,57.0,49.0,28.0,26.0,20.0,41.0,60.0
14,0.0,2.0,40.0,49.0,60.0,51.0,49.0,26.0,39.0,41.0,45.0,45.0,60.0,40.0,30.0,27.0,35.0,40.0,60.0,59.0,48.0,16.0,49.0,45.0,33.0,46.0,26.0,31.0,45.0,43.0,54.0,60.0,43.0,57.0,47.0,41.0,49.0,45.0,50.0,26.0,49.0,46.0,39.0,50.0,47.0,34.0,33.0,20.0,22.0,47.0
15,0.0,29.0,49.0,33.0,53.0,29.0,47.0,36.0,46.0,35.0,46.0,45.0,15.0,54.0,51.0,60.0,50.0,51.0,18.0,10.0,33.0,40.0,36.0,45.0,29.0,60.0,23.0,60.0,40.0,48.0,46.0,30.0,35.0,53.0,43.0,44.0,35.0,29.0,45.0,30.0,44.0,53.0,48.0,39.0,51.0,19.0,31.0,35.0,29.0,40.0
16,0.0,34.0,45.0,28.0,40.0,37.0,52.0,47.0,31.0,47.0,44.0,44.0,36.0,25.0,60.0,48.0,29.0,47.0,43.0,37.0,19.0,35.0,36.0,48.0,28.0,38.0,34.0,49.0,55.0,35.0,29.0,42.0,51.0,32.0,53.0,54.0,40.0,4.0,41.0,38.0,55.0,41.0,27.0,43.0,60.0,43.0,40.0,18.0,25.0,50.0
17,0.0,16.0,39.0,53.0,45.0,56.0,36.0,40.0,40.0,49.0,38.0,37.0,18.0,21.0,58.0,38.0,44.0,46.0,55.0,37.0,39.0,47.0,43.0,57.0,54.0,41.0,50.0,48.0,59.0,50.0,33.0,55.0,52.0,29.0,50.0,22.0,4.0,0.0,36.0,26.0,51.0,50.0,56.0,33.0,41.0,32.0,44.0,38.0,43.0,48.0
18,0.0,21.0,43.0,39.0,60.0,30.0,42.0,33.0,33.0,55.0,27.0,44.0,5.0,28.0,41.0,39.0,53.0,13.0,41.0,47.0,32.0,46.0,34.0,30.0,46.0,57.0,26.0,38.0,37.0,39.0,38.0,37.0,6.0,52.0,50.0,56.0,47.0,42.0,23.0,19.0,41.0,30.0,38.0,20.0,41.0,15.0,37.0,40.0,44.0,21.0
