SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,149.0,129.0,139.0,166.0,140.0,164.0,158.0,160.0,162.0,172.0,163.0,141.0,152.0,160.0,157.0,151.0,159.0,170.0,149.0,164.0,169.0,160.0,146.0,197.0,171.0,159.0,162.0,182.0,170.0,165.0,141.0,173.0,176.0,140.0,157.0,180.0,174.0,145.0,158.0,147.0,181.0,160.0,172.0,157.0,177.0,159.0,155.0,168.0,163.0
2,0.0,169.0,153.0,184.0,149.0,150.0,158.0,188.0,162.0,190.0,187.0,203.0,163.0,191.0,191.0,179.0,189.0,202.0,192.0,201.0,189.0,179.0,191.0,196.0,199.0,189.0,216.0,212.0,209.0,190.0,174.0,211.0,185.0,169.0,190.0,191.0,191.0,182.0,186.0,202.0,185.0,184.0,191.0,167.0,196.0,221.0,197.0,189.0,193.0,196.0
3,0.0,154.0,171.0,195.0,195.0,195.0,208.0,191.0,199.0,208.0,207.0,206.0,205.0,223.0,208.0,208.0,207.0,202.0,212.0,205.0,210.0,212.0,209.0,225.0,219.0,226.0,224.0,216.0,194.0,199.0,210.0,197.0,221.0,235.0,213.0,201.0,225.0,214.0,192.0,209.0,223.0,228.0,220.0,224.0,218.0,222.0,214.0,216.0,190.0,184.0
4,0.0,191.0,204.0,228.0,221.0,216.0,217.0,215.0,226.0,244.0,247.0,231.0,223.0,233.0,224.0,243.0,242.0,246.0,229.0,242.0,279.0,231.0,225.0,220.0,229.0,239.0,209.0,229.0,212.0,259.0,255.0,225.0,219.0,236.0,224.0,226.0,254.0,239.0,238.0,230.0,239.0,206.0,238.0,267.0,237.0,223.0,219.0,257.0,216.0,247.0
5,0.0,199.0,215.0,231.0,252.0,224.0,226.0,250.0,243.0,249.0,276.0,264.0,260.0,272.0,255.0,242.0,261.0,270.0,266.0,264.0,265.0,282.0,262.0,268.0,291.0,253.0,255.0,277.0,237.0,273.0,237.0,273.0,282.0,256.0,249.0,280.0,248.0,268.0,270.0,252.0,272.0,231.0,254.0,263.0,273.0,284.0,265.0,244.0,272.0,273.0
6,0.0,248.0,254.0,245.0,231.0,245.0,274.0,295.0,303.0,249.0,283.0,309.0,284.0,321.0,290.0,299.0,278.0,259.0,284.0,268.0,279.0,288.0,327.0,317.0,301.0,304.0,325.0,302.0,288.0,279.0,286.0,261.0,273.0,293.0,267.0,263.0,296.0,270.0,299.0,262.0,267.0,277.0,307.0,266.0,296.0,293.0,287.0,286.0,280.0,308.0
7,0.0,189.0,279.0,269.0,279.0,282.0,327.0,294.0,281.0,303.0,319.0,338.0,320.0,316.0,303.0,280.0,287.0,326.0,273.0,348.0,340.0,291.0,326.0,312.0,327.0,274.0,339.0,340.0,301.0,327.0,287.0,321.0,276.0,297.0,299.0,296.0,315.0,313.0,330.0,318.0,306.0,361.0,304.0,314.0,275.0,318.0,311.0,299.0,299.0,295.0
8,0.0,217.0,296.0,275.0,282.0,308.0,306.0,303.0,300.0,304.0,314.0,324.0,385.0,313.0,345.0,310.0,340.0,337.0,338.0,338.0,329.0,341.0,323.0,341.0,327.0,305.0,346.0,318.0,349.0,370.0,345.0,347.0,310.0,320.0,327.0,337.0,316.0,302.0,346.0,318.0,335.0,347.0,339.0,318.0,341.0,361.0,309.0,330.0,305.0,356.0
9,0.0,240.0,292.0,284.0,328.0,322.0,308.0,332.0,366.0,375.0,347.0,393.0,339.0,393.0,349.0,359.0,390.0,323.0,347.0,355.0,387.0,369.0,356.0,356.0,356.0,351.0,365.0,330.0,365.0,326.0,349.0,323.0,345.0,384.0,362.0,322.0,332.0,382.0,365.0,386.0,371.0,389.0,341.0,367.0,357.0,339.0,357.0,392.0,402.0,346.0
10,0.0,256.0,296.0,298.0,297.0,363.0,369.0,333.0,353.0,353.0,372.0,355.0,354.0,392.0,362.0,405.0,394.0,376.0,359.0,400.0,332.0,373.0,361.0,415.0,416.0,348.0,390.0,360.0,356.0,372.0,365.0,383.0,363.0,404.0,337.0,396.0,396.0,400.0,425.0,333.0,374.0,420.0,343.0,388.0,385.0,388.0,384.0,347.0,405.0,333.0
11,0.0,294.0,322.0,354.0,372.0,423.0,336.0,371.0,425.0,334.0,397.0,346.0,388.0,401.0,401.0,345.0,410.0,345.0,386.0,413.0,376.0,396.0,362.0,379.0,427.0,430.0,387.0,372.0,403.0,427.0,398.0,382.0,410.0,408.0,423.0,325.0,376.0,446.0,376.0,402.0,413.0,367.0,437.0,317.0,392.0,413.0,392.0,406.0,426.0,421.0
12,0.0,255.0,324.0,385.0,396.0,375.0,432.0,415.0,354.0,346.0,421.0,454.0,389.0,411.0,428.0,422.0,426.0,336.0,378.0,406.0,383.0,436.0,395.0,393.0,400.0,383.0,415.0,459.0,454.0,386.0,456.0,383.0,429.0,362.0,422.0,402.0,411.0,441.0,397.0,400.0,377.0,386.0,405.0,364.0,417.0,392.0,421.0,376.0,420.0,364.0
13,0.0,276.0,373.0,355.0,397.0,372.0,392.0,418.0,443.0,323.0,387.0,440.0,389.0,405.0,409.0,457.0,385.0,392.0,322.0,419.0,348.0,377.0,359.0,368.0,386.0,438.0,430.0,382.0,451.0,377.0,389.0,423.0,451.0,406.0,400.0,442.0,452.0,418.0,411.0,440.0,409.0,469.0,413.0,429.0,365.0,372.0,383.0,421.0,411.0,474.0
14,0.0,324.0,389.0,361.0,436.0,327.0,364.0,390.0,432.0,386.0,424.0,448.0,355.0,443.0,438.0,417.0,490.0,452.0,402.0,381.0,385.0,362.0,418.0,415.0,414.0,396.0,429.0,462.0,404.0,454.0,370.0,454.0,463.0,399.0,449.0,486.0,438.0,430.0,424.0,349.0,475.0,436.0,408.0,448.0,416.0,429.0,448.0,437.0,445.0,368.0
15,0.0,287.0,393.0,401.0,415.0,391.0,334.0,326.0,335.0,381.0,361.0,417.0,445.0,440.0,425.0,421.0,452.0,438.0,398.0,398.0,482.0,458.0,478.0,402.0,451.0,445.0,441.0,496.0,469.0,442.0,481.0,472.0,433.0,426.0,434.0,355.0,479.0,411.0,373.0,411.0,448.0,418.0,448.0,454.0,447.0,434.0,478.0,425.0,369.0,329.0
16,0.0,333.0,348.0,375.0,365.0,418.0,452.0,415.0,409.0,410.0,452.0,428.0,374.0,474.0,493.0,446.0,353.0,464.0,436.0,475.0,492.0,478.0,483.0,406.0,473.0,417.0,441.0,374.0,350.0,383.0,438.0,456.0,497.0,402.0,433.0,382.0,402.0,410.0,428.0,453.0,360.0,448.0,321.0,395.0,433.0,424.0,408.0,494.0,468.0,461.0
17,0.0,309.0,423.0,374.0,329.0,391.0,394.0,386.0,420.0,441.0,415.0,404.0,378.0,409.0,420.0,447.0,427.0,389.0,438.0,458.0,442.0,458.0,441.0,425.0,460.0,426.0,441.0,472.0,439.0,369.0,432.0,424.0,446.0,375.0,445.0,410.0,401.0,445.0,316.0,417.0,413.0,454.0,461.0,382.0,390.0,395.0,403.0,430.0,414.0,409.0
18,0.0,376.0,418.0,428.0,411.0,431.0,429.0,414.0,431.0,472.0,452.0,445.0,472.0,439.0,461.0,486.0,460.0,456.0,518.0,411.0,436.0,453.0,412.0,433.0,392.0,417.0,498.0,445.0,479.0,416.0,402.0,373.0,407.0,394.0,380.0,275.0,434.0,392.0,478.0,350.0,393.0,342.0,386.0,430.0,398.0,401.0,461.0,473.0,489.0,485.0
19,0.0,385.0,420.0,408.0,400.0,423.0,460.0,428.0,405.0,406.0,461.0,396.0,436.0,407.0,401.0,455.0,410.0,431.0,417.0,407.0,393.0,435.0,476.0,368.0,401.0,355.0,426.0,439.0,461.0,458.0,472.0,391.0,468.0,447.0,444.0,436.0,455.0,441.0,458.0,463.0,437.0,433.0,459.0,428.0,457.0,487.0,485.0,448.0,457.0,463.0
20,0.0,321.0,370.0,342.0,363.0,444.0,422.0,452.0,434.0,415.0,377.0,434.0,471.0,440.0,385.0,332.0,299.0,457.0,379.0,416.0,493.0,462.0,489.0,523.0,498.0,515.0,459.0,444.0,412.0,441.0,407.0,493.0,511.0,406.0,447.0,456.0,526.0,420.0,439.0,430.0,485.0,408.0,484.0,397.0,488.0,511.0,406.0,390.0,375.0,465.0
