SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,147.0,147.0,167.0,167.0,165.0,165.0,113.0,113.0,149.0,149.0,151.0,151.0,183.0,183.0,149.0,149.0,189.0,189.0,166.0,166.0,169.0,169.0,181.0,181.0,167.0,167.0,129.0,129.0,158.0,158.0,148.0,148.0,167.0,167.0,184.0,184.0,118.0,118.0,179.0,179.0,192.0,192.0,142.0,142.0,138.0,138.0,170.0,170.0
2,172.0,172.0,136.0,136.0,117.0,117.0,194.0,194.0,155.0,155.0,170.0,170.0,136.0,136.0,126.0,126.0,154.0,154.0,131.0,131.0,181.0,181.0,149.0,149.0,173.0,173.0,162.0,162.0,161.0,161.0,145.0,145.0,136.0,136.0,156.0,156.0,162.0,162.0,163.0,163.0,137.0,137.0,125.0,125.0,166.0,166.0,139.0,139.0,159.0,159.0
3,0.0,0.0,118.0,118.0,166.0,166.0,140.0,140.0,129.0,129.0,148.0,148.0,182.0,182.0,148.0,148.0,165.0,165.0,165.0,165.0,141.0,141.0,153.0,153.0,132.0,132.0,155.0,155.0,110.0,110.0,145.0,145.0,173.0,173.0,171.0,171.0,150.0,150.0,173.0,173.0,178.0,178.0,174.0,174.0,118.0,118.0,130.0,130.0,151.0,151.0
4,163.0,163.0,183.0,183.0,167.0,167.0,178.0,178.0,165.0,165.0,156.0,156.0,185.0,185.0,170.0,170.0,177.0,177.0,116.0,116.0,179.0,179.0,165.0,165.0,155.0,155.0,155.0,155.0,160.0,160.0,179.0,179.0,190.0,190.0,119.0,119.0,177.0,177.0,193.0,193.0,133.0,133.0,167.0,167.0,145.0,145.0,173.0,173.0,134.0,134.0
5,0.0,0.0,160.0,160.0,163.0,163.0,150.0,150.0,168.0,168.0,157.0,157.0,138.0,138.0,154.0,154.0,173.0,173.0,119.0,119.0,158.0,158.0,121.0,121.0,135.0,135.0,197.0,197.0,145.0,145.0,145.0,145.0,158.0,158.0,168.0,168.0,179.0,179.0,171.0,171.0,158.0,158.0,160.0,160.0,178.0,178.0,159.0,159.0,157.0,157.0
6,148.0,148.0,154.0,154.0,156.0,156.0,148.0,148.0,153.0,153.0,116.0,116.0,123.0,123.0,164.0,164.0,178.0,178.0,115.0,115.0,146.0,146.0,183.0,183.0,177.0,177.0,147.0,147.0,160.0,160.0,181.0,181.0,137.0,137.0,180.0,180.0,142.0,142.0,117.0,117.0,173.0,173.0,179.0,179.0,163.0,163.0,184.0,184.0,144.0,144.0
7,0.0,0.0,155.0,155.0,133.0,133.0,133.0,133.0,122.0,122.0,152.0,152.0,143.0,143.0,210.0,210.0,143.0,143.0,147.0,147.0,177.0,177.0,149.0,149.0,181.0,181.0,156.0,156.0,178.0,178.0,178.0,178.0,169.0,169.0,175.0,175.0,157.0,157.0,90.0,90.0,141.0,141.0,181.0,181.0,136.0,136.0,136.0,136.0,169.0,169.0
8,169.0,169.0,164.0,164.0,163.0,163.0,166.0,166.0,146.0,146.0,140.0,140.0,122.0,122.0,170.0,170.0,130.0,130.0,153.0,153.0,117.0,117.0,157.0,157.0,152.0,152.0,129.0,129.0,169.0,169.0,150.0,150.0,159.0,159.0,149.0,149.0,148.0,148.0,139.0,139.0,147.0,147.0,152.0,152.0,168.0,168.0,176.0,176.0,153.0,153.0
9,0.0,0.0,126.0,126.0,159.0,159.0,171.0,171.0,149.0,149.0,151.0,151.0,187.0,187.0,148.0,148.0,126.0,126.0,177.0,177.0,147.0,147.0,144.0,144.0,167.0,167.0,174.0,174.0,157.0,157.0,164.0,164.0,182.0,182.0,138.0,138.0,150.0,150.0,189.0,189.0,162.0,162.0,151.0,151.0,179.0,179.0,157.0,157.0,146.0,146.0
10,128.0,128.0,153.0,153.0,162.0,162.0,158.0,158.0,153.0,153.0,128.0,128.0,142.0,142.0,178.0,178.0,138.0,138.0,126.0,126.0,189.0,189.0,181.0,181.0,181.0,181.0,174.0,174.0,190.0,190.0,147.0,147.0,105.0,105.0,155.0,155.0,165.0,165.0,166.0,166.0,178.0,178.0,176.0,176.0,187.0,187.0,184.0,184.0,169.0,169.0
11,0.0,0.0,124.0,124.0,171.0,171.0,156.0,156.0,171.0,171.0,124.0,124.0,140.0,140.0,181.0,181.0,153.0,153.0,171.0,171.0,151.0,151.0,153.0,153.0,157.0,157.0,185.0,185.0,95.0,95.0,127.0,127.0,145.0,145.0,147.0,147.0,176.0,176.0,141.0,141.0,177.0,177.0,139.0,139.0,129.0,129.0,137.0,137.0,151.0,151.0
12,173.0,173.0,113.0,113.0,179.0,179.0,155.0,155.0,127.0,127.0,161.0,161.0,170.0,170.0,161.0,161.0,171.0,171.0,125.0,125.0,168.0,168.0,148.0,148.0,166.0,166.0,107.0,107.0,135.0,135.0,173.0,173.0,158.0,158.0,171.0,171.0,154.0,154.0,147.0,147.0,190.0,190.0,147.0,147.0,178.0,178.0,179.0,179.0,157.0,157.0
13,0.0,0.0,130.0,130.0,184.0,184.0,142.0,142.0,161.0,161.0,136.0,136.0,150.0,150.0,149.0,149.0,178.0,178.0,189.0,189.0,159.0,159.0,131.0,131.0,176.0,176.0,161.0,161.0,171.0,171.0,150.0,150.0,127.0,127.0,120.0,120.0,142.0,142.0,162.0,162.0,155.0,155.0,125.0,125.0,153.0,153.0,114.0,114.0,152.0,152.0
14,160.0,160.0,133.0,133.0,166.0,166.0,146.0,146.0,164.0,164.0,183.0,183.0,160.0,160.0,165.0,165.0,136.0,136.0,168.0,168.0,198.0,198.0,180.0,180.0,184.0,184.0,164.0,164.0,158.0,158.0,150.0,150.0,171.0,171.0,135.0,135.0,128.0,128.0,186.0,186.0,189.0,189.0,164.0,164.0,148.0,148.0,185.0,185.0,166.0,166.0
15,0.0,0.0,127.0,127.0,174.0,174.0,177.0,177.0,150.0,150.0,143.0,143.0,163.0,163.0,161.0,161.0,149.0,149.0,143.0,143.0,145.0,145.0,129.0,129.0,173.0,173.0,181.0,181.0,176.0,176.0,163.0,163.0,147.0,147.0,153.0,153.0,165.0,165.0,154.0,154.0,181.0,181.0,127.0,127.0,150.0,150.0,179.0,179.0,165.0,165.0
16,146.0,146.0,150.0,150.0,170.0,170.0,105.0,105.0,170.0,170.0,172.0,172.0,182.0,182.0,205.0,205.0,116.0,116.0,152.0,152.0,150.0,150.0,128.0,128.0,128.0,128.0,170.0,170.0,199.0,199.0,140.0,140.0,184.0,184.0,131.0,131.0,155.0,155.0,173.0,173.0,181.0,181.0,162.0,162.0,184.0,184.0,128.0,128.0,157.0,157.0
