SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.07954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.5972222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.4722222222222222,0.0,0.0,0.9875,1.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.7159090909090909,0.0,1.4821428571428572,0.275,0.0,0.0,0.6363636363636364,0.0,0.3625,0.34375,0.0,1.3472222222222223,0.0,0.0,0.0,0.4375,0.0625,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.35,0.425,0.7954545454545454,1.2613636363636365,0.5178571428571429,0.0,0.5,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.7777777777777778,0.0,0.2125,0.06944444444444445,0.0,1.0,0.0,0.0,0.0,0.2916666666666667,1.7083333333333333,0.65625,0.975,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.027777777777777776,0.9791666666666666,1.275,0.9545454545454546,0.0,0.0,0.0,0.1375,0.8269230769230769
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9305555555555556,0.6153846153846154,0.5,0.5892857142857143,0.0,0.0,0.0,0.0,0.0,0.40384615384615385,0.8846153846153846,0.8888888888888888,0.0,1.2159090909090908,0.0,0.1875,0.23863636363636365,0.2916666666666667,1.65,0.3392857142857143,0.475,0.046875,0.1625,1.28125,0.0,0.5125,0.53125,0.0,0.03125,1.1730769230769231,0.0,0.0,0.4791666666666667,0.5909090909090909,0.775,0.3875,1.3068181818181819
13,0.0,0.475,0.2604166666666667,0.0,0.0,0.9204545454545454,0.8392857142857143,1.0,0.2875,0.16666666666666666,0.1,0.40625,0.6944444444444444,1.0625,1.2272727272727273,1.8125,0.0125,0.0,0.0,0.0,0.5681818181818182,0.0,0.796875,0.8020833333333334,1.1022727272727273,0.17708333333333334,0.421875,0.8472222222222222,0.0,0.6590909090909091,0.475,0.7678571428571429,0.78125,1.2777777777777777,0.0,0.0,0.8472222222222222,0.3125,1.3863636363636365,1.0833333333333333,1.0681818181818181,0.9305555555555556,1.2045454545454546,1.1022727272727273,1.1125,0.575,0.0,0.6071428571428571,0.9791666666666666,0.20454545454545456
14,0.0,0.0,0.125,0.15625,1.8625,0.7386363636363636,1.4027777777777777,0.4166666666666667,0.5454545454545454,0.6964285714285714,0.5,0.5625,1.0555555555555556,1.5833333333333333,1.025,0.0,0.5227272727272727,1.0208333333333333,0.775,1.2954545454545454,0.5416666666666666,0.125,0.75,1.6,0.08333333333333333,0.1111111111111111,1.1590909090909092,0.125,1.125,1.6625,1.3611111111111112,1.175,0.0,1.7361111111111112,0.6022727272727273,0.3,0.5375,0.875,0.6354166666666666,1.5909090909090908,1.0625,0.0,0.5,0.45454545454545453,0.8068181818181818,1.1590909090909092,0.9875,1.1022727272727273,1.359375,0.3541666666666667
15,0.0,0.0,1.3214285714285714,0.9772727272727273,1.4125,0.5729166666666666,0.19791666666666666,0.0,0.3333333333333333,0.4305555555555556,0.26136363636363635,0.975,1.0125,1.0454545454545454,0.8625,0.4027777777777778,1.4090909090909092,1.4375,1.075,0.0,0.22727272727272727,0.4423076923076923,0.125,0.05555555555555555,1.0875,0.7875,1.725,0.9615384615384616,1.6388888888888888,0.39285714285714285,0.1388888888888889,0.8333333333333334,0.6875,0.9583333333333334,1.5625,0.4659090909090909,0.0,1.25,1.2,0.0,0.7222222222222222,1.0,1.1666666666666667,0.0,0.2222222222222222,1.2222222222222223,0.0,0.45454545454545453,0.0,0.9
16,0.0,0.0,0.0,1.7857142857142858,0.2777777777777778,1.3055555555555556,1.0795454545454546,1.1625,1.1125,0.08333333333333333,0.4875,0.3020833333333333,0.9659090909090909,0.3181818181818182,1.328125,1.0416666666666667,1.5833333333333333,0.7916666666666666,1.0375,0.4444444444444444,0.4423076923076923,0.4318181818181818,0.8611111111111112,0.8068181818181818,0.71875,0.25,0.0,0.4,0.8,1.875,1.0972222222222223,1.125,1.1363636363636365,1.2115384615384615,1.1634615384615385,0.48214285714285715,0.0,1.5,0.078125,0.4431818181818182,0.96875,1.171875,0.5833333333333334,0.7678571428571429,0.3269230769230769,1.0,2.125,1.0520833333333333,0.19318181818181818,1.1923076923076923
17,0.0,0.0,0.171875,0.4375,0.6704545454545454,0.1625,1.25,0.140625,1.125,0.625,0.5681818181818182,0.011363636363636364,1.1979166666666667,0.4659090909090909,0.0,0.4583333333333333,0.175,0.2727272727272727,1.4166666666666667,1.5138888888888888,1.2638888888888888,0.3645833333333333,0.7019230769230769,1.3409090909090908,1.125,0.2159090909090909,0.0,0.8181818181818182,0.515625,0.7596153846153846,1.3068181818181819,0.0,0.7045454545454546,0.8125,0.6730769230769231,0.96875,1.2386363636363635,0.5,0.5113636363636364,0.925,0.4625,0.4027777777777778,0.5113636363636364,0.7291666666666666,1.4,0.6022727272727273,0.875,0.9583333333333334,0.6022727272727273,0.1111111111111111
18,0.0,0.0,0.125,1.425,0.5,1.4875,0.8125,0.7777777777777778,0.05,0.96875,0.6363636363636364,0.3875,0.4027777777777778,1.0520833333333333,0.9903846153846154,0.3375,0.375,0.32954545454545453,0.19444444444444445,1.2375,1.1875,1.1,0.875,1.2613636363636365,1.0909090909090908,1.0,0.6875,1.1666666666666667,0.6818181818181818,0.775,0.5909090909090909,1.3125,0.734375,1.0340909090909092,1.5277777777777777,1.3977272727272727,0.3854166666666667,0.3875,0.0,0.475,1.5138888888888888,0.4772727272727273,0.14772727272727273,1.4479166666666667,0.07954545454545454,1.7916666666666667,0.625,0.0,0.4027777777777778,1.3625
19,0.0,0.027777777777777776,0.0,0.8068181818181818,0.5192307692307693,0.0,1.5555555555555556,1.1875,0.38461538461538464,0.625,0.027777777777777776,1.0125,1.1136363636363635,0.46875,0.09090909090909091,0.3194444444444444,0.22916666666666666,0.05,0.4444444444444444,0.6625,0.027777777777777776,0.3333333333333333,0.4444444444444444,0.5340909090909091,0.9772727272727273,0.8333333333333334,0.9583333333333334,0.5625,0.0,0.7916666666666666,0.0,1.21875,0.8522727272727273,0.0,0.0,1.0833333333333333,1.1666666666666667,0.825,0.0,0.3625,1.5694444444444444,0.17045454545454544,0.9270833333333334,0.03409090909090909,0.0,0.5875,0.4375,0.0,0.0,0.8863636363636364
