SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,242.0,301.0,281.0,315.0,317.0,331.0,342.0,346.0,343.0,368.0,371.0,338.0,327.0,384.0,360.0,336.0,349.0,364.0,325.0,353.0,357.0,354.0,355.0,345.0,391.0,373.0,372.0,361.0,341.0,349.0,346.0,368.0,365.0,363.0,339.0,377.0,333.0,377.0,360.0,343.0,343.0,392.0,370.0,352.0,367.0,355.0,347.0,345.0,340.0
2,0.0,251.0,303.0,331.0,313.0,365.0,308.0,336.0,331.0,337.0,303.0,362.0,337.0,347.0,359.0,336.0,372.0,342.0,410.0,385.0,386.0,384.0,353.0,312.0,378.0,336.0,343.0,368.0,319.0,339.0,375.0,375.0,353.0,400.0,342.0,328.0,382.0,366.0,335.0,343.0,364.0,394.0,359.0,358.0,335.0,312.0,338.0,360.0,365.0,359.0
3,0.0,238.0,303.0,319.0,284.0,312.0,343.0,356.0,369.0,392.0,365.0,387.0,364.0,348.0,371.0,359.0,335.0,317.0,375.0,371.0,349.0,355.0,342.0,380.0,350.0,361.0,350.0,341.0,387.0,388.0,321.0,342.0,337.0,333.0,370.0,413.0,364.0,345.0,388.0,374.0,320.0,368.0,367.0,363.0,387.0,324.0,362.0,363.0,370.0,366.0
4,0.0,250.0,292.0,330.0,316.0,331.0,350.0,384.0,342.0,361.0,343.0,352.0,370.0,362.0,346.0,319.0,411.0,331.0,365.0,361.0,398.0,393.0,349.0,386.0,344.0,391.0,376.0,344.0,371.0,338.0,355.0,348.0,365.0,354.0,353.0,347.0,363.0,385.0,358.0,391.0,380.0,332.0,357.0,403.0,372.0,424.0,403.0,407.0,359.0,348.0
5,0.0,237.0,285.0,295.0,314.0,325.0,363.0,327.0,366.0,350.0,344.0,382.0,334.0,362.0,422.0,424.0,356.0,382.0,387.0,379.0,367.0,365.0,374.0,351.0,398.0,316.0,416.0,364.0,371.0,380.0,391.0,355.0,350.0,352.0,405.0,371.0,381.0,361.0,396.0,380.0,350.0,375.0,390.0,366.0,413.0,377.0,410.0,358.0,378.0,378.0
6,0.0,247.0,295.0,289.0,329.0,314.0,355.0,337.0,368.0,375.0,387.0,353.0,404.0,384.0,375.0,405.0,369.0,381.0,377.0,401.0,404.0,363.0,370.0,377.0,398.0,383.0,426.0,377.0,362.0,395.0,373.0,390.0,359.0,369.0,370.0,347.0,382.0,396.0,404.0,399.0,378.0,356.0,383.0,409.0,380.0,351.0,399.0,380.0,362.0,328.0
7,0.0,248.0,290.0,297.0,318.0,325.0,308.0,345.0,316.0,436.0,367.0,385.0,360.0,393.0,380.0,365.0,396.0,388.0,345.0,385.0,364.0,368.0,360.0,411.0,358.0,351.0,390.0,405.0,374.0,351.0,404.0,367.0,366.0,415.0,336.0,416.0,372.0,363.0,376.0,394.0,395.0,357.0,366.0,405.0,403.0,421.0,386.0,381.0,374.0,345.0
8,0.0,249.0,298.0,297.0,291.0,337.0,350.0,364.0,360.0,403.0,363.0,371.0,392.0,383.0,362.0,410.0,393.0,402.0,347.0,386.0,370.0,383.0,398.0,365.0,377.0,415.0,382.0,387.0,406.0,371.0,382.0,401.0,374.0,402.0,372.0,337.0,401.0,372.0,415.0,351.0,365.0,409.0,388.0,366.0,389.0,391.0,349.0,378.0,412.0,375.0
9,0.0,235.0,270.0,295.0,316.0,308.0,318.0,387.0,371.0,384.0,417.0,367.0,358.0,378.0,348.0,402.0,414.0,376.0,384.0,391.0,386.0,359.0,383.0,399.0,382.0,362.0,379.0,341.0,391.0,384.0,393.0,403.0,350.0,391.0,391.0,346.0,345.0,363.0,391.0,352.0,400.0,412.0,368.0,360.0,407.0,386.0,377.0,394.0,431.0,354.0
10,0.0,254.0,309.0,309.0,347.0,304.0,339.0,358.0,358.0,377.0,377.0,379.0,363.0,381.0,398.0,384.0,376.0,396.0,406.0,359.0,377.0,376.0,354.0,394.0,367.0,382.0,389.0,375.0,392.0,387.0,372.0,403.0,382.0,372.0,387.0,392.0,363.0,378.0,384.0,372.0,356.0,401.0,347.0,386.0,388.0,391.0,354.0,385.0,368.0,376.0
