SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.5555555555555556,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.07954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.5972222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.890625,0.0,0.0,0.5625,1.4583333333333333,0.7727272727272727,0.0,0.0,0.0,0.42045454545454547,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.4270833333333333,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.2916666666666667,0.7222222222222222,0.1,0.4625,0.75,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.38636363636363635,1.1071428571428572,0.0,0.0,0.0,0.0,0.0,0.275,0.725,0.75,0.35714285714285715,0.0,0.0,0.0,0.0,0.4326923076923077,1.5795454545454546,0.0,0.325,0.4,1.1375,0.6022727272727273,0.13636363636363635,0.0,0.0,0.0,0.0,0.6442307692307693,0.8888888888888888,0.9375,0.0,0.0,0.8125,1.2115384615384615,1.3055555555555556,0.0,0.0,0.10416666666666667,0.6125,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.6538461538461539
6,0.0,0.0,0.0,0.625,1.0625,0.0,0.0,0.2916666666666667,0.0,0.0,1.0625,1.4375,0.140625,1.6805555555555556,0.5535714285714286,0.0,0.7727272727272727,0.075,0.5,0.3055555555555556,0.546875,0.1125,1.5520833333333333,0.0,0.0,1.5,0.8636363636363636,0.5288461538461539,1.3625,1.625,0.675,1.5,1.6875,1.4375,1.2045454545454546,1.1805555555555556,0.8409090909090909,1.4431818181818181,0.8295454545454546,0.0,0.0,0.175,1.46875,0.890625,0.0,0.0,1.75,1.1125,1.2613636363636365,0.32954545454545453
7,0.0,0.0,0.125,0.0,1.1022727272727273,0.8333333333333334,0.2222222222222222,1.3295454545454546,1.25,0.25,0.0,0.6375,1.0,1.3229166666666667,1.75,1.8888888888888888,1.0795454545454546,1.3522727272727273,0.34375,0.484375,1.2361111111111112,1.3645833333333333,1.225,1.1375,1.0520833333333333,1.1125,1.5,1.2638888888888888,0.7708333333333334,1.1979166666666667,1.1022727272727273,1.7159090909090908,1.3409090909090908,1.3977272727272727,1.3076923076923077,0.0,1.75,1.125,1.0833333333333333,1.0416666666666667,1.5,0.7,1.2875,0.703125,0.0,0.96875,0.9270833333333334,1.0096153846153846,0.9305555555555556,0.703125
8,0.0,0.0,0.0,0.8392857142857143,0.8863636363636364,0.9479166666666666,1.2159090909090908,1.125,0.20833333333333334,1.5,0.2625,1.0340909090909092,1.1944444444444444,1.1458333333333333,0.8611111111111112,1.1875,0.9583333333333334,1.0681818181818181,0.6730769230769231,0.9431818181818182,0.9711538461538461,1.225,0.9423076923076923,1.4886363636363635,0.5694444444444444,0.9166666666666666,0.7361111111111112,1.34375,1.0384615384615385,1.859375,1.1458333333333333,0.9791666666666666,0.2159090909090909,0.4479166666666667,0.9375,1.2386363636363635,1.0694444444444444,1.0125,0.7916666666666666,1.0113636363636365,0.7954545454545454,0.5694444444444444,1.2875,0.475,1.5416666666666667,1.0875,1.5454545454545454,0.7083333333333334,1.4625,1.0113636363636365
9,0.0,0.0,1.3977272727272727,1.4895833333333333,1.4659090909090908,0.9375,0.5729166666666666,1.825,1.375,1.5113636363636365,0.4318181818181818,0.975,0.9861111111111112,0.9431818181818182,0.375,1.6590909090909092,1.6145833333333333,1.09375,1.1125,1.875,1.4375,1.125,1.296875,1.225,1.1354166666666667,1.2403846153846154,0.0,1.4722222222222223,1.125,1.0833333333333333,1.6388888888888888,0.625,1.0,1.5375,0.11363636363636363,1.0227272727272727,0.9230769230769231,0.9722222222222222,0.6704545454545454,1.4375,1.3541666666666667,1.625,1.1375,0.8194444444444444,1.625,1.3125,0.9230769230769231,0.7875,0.7980769230769231,1.15625
10,0.0,0.5416666666666666,0.8888888888888888,1.5833333333333333,0.8875,1.475,1.25,1.6388888888888888,1.421875,1.0375,1.6111111111111112,1.375,0.7083333333333334,0.6136363636363636,0.8461538461538461,1.875,0.9886363636363636,1.125,0.9375,1.3977272727272727,0.7375,1.175,1.1931818181818181,1.1388888888888888,1.3375,1.425,1.3181818181818181,1.4886363636363635,0.9318181818181818,1.5972222222222223,0.4375,1.3557692307692308,1.6375,1.1145833333333333,1.0729166666666667,1.5125,1.25,0.9583333333333334,2.046875,0.2727272727272727,0.875,1.0875,1.1704545454545454,0.4230769230769231,0.7604166666666666,1.3125,0.5576923076923077,0.6590909090909091,0.49038461538461536,1.2916666666666667
11,0.0,0.8125,1.0375,1.3365384615384615,1.2375,0.9861111111111112,1.3636363636363635,1.375,1.4375,0.5416666666666666,1.0625,1.25,1.1145833333333333,1.5208333333333333,1.275,0.9615384615384616,1.25,1.09375,0.3375,1.0113636363636365,1.0909090909090908,0.859375,0.78125,1.4861111111111112,0.96875,0.8522727272727273,1.0729166666666667,1.1590909090909092,0.8020833333333334,1.03125,1.0833333333333333,1.6111111111111112,1.8472222222222223,1.6625,1.5555555555555556,1.0520833333333333,0.9772727272727273,1.6944444444444444,2.575,1.7875,1.6590909090909092,1.4519230769230769,1.125,1.375,0.20833333333333334,1.484375,1.890625,1.3229166666666667,1.5,0.5480769230769231
12,0.0,1.0875,1.3611111111111112,1.2708333333333333,0.9375,1.8194444444444444,1.1388888888888888,1.0227272727272727,0.875,0.9583333333333334,1.2321428571428572,1.4318181818181819,0.9903846153846154,1.5,1.9722222222222223,0.9444444444444444,1.45,1.1944444444444444,1.2777777777777777,1.40625,0.3,0.3055555555555556,1.1538461538461537,1.3375,0.8958333333333334,1.55,0.3409090909090909,0.4659090909090909,0.6875,0.9375,1.0909090909090908,1.5340909090909092,0.6785714285714286,1.225,1.03125,0.4431818181818182,0.4270833333333333,1.3125,1.5,0.8942307692307693,1.09375,0.8875,1.1826923076923077,0.6770833333333334,0.5,1.5340909090909092,0.6979166666666666,1.6477272727272727,1.2395833333333333,1.5875
13,0.0,0.32954545454545453,0.6022727272727273,1.6944444444444444,1.5681818181818181,1.2954545454545454,1.1590909090909092,2.0357142857142856,0.90625,1.4166666666666667,0.6826923076923077,1.4,1.8,0.25,1.2604166666666667,1.1022727272727273,0.828125,0.6818181818181818,1.55,2.267857142857143,1.0454545454545454,1.640625,1.0340909090909092,1.375,1.609375,1.25,1.3461538461538463,1.265625,0.9886363636363636,0.8181818181818182,1.8055555555555556,1.0769230769230769,1.5,0.425,1.4090909090909092,0.9166666666666666,1.0714285714285714,0.4791666666666667,1.2613636363636365,1.4659090909090908,0.8977272727272727,1.3068181818181819,0.6538461538461539,1.5104166666666667,1.375,0.8068181818181818,0.5416666666666666,0.5125,1.0113636363636365,1.4166666666666667
14,0.0,0.0,1.328125,1.28125,1.4895833333333333,1.2708333333333333,2.013888888888889,0.725,1.0416666666666667,1.2,1.5375,1.3875,1.4895833333333333,0.8977272727272727,1.015625,0.8125,1.0625,1.1375,1.5625,1.3653846153846154,1.4204545454545454,0.6136363636363636,1.765625,1.34375,0.625,1.25,0.6375,0.7708333333333334,0.9711538461538461,1.8125,1.9583333333333333,1.7386363636363635,1.1477272727272727,1.6125,1.625,1.4625,1.2596153846153846,1.3068181818181819,2.0,0.6875,1.325,1.2386363636363635,1.2272727272727273,1.6875,1.6666666666666667,0.8958333333333334,0.7083333333333334,0.475,0.6805555555555556,1.1666666666666667
15,0.0,0.4479166666666667,1.125,0.7692307692307693,1.3645833333333333,1.1125,1.375,0.8888888888888888,1.09375,0.7272727272727273,1.5416666666666667,0.8977272727272727,0.3375,1.3888888888888888,1.375,1.6363636363636365,1.5125,1.5,0.4318181818181818,0.3409090909090909,1.0138888888888888,1.2361111111111112,1.3125,1.55,1.0357142857142858,1.53125,0.875,1.5208333333333333,1.5972222222222223,1.75,1.4861111111111112,0.7708333333333334,0.84375,1.34375,1.1818181818181819,1.5555555555555556,1.1111111111111112,0.975,1.15625,0.75,1.1057692307692308,1.1346153846153846,1.5972222222222223,1.0568181818181819,1.4659090909090908,0.36363636363636365,0.8068181818181818,0.8863636363636364,0.59375,1.2386363636363635
