SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,184.0,184.0,202.0,202.0,184.0,184.0,227.0,227.0,241.0,241.0,158.0,158.0,164.0,164.0,212.0,212.0,129.0,129.0,209.0,209.0,153.0,153.0,181.0,181.0,209.0,209.0,192.0,192.0,165.0,165.0,190.0,190.0,162.0,162.0,182.0,182.0,208.0,208.0,185.0,185.0,202.0,202.0,186.0,186.0,161.0,161.0,197.0,197.0
2,199.0,199.0,194.0,194.0,181.0,181.0,219.0,219.0,187.0,187.0,206.0,206.0,157.0,157.0,201.0,201.0,198.0,198.0,212.0,212.0,152.0,152.0,170.0,170.0,226.0,226.0,187.0,187.0,194.0,194.0,178.0,178.0,165.0,165.0,223.0,223.0,164.0,164.0,155.0,155.0,220.0,220.0,203.0,203.0,187.0,187.0,196.0,196.0,214.0,214.0
3,0.0,0.0,161.0,161.0,189.0,189.0,202.0,202.0,237.0,237.0,228.0,228.0,215.0,215.0,215.0,215.0,192.0,192.0,172.0,172.0,227.0,227.0,228.0,228.0,186.0,186.0,171.0,171.0,236.0,236.0,232.0,232.0,201.0,201.0,148.0,148.0,175.0,175.0,232.0,232.0,199.0,199.0,259.0,259.0,188.0,188.0,189.0,189.0,211.0,211.0
4,193.0,193.0,188.0,188.0,237.0,237.0,254.0,254.0,187.0,187.0,222.0,222.0,184.0,184.0,233.0,233.0,199.0,199.0,188.0,188.0,233.0,233.0,173.0,173.0,224.0,224.0,186.0,186.0,215.0,215.0,158.0,158.0,213.0,213.0,197.0,197.0,186.0,186.0,193.0,193.0,188.0,188.0,202.0,202.0,161.0,161.0,238.0,238.0,185.0,185.0
5,0.0,0.0,186.0,186.0,248.0,248.0,184.0,184.0,222.0,222.0,220.0,220.0,210.0,210.0,224.0,224.0,242.0,242.0,161.0,161.0,203.0,203.0,224.0,224.0,189.0,189.0,222.0,222.0,239.0,239.0,257.0,257.0,206.0,206.0,181.0,181.0,132.0,132.0,216.0,216.0,175.0,175.0,163.0,163.0,159.0,159.0,148.0,148.0,189.0,189.0
6,237.0,237.0,235.0,235.0,204.0,204.0,244.0,244.0,196.0,196.0,164.0,164.0,229.0,229.0,262.0,262.0,192.0,192.0,200.0,200.0,228.0,228.0,249.0,249.0,218.0,218.0,208.0,208.0,235.0,235.0,200.0,200.0,261.0,261.0,212.0,212.0,203.0,203.0,152.0,152.0,174.0,174.0,191.0,191.0,233.0,233.0,213.0,213.0,263.0,263.0
7,0.0,0.0,223.0,223.0,240.0,240.0,240.0,240.0,262.0,262.0,147.0,147.0,158.0,158.0,215.0,215.0,244.0,244.0,212.0,212.0,215.0,215.0,240.0,240.0,167.0,167.0,260.0,260.0,242.0,242.0,199.0,199.0,262.0,262.0,242.0,242.0,201.0,201.0,196.0,196.0,167.0,167.0,173.0,173.0,250.0,250.0,250.0,250.0,222.0,222.0
8,180.0,180.0,223.0,223.0,280.0,280.0,230.0,230.0,242.0,242.0,147.0,147.0,262.0,262.0,266.0,266.0,220.0,220.0,237.0,237.0,278.0,278.0,221.0,221.0,248.0,248.0,208.0,208.0,124.0,124.0,263.0,263.0,209.0,209.0,190.0,190.0,233.0,233.0,204.0,204.0,223.0,223.0,246.0,246.0,232.0,232.0,227.0,227.0,139.0,139.0
9,0.0,0.0,204.0,204.0,225.0,225.0,257.0,257.0,257.0,257.0,196.0,196.0,145.0,145.0,167.0,167.0,146.0,146.0,197.0,197.0,178.0,178.0,204.0,204.0,258.0,258.0,248.0,248.0,232.0,232.0,248.0,248.0,247.0,247.0,211.0,211.0,189.0,189.0,202.0,202.0,267.0,267.0,264.0,264.0,262.0,262.0,223.0,223.0,264.0,264.0
10,245.0,245.0,236.0,236.0,255.0,255.0,240.0,240.0,245.0,245.0,250.0,250.0,277.0,277.0,225.0,225.0,221.0,221.0,224.0,224.0,147.0,147.0,268.0,268.0,219.0,219.0,168.0,168.0,205.0,205.0,233.0,233.0,222.0,222.0,254.0,254.0,241.0,241.0,260.0,260.0,223.0,223.0,270.0,270.0,222.0,222.0,164.0,164.0,153.0,153.0
