SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,1.0,4.0,0.0,3.0,7.0,0.0,0.0,7.0,6.0,23.0,1.0,3.0,3.0,0.0,23.0,0.0,2.0,30.0,20.0,30.0,30.0,0.0,0.0,12.0,1.0,0.0,0.0,11.0,0.0,20.0,18.0,0.0,1.0,0.0,0.0,10.0,21.0,0.0,30.0,0.0,23.0,21.0,0.0,20.0,0.0,0.0,7.0,9.0
2,0.0,6.0,3.0,0.0,0.0,6.0,17.0,16.0,14.0,0.0,13.0,0.0,8.0,16.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,24.0,0.0,16.0,3.0,0.0,11.0,2.0,10.0,0.0,0.0,5.0,21.0,30.0,2.0,5.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,7.0,4.0,0.0,4.0,5.0,15.0,4.0
3,0.0,6.0,22.0,20.0,22.0,20.0,30.0,11.0,0.0,1.0,2.0,0.0,3.0,24.0,20.0,10.0,0.0,17.0,0.0,1.0,1.0,0.0,9.0,3.0,5.0,20.0,0.0,16.0,8.0,0.0,0.0,18.0,4.0,5.0,6.0,0.0,25.0,30.0,14.0,0.0,0.0,0.0,25.0,19.0,16.0,21.0,3.0,17.0,11.0,0.0
4,0.0,14.0,13.0,27.0,21.0,29.0,20.0,24.0,12.0,0.0,10.0,1.0,3.0,0.0,7.0,0.0,30.0,1.0,0.0,16.0,0.0,5.0,0.0,7.0,0.0,0.0,21.0,0.0,10.0,0.0,7.0,0.0,11.0,6.0,9.0,10.0,12.0,26.0,15.0,27.0,0.0,30.0,0.0,0.0,25.0,30.0,16.0,0.0,0.0,1.0
5,0.0,0.0,24.0,0.0,0.0,20.0,0.0,11.0,0.0,5.0,6.0,13.0,28.0,6.0,0.0,2.0,0.0,0.0,4.0,2.0,7.0,0.0,6.0,25.0,0.0,14.0,6.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,19.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,24.0,3.0,0.0,10.0,22.0
6,0.0,2.0,13.0,0.0,9.0,8.0,0.0,30.0,10.0,0.0,0.0,0.0,5.0,0.0,28.0,9.0,0.0,0.0,5.0,18.0,12.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,16.0,11.0,20.0,0.0,4.0,0.0,14.0,0.0,4.0,7.0,0.0,0.0,12.0,13.0,7.0,0.0,3.0
7,0.0,14.0,30.0,4.0,4.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,30.0,23.0,30.0,20.0,11.0,7.0,0.0,6.0,12.0,0.0,0.0,5.0,0.0,2.0,0.0,17.0,3.0,0.0,2.0,19.0,4.0,10.0,10.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,9.0
8,0.0,1.0,3.0,0.0,0.0,5.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,30.0,23.0,21.0,16.0,27.0,14.0,3.0,0.0,0.0,9.0,14.0,0.0,7.0,0.0,6.0,0.0,8.0,0.0,1.0,0.0,5.0,12.0,22.0,28.0,0.0,0.0,4.0,19.0,25.0,0.0,7.0,0.0,0.0,7.0,3.0
9,0.0,0.0,0.0,0.0,0.0,26.0,19.0,19.0,7.0,12.0,6.0,15.0,5.0,1.0,8.0,9.0,30.0,30.0,25.0,23.0,28.0,5.0,4.0,19.0,0.0,3.0,0.0,20.0,10.0,7.0,9.0,14.0,1.0,0.0,16.0,0.0,0.0,30.0,30.0,30.0,4.0,25.0,1.0,13.0,23.0,29.0,22.0,30.0,16.0,0.0
10,0.0,0.0,0.0,11.0,3.0,0.0,11.0,0.0,4.0,0.0,18.0,0.0,11.0,20.0,5.0,0.0,0.0,0.0,3.0,9.0,21.0,23.0,14.0,0.0,0.0,3.0,12.0,7.0,3.0,0.0,23.0,11.0,6.0,29.0,30.0,20.0,0.0,19.0,24.0,24.0,30.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11,0.0,6.0,11.0,8.0,5.0,6.0,16.0,0.0,0.0,14.0,20.0,0.0,0.0,5.0,3.0,0.0,2.0,11.0,0.0,2.0,0.0,2.0,0.0,12.0,4.0,30.0,30.0,3.0,12.0,21.0,0.0,16.0,11.0,0.0,0.0,9.0,0.0,16.0,0.0,0.0,7.0,12.0,5.0,0.0,25.0,16.0,2.0,3.0,0.0,10.0
12,0.0,7.0,0.0,12.0,11.0,2.0,0.0,16.0,18.0,9.0,8.0,13.0,13.0,30.0,13.0,0.0,0.0,7.0,1.0,2.0,0.0,17.0,18.0,29.0,23.0,4.0,11.0,4.0,12.0,3.0,17.0,27.0,23.0,5.0,4.0,30.0,0.0,14.0,6.0,12.0,19.0,0.0,14.0,24.0,10.0,15.0,12.0,30.0,7.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,14.0,0.0,8.0,30.0,2.0,0.0,3.0,15.0,0.0,9.0,0.0,18.0,0.0,0.0,14.0,27.0,30.0,30.0,17.0,14.0,7.0,6.0,5.0,6.0,14.0,15.0,9.0,4.0,16.0,14.0,14.0,17.0,15.0,0.0,0.0,0.0,30.0,29.0,10.0,8.0,4.0,8.0
14,0.0,0.0,7.0,24.0,0.0,0.0,9.0,4.0,13.0,0.0,0.0,0.0,13.0,0.0,14.0,16.0,30.0,30.0,2.0,2.0,0.0,29.0,30.0,8.0,22.0,23.0,30.0,0.0,0.0,3.0,26.0,18.0,3.0,0.0,16.0,28.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
