SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,234.0,269.0,283.0,302.0,323.0,331.0,356.0,337.0,338.0,342.0,358.0,352.0,352.0,347.0,333.0,312.0,386.0,356.0,359.0,347.0,353.0,368.0,370.0,388.0,347.0,361.0,345.0,314.0,326.0,381.0,361.0,362.0,348.0,323.0,337.0,365.0,338.0,328.0,379.0,326.0,377.0,358.0,340.0,364.0,348.0,339.0,340.0,343.0,395.0
2,0.0,246.0,301.0,288.0,282.0,316.0,348.0,331.0,323.0,389.0,322.0,352.0,344.0,362.0,360.0,386.0,364.0,370.0,333.0,359.0,379.0,340.0,359.0,330.0,368.0,354.0,365.0,385.0,346.0,362.0,390.0,333.0,371.0,405.0,389.0,310.0,373.0,358.0,316.0,372.0,369.0,337.0,347.0,371.0,353.0,391.0,352.0,368.0,342.0,379.0
3,0.0,246.0,267.0,309.0,299.0,317.0,318.0,366.0,385.0,362.0,356.0,362.0,322.0,350.0,342.0,349.0,354.0,349.0,395.0,412.0,360.0,403.0,363.0,394.0,349.0,329.0,344.0,332.0,382.0,367.0,357.0,318.0,360.0,364.0,403.0,390.0,354.0,337.0,432.0,355.0,372.0,333.0,332.0,375.0,391.0,379.0,412.0,348.0,375.0,377.0
4,0.0,266.0,295.0,306.0,342.0,316.0,344.0,352.0,375.0,376.0,348.0,360.0,304.0,314.0,339.0,374.0,337.0,388.0,388.0,362.0,374.0,343.0,313.0,389.0,403.0,379.0,347.0,371.0,389.0,381.0,419.0,364.0,368.0,332.0,360.0,378.0,384.0,351.0,367.0,348.0,419.0,346.0,408.0,373.0,349.0,378.0,380.0,393.0,378.0,363.0
5,0.0,242.0,238.0,316.0,305.0,305.0,378.0,348.0,372.0,362.0,360.0,367.0,339.0,400.0,339.0,370.0,396.0,347.0,392.0,420.0,370.0,409.0,382.0,356.0,393.0,372.0,369.0,353.0,388.0,359.0,385.0,359.0,382.0,344.0,365.0,382.0,401.0,383.0,393.0,375.0,383.0,370.0,355.0,399.0,345.0,374.0,385.0,377.0,358.0,363.0
6,0.0,224.0,264.0,323.0,319.0,339.0,344.0,339.0,367.0,382.0,386.0,409.0,347.0,330.0,432.0,399.0,377.0,368.0,374.0,365.0,408.0,410.0,346.0,354.0,341.0,354.0,378.0,386.0,380.0,378.0,395.0,366.0,389.0,363.0,366.0,373.0,419.0,410.0,424.0,369.0,371.0,374.0,379.0,385.0,389.0,367.0,380.0,384.0,359.0,355.0
7,0.0,249.0,256.0,346.0,340.0,319.0,386.0,358.0,389.0,373.0,366.0,360.0,389.0,359.0,357.0,383.0,382.0,380.0,367.0,366.0,378.0,347.0,412.0,411.0,414.0,374.0,354.0,369.0,387.0,346.0,375.0,378.0,376.0,382.0,359.0,399.0,380.0,347.0,399.0,377.0,390.0,366.0,377.0,365.0,359.0,401.0,423.0,383.0,400.0,374.0
8,0.0,256.0,300.0,291.0,315.0,334.0,365.0,334.0,383.0,347.0,402.0,367.0,374.0,353.0,372.0,358.0,406.0,383.0,371.0,385.0,373.0,392.0,384.0,335.0,362.0,389.0,383.0,385.0,389.0,389.0,377.0,374.0,393.0,361.0,356.0,337.0,423.0,369.0,419.0,378.0,365.0,357.0,398.0,367.0,373.0,409.0,394.0,398.0,394.0,362.0
9,0.0,271.0,305.0,309.0,318.0,309.0,361.0,358.0,359.0,341.0,378.0,378.0,372.0,371.0,390.0,365.0,316.0,371.0,402.0,408.0,361.0,407.0,352.0,368.0,385.0,382.0,395.0,342.0,404.0,385.0,344.0,361.0,419.0,363.0,364.0,371.0,353.0,373.0,391.0,357.0,430.0,371.0,413.0,388.0,373.0,383.0,376.0,362.0,384.0,419.0
10,0.0,237.0,302.0,311.0,321.0,361.0,331.0,362.0,377.0,413.0,348.0,384.0,384.0,394.0,389.0,381.0,382.0,375.0,348.0,369.0,359.0,405.0,416.0,379.0,384.0,392.0,382.0,373.0,385.0,363.0,317.0,417.0,383.0,344.0,368.0,384.0,411.0,385.0,369.0,371.0,340.0,361.0,379.0,383.0,363.0,432.0,383.0,373.0,395.0,395.0
11,0.0,261.0,323.0,292.0,308.0,307.0,367.0,393.0,388.0,333.0,388.0,370.0,362.0,352.0,383.0,375.0,376.0,330.0,392.0,391.0,353.0,351.0,411.0,401.0,377.0,341.0,362.0,407.0,404.0,395.0,383.0,375.0,371.0,356.0,365.0,392.0,387.0,381.0,386.0,376.0,374.0,381.0,382.0,351.0,367.0,395.0,393.0,346.0,392.0,408.0
12,0.0,269.0,285.0,328.0,307.0,358.0,326.0,359.0,353.0,389.0,374.0,383.0,393.0,359.0,409.0,434.0,398.0,403.0,371.0,370.0,352.0,376.0,406.0,399.0,386.0,407.0,372.0,374.0,414.0,385.0,357.0,351.0,411.0,410.0,389.0,355.0,411.0,376.0,396.0,356.0,382.0,398.0,352.0,357.0,410.0,421.0,383.0,354.0,437.0,388.0
13,0.0,251.0,286.0,294.0,348.0,323.0,310.0,342.0,391.0,397.0,384.0,356.0,371.0,345.0,387.0,373.0,405.0,385.0,378.0,371.0,424.0,360.0,377.0,346.0,393.0,387.0,383.0,384.0,390.0,370.0,354.0,388.0,390.0,383.0,378.0,404.0,365.0,387.0,395.0,375.0,395.0,375.0,366.0,392.0,332.0,375.0,409.0,370.0,399.0,397.0
14,0.0,252.0,242.0,284.0,327.0,324.0,319.0,371.0,351.0,384.0,338.0,369.0,318.0,393.0,372.0,385.0,366.0,396.0,372.0,393.0,349.0,357.0,369.0,408.0,350.0,354.0,380.0,407.0,405.0,364.0,367.0,410.0,412.0,387.0,353.0,375.0,432.0,353.0,372.0,378.0,352.0,388.0,371.0,360.0,404.0,399.0,358.0,364.0,405.0,389.0
15,0.0,250.0,297.0,320.0,360.0,323.0,351.0,352.0,405.0,370.0,371.0,390.0,395.0,405.0,357.0,364.0,379.0,376.0,406.0,369.0,366.0,392.0,362.0,353.0,353.0,378.0,393.0,386.0,345.0,369.0,365.0,362.0,349.0,379.0,372.0,382.0,390.0,367.0,346.0,372.0,379.0,383.0,393.0,380.0,373.0,372.0,401.0,363.0,415.0,347.0
16,0.0,242.0,272.0,337.0,309.0,368.0,334.0,342.0,378.0,369.0,369.0,343.0,376.0,361.0,376.0,413.0,375.0,392.0,380.0,347.0,371.0,382.0,396.0,361.0,375.0,401.0,395.0,391.0,429.0,400.0,394.0,375.0,387.0,372.0,381.0,359.0,401.0,372.0,402.0,426.0,422.0,389.0,373.0,390.0,356.0,372.0,348.0,381.0,370.0,357.0
17,0.0,261.0,277.0,306.0,307.0,327.0,296.0,382.0,363.0,338.0,362.0,398.0,390.0,396.0,385.0,365.0,393.0,373.0,384.0,384.0,365.0,346.0,333.0,411.0,356.0,372.0,391.0,380.0,376.0,374.0,407.0,383.0,375.0,364.0,384.0,348.0,363.0,415.0,374.0,379.0,370.0,377.0,363.0,421.0,365.0,386.0,353.0,413.0,356.0,383.0
18,0.0,246.0,250.0,261.0,328.0,405.0,370.0,385.0,384.0,368.0,362.0,355.0,364.0,382.0,370.0,378.0,365.0,377.0,359.0,363.0,305.0,399.0,382.0,405.0,358.0,383.0,384.0,416.0,385.0,366.0,360.0,427.0,407.0,358.0,355.0,394.0,365.0,351.0,394.0,354.0,376.0,344.0,423.0,393.0,397.0,361.0,381.0,362.0,395.0,380.0
19,0.0,250.0,315.0,288.0,318.0,339.0,362.0,353.0,349.0,357.0,401.0,358.0,399.0,377.0,350.0,398.0,376.0,402.0,384.0,396.0,381.0,393.0,401.0,387.0,360.0,363.0,372.0,386.0,382.0,396.0,371.0,383.0,396.0,379.0,427.0,362.0,399.0,375.0,389.0,370.0,378.0,365.0,378.0,375.0,351.0,381.0,414.0,390.0,391.0,395.0
20,0.0,249.0,284.0,322.0,294.0,343.0,339.0,371.0,366.0,371.0,370.0,393.0,344.0,387.0,367.0,376.0,394.0,395.0,367.0,335.0,384.0,362.0,370.0,379.0,390.0,369.0,384.0,385.0,406.0,379.0,390.0,365.0,409.0,361.0,386.0,362.0,377.0,385.0,395.0,388.0,373.0,397.0,369.0,386.0,397.0,363.0,407.0,373.0,385.0,402.0
