SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,191.0,208.0,266.0,248.0,272.0,295.0,263.0,317.0,301.0,287.0,301.0,298.0,263.0,293.0,275.0,293.0,292.0,315.0,323.0,289.0,304.0,309.0,311.0,259.0,244.0,311.0,321.0,298.0,290.0,307.0,274.0,315.0,304.0,289.0,295.0,331.0,293.0,318.0,291.0,291.0,308.0,269.0,304.0,286.0,338.0,300.0,275.0,304.0,284.0
2,0.0,209.0,211.0,220.0,251.0,246.0,290.0,292.0,310.0,316.0,308.0,306.0,319.0,280.0,283.0,294.0,344.0,311.0,319.0,323.0,336.0,282.0,332.0,347.0,295.0,298.0,322.0,299.0,311.0,326.0,313.0,300.0,302.0,325.0,297.0,312.0,343.0,312.0,344.0,317.0,301.0,305.0,283.0,331.0,321.0,294.0,336.0,329.0,296.0,306.0
3,0.0,206.0,208.0,264.0,268.0,296.0,333.0,283.0,335.0,329.0,326.0,299.0,296.0,307.0,323.0,296.0,340.0,316.0,346.0,325.0,350.0,319.0,357.0,292.0,318.0,270.0,319.0,335.0,312.0,302.0,327.0,298.0,296.0,336.0,312.0,337.0,329.0,284.0,324.0,325.0,273.0,307.0,283.0,294.0,359.0,297.0,338.0,336.0,329.0,319.0
4,0.0,235.0,272.0,289.0,270.0,293.0,321.0,327.0,309.0,325.0,317.0,330.0,306.0,336.0,356.0,328.0,359.0,328.0,354.0,310.0,355.0,309.0,323.0,309.0,335.0,308.0,334.0,273.0,345.0,333.0,377.0,326.0,337.0,325.0,313.0,327.0,321.0,331.0,340.0,296.0,334.0,338.0,319.0,297.0,297.0,333.0,337.0,342.0,277.0,355.0
5,0.0,244.0,240.0,288.0,280.0,294.0,306.0,315.0,314.0,334.0,320.0,317.0,298.0,299.0,327.0,366.0,313.0,352.0,320.0,323.0,369.0,342.0,343.0,352.0,314.0,356.0,309.0,316.0,345.0,338.0,375.0,309.0,397.0,339.0,343.0,332.0,358.0,347.0,366.0,327.0,335.0,370.0,342.0,320.0,363.0,339.0,343.0,367.0,328.0,330.0
6,0.0,230.0,255.0,273.0,295.0,306.0,327.0,300.0,326.0,334.0,315.0,357.0,345.0,345.0,348.0,327.0,304.0,326.0,388.0,358.0,362.0,372.0,350.0,349.0,321.0,305.0,368.0,411.0,344.0,377.0,357.0,343.0,321.0,373.0,349.0,321.0,369.0,378.0,366.0,318.0,354.0,340.0,349.0,322.0,344.0,319.0,309.0,366.0,344.0,350.0
7,0.0,246.0,282.0,304.0,323.0,333.0,344.0,299.0,364.0,363.0,369.0,379.0,351.0,349.0,383.0,353.0,356.0,387.0,388.0,354.0,336.0,326.0,385.0,350.0,329.0,340.0,359.0,359.0,360.0,369.0,349.0,355.0,404.0,342.0,304.0,373.0,367.0,387.0,353.0,357.0,325.0,385.0,371.0,328.0,375.0,348.0,380.0,347.0,316.0,378.0
8,0.0,266.0,295.0,306.0,342.0,316.0,344.0,352.0,375.0,376.0,348.0,360.0,304.0,314.0,339.0,374.0,337.0,388.0,388.0,362.0,374.0,343.0,313.0,389.0,403.0,379.0,347.0,371.0,389.0,381.0,419.0,364.0,368.0,332.0,360.0,378.0,384.0,351.0,367.0,348.0,419.0,346.0,408.0,373.0,349.0,378.0,380.0,393.0,378.0,363.0
9,0.0,251.0,299.0,328.0,304.0,334.0,384.0,367.0,368.0,385.0,366.0,362.0,310.0,338.0,426.0,367.0,367.0,393.0,369.0,401.0,357.0,398.0,357.0,382.0,348.0,369.0,377.0,407.0,387.0,387.0,393.0,378.0,374.0,363.0,357.0,361.0,368.0,386.0,353.0,384.0,366.0,424.0,413.0,390.0,341.0,366.0,417.0,378.0,350.0,388.0
10,0.0,254.0,321.0,284.0,371.0,376.0,323.0,417.0,393.0,387.0,397.0,371.0,356.0,377.0,391.0,371.0,351.0,410.0,410.0,401.0,433.0,345.0,383.0,375.0,406.0,360.0,364.0,434.0,332.0,453.0,371.0,342.0,437.0,365.0,366.0,451.0,368.0,403.0,352.0,389.0,397.0,405.0,378.0,384.0,368.0,395.0,404.0,346.0,399.0,358.0
11,0.0,280.0,292.0,312.0,369.0,409.0,292.0,399.0,421.0,381.0,383.0,353.0,444.0,399.0,394.0,386.0,349.0,389.0,412.0,370.0,387.0,425.0,365.0,426.0,391.0,388.0,375.0,412.0,424.0,434.0,402.0,352.0,391.0,369.0,441.0,391.0,445.0,377.0,343.0,384.0,385.0,412.0,372.0,375.0,407.0,449.0,386.0,416.0,344.0,346.0
12,0.0,310.0,362.0,341.0,335.0,387.0,375.0,393.0,342.0,397.0,363.0,355.0,368.0,423.0,373.0,411.0,404.0,455.0,360.0,371.0,387.0,408.0,350.0,395.0,420.0,350.0,362.0,410.0,415.0,454.0,441.0,349.0,399.0,381.0,436.0,378.0,383.0,373.0,389.0,392.0,407.0,384.0,387.0,470.0,379.0,388.0,384.0,407.0,413.0,404.0
13,0.0,269.0,350.0,316.0,369.0,369.0,371.0,368.0,441.0,341.0,410.0,334.0,416.0,407.0,410.0,423.0,402.0,409.0,431.0,365.0,370.0,432.0,413.0,423.0,399.0,425.0,420.0,443.0,393.0,407.0,448.0,464.0,382.0,444.0,435.0,358.0,367.0,427.0,409.0,385.0,387.0,420.0,412.0,458.0,400.0,416.0,402.0,408.0,364.0,399.0
14,0.0,282.0,329.0,319.0,295.0,337.0,384.0,403.0,355.0,405.0,400.0,338.0,395.0,400.0,427.0,424.0,340.0,390.0,410.0,362.0,399.0,400.0,371.0,419.0,446.0,388.0,416.0,415.0,314.0,377.0,440.0,393.0,393.0,384.0,434.0,423.0,429.0,408.0,408.0,387.0,388.0,403.0,429.0,421.0,407.0,413.0,391.0,416.0,412.0,409.0
15,0.0,266.0,307.0,333.0,359.0,402.0,346.0,420.0,373.0,386.0,375.0,341.0,421.0,397.0,431.0,402.0,369.0,393.0,408.0,422.0,381.0,432.0,449.0,349.0,421.0,427.0,403.0,438.0,360.0,443.0,404.0,384.0,428.0,385.0,413.0,418.0,429.0,371.0,440.0,453.0,412.0,432.0,352.0,425.0,356.0,359.0,435.0,415.0,400.0,401.0
16,0.0,286.0,303.0,288.0,401.0,411.0,412.0,393.0,409.0,427.0,367.0,389.0,381.0,389.0,377.0,401.0,371.0,396.0,413.0,441.0,331.0,424.0,378.0,439.0,388.0,405.0,408.0,349.0,402.0,408.0,473.0,397.0,431.0,340.0,375.0,394.0,412.0,374.0,424.0,390.0,386.0,394.0,427.0,392.0,415.0,371.0,431.0,450.0,389.0,412.0
17,0.0,322.0,276.0,343.0,375.0,436.0,344.0,414.0,369.0,414.0,404.0,451.0,343.0,390.0,439.0,349.0,466.0,395.0,365.0,415.0,394.0,413.0,388.0,389.0,413.0,388.0,343.0,392.0,400.0,408.0,332.0,447.0,394.0,402.0,383.0,412.0,409.0,408.0,388.0,373.0,429.0,455.0,423.0,400.0,359.0,452.0,418.0,379.0,437.0,387.0
18,0.0,273.0,306.0,345.0,371.0,384.0,378.0,378.0,383.0,364.0,380.0,408.0,408.0,424.0,377.0,440.0,397.0,423.0,386.0,408.0,385.0,420.0,390.0,366.0,381.0,384.0,376.0,404.0,426.0,397.0,406.0,384.0,396.0,384.0,368.0,425.0,413.0,450.0,430.0,361.0,393.0,451.0,382.0,337.0,431.0,291.0,440.0,427.0,381.0,390.0
19,0.0,288.0,315.0,333.0,379.0,382.0,301.0,411.0,422.0,415.0,401.0,366.0,397.0,433.0,366.0,382.0,439.0,418.0,410.0,414.0,440.0,413.0,349.0,415.0,415.0,424.0,423.0,423.0,445.0,379.0,421.0,350.0,418.0,442.0,416.0,337.0,463.0,423.0,455.0,378.0,413.0,399.0,386.0,421.0,389.0,403.0,426.0,443.0,417.0,360.0
20,0.0,268.0,301.0,336.0,390.0,356.0,451.0,365.0,456.0,394.0,384.0,390.0,407.0,439.0,426.0,442.0,404.0,441.0,425.0,402.0,395.0,373.0,385.0,399.0,386.0,422.0,437.0,371.0,366.0,397.0,392.0,393.0,414.0,401.0,379.0,404.0,375.0,453.0,396.0,434.0,365.0,461.0,364.0,425.0,392.0,396.0,406.0,423.0,444.0,334.0
