total_num_patients, total_num_ed_patients, total_num_patients_entered,total_num_ed_patients_entered,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab,avg_doctor_utilization_surgery,avg_doctor_utilization_radio,avg_xray_utilization,avg_doctor_utilization_lab,avg_nurse_utilization_lab
16728.0,8336.0,17481.0,11875.0,67.43,205.0,0.0,163.45098039215685,0.03207887793362033,1.1373855120732723,7.73105745212323,1.1323896752706077,0.0,0.05328892589508743,7.69628303974682E-4,124.17810451791485,1.7329837539026618,0.6700281404492904,0.6279287989279476,0.22146803679853563,48.614336639759856,328.0,0.0,0,0,0,0,7.73105745212323,0.7098007556169017,0.6982321256458163,0.5452095946712184,0.2805186117874069,0.8831786717979077,
17207.0,8414.0,18068.0,12140.0,59.68,222.0,5.0,164.98039215686273,0.5778364116094987,4.248959200666111,7.648626144879267,1.7094088259783513,0.0,0.10990840965861781,0.01523298060298477,127.75071497777334,19.354337361628637,0.6541141693893033,0.5786500998649793,3.9092602131651195,61.09880757763181,337.3921568627451,2.0,0,0,0,0,7.648626144879267,0.7162104629233246,0.7512036453055542,0.5984399208090886,0.2809080396740915,0.8896755273649148,
17717.0,8423.0,18464.0,11925.0,56.96,225.0,18.0,165.15686274509804,1.0019441744202193,11.684429641965028,9.261448792672773,0.6661115736885929,0.0,0.02997502081598668,0.02873649040385093,125.17405333135201,0.0,0.6520874489808124,0.6275517897323469,6.42380607724203,94.46817203699536,347.3921568627451,4.0,5,0,0,0,9.261448792672773,0.7398573475559407,0.8298281295538966,0.74128074566539,0.28542377813740566,0.9278841304474734,
18324.0,8730.0,19367.0,12267.0,48.54,166.0,181.0,171.1764705882353,8.294403555061796,28.342214820982516,7.458784346378018,0.7352206494587843,0.0,0.02414654454621149,0.2328703457242176,146.68371841738227,26.33932039098271,0.6231121053696672,0.5479613191716461,48.363988507214856,165.58479235254205,359.29411764705884,22.0,12,0,0,0,7.458784346378018,0.6958997826733015,0.9295985022100075,0.8743417037749799,0.2762300257946586,0.8700557218351179,
18299.0,8414.0,19559.0,11976.0,51.94,187.0,418.0,164.98039215686273,13.21135953339814,31.826810990840965,3.9666944213155704,0.49375520399666945,0.0,0.093255620316403,0.3803594115547693,161.4558342113966,0.0,0.6288613245931055,0.5199927007811481,76.41857178224662,176.1982739593269,358.80392156862746,36.0,10,0,0,0,3.9666944213155704,0.7483916777636723,0.9294920790059907,0.9129823502152451,0.2735453756849098,0.8481415451224344,
18201.0,8226.0,19959.0,11967.0,45.38,162.0,912.0,161.2941176470588,23.54617414248021,36.821815154038305,1.5778517901748543,0.32139883430474603,0.0,0.0,0.6650556059954484,193.47533141824655,0.0,0.5653971105697129,0.46363174605613083,131.6169682760193,208.36717288164613,356.88235294117646,58.0,58,0,0,0,1.5778517901748543,0.6662490955758077,0.9263047314689102,0.8945117957893918,0.2542793266853427,0.7878407765620248,
18036.0,7838.0,20497.0,11952.0,40.15,161.0,1527.0,153.68627450980392,34.288154422996804,38.69275603663613,1.2706078268109908,0.17152373022481265,0.0,8.326394671107411E-4,0.9743346061492387,231.74883146876365,0.0,0.5255920064276207,0.4026353794958855,193.82057354096776,238.19083741935034,353.6470588235294,70.0,119,0,0,0,1.2706078268109908,0.6783179312780572,0.9298078429941784,0.8813049578757045,0.23699164829193328,0.7539078171646004,
18281.0,7983.0,20861.0,11911.0,37.11,141.0,1421.0,156.52941176470588,34.60019441744202,39.16736053288926,0.6219816819317235,0.3680266444629475,0.0,0.0016652789342214821,0.9928613977843792,241.05071322310425,0.23113319867939708,0.5222605755978733,0.5007177642429806,197.0879155961751,236.7350677131751,358.45098039215685,74.0,66,0,0,0,0.6219816819317235,0.6430077538587443,0.9313292753885327,0.8886452099354042,0.23180347654666128,0.7269151007104145,
17989.0,7859.0,21441.0,11991.0,42.58,178.0,1751.0,154.09803921568627,37.94181363699486,39.59783513738551,0.7843463780183181,0.08326394671107411,0.0,0.0,1.0704369281726698,259.9706174999999,0.0,0.48849224866490915,0.4045050286913136,212.05803306202418,245.85231034018435,352.72549019607845,75.0,125,0,0,0,0.7843463780183181,0.634922740361526,0.9294500524976417,0.9034516668562236,0.22108103442518462,0.7137330231225517,
18144.0,7894.0,22093.0,12065.0,42.82,149.0,1718.0,154.7843137254902,37.576725454797945,39.742714404662784,0.86511240632806,0.07660283097418817,0.0,0.0,1.0500221714288112,262.6968100269243,0.0,0.5018879961726205,0.507523943145524,208.2854634948932,243.40274324068284,355.7647058823529,77.0,122,0,0,0,0.86511240632806,0.6659740020588633,0.9221231918044634,0.8696578315719263,0.22550089122775124,0.7116084788086938,
