SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,191.0,191.0,188.0,188.0,163.0,163.0,222.0,222.0,232.0,232.0,192.0,192.0,166.0,166.0,186.0,186.0,185.0,185.0,189.0,189.0,215.0,215.0,216.0,216.0,199.0,199.0,194.0,194.0,173.0,173.0,184.0,184.0,192.0,192.0,193.0,193.0,192.0,192.0,186.0,186.0,211.0,211.0,181.0,181.0,188.0,188.0,208.0,208.0
2,220.0,220.0,218.0,218.0,233.0,233.0,211.0,211.0,209.0,209.0,198.0,198.0,174.0,174.0,174.0,174.0,192.0,192.0,170.0,170.0,190.0,190.0,197.0,197.0,192.0,192.0,223.0,223.0,179.0,179.0,175.0,175.0,201.0,201.0,168.0,168.0,196.0,196.0,191.0,191.0,205.0,205.0,185.0,185.0,200.0,200.0,204.0,204.0,211.0,211.0
3,0.0,0.0,164.0,164.0,193.0,193.0,188.0,188.0,209.0,209.0,179.0,179.0,207.0,207.0,188.0,188.0,176.0,176.0,164.0,164.0,184.0,184.0,192.0,192.0,220.0,220.0,189.0,189.0,217.0,217.0,188.0,188.0,166.0,166.0,214.0,214.0,195.0,195.0,220.0,220.0,200.0,200.0,213.0,213.0,188.0,188.0,203.0,203.0,198.0,198.0
4,175.0,175.0,188.0,188.0,186.0,186.0,205.0,205.0,194.0,194.0,193.0,193.0,189.0,189.0,189.0,189.0,164.0,164.0,202.0,202.0,207.0,207.0,176.0,176.0,203.0,203.0,179.0,179.0,179.0,179.0,197.0,197.0,195.0,195.0,181.0,181.0,175.0,175.0,191.0,191.0,153.0,153.0,210.0,210.0,236.0,236.0,185.0,185.0,182.0,182.0
5,0.0,0.0,172.0,172.0,209.0,209.0,194.0,194.0,187.0,187.0,206.0,206.0,219.0,219.0,212.0,212.0,196.0,196.0,183.0,183.0,172.0,172.0,201.0,201.0,182.0,182.0,201.0,201.0,194.0,194.0,200.0,200.0,198.0,198.0,194.0,194.0,186.0,186.0,202.0,202.0,179.0,179.0,185.0,185.0,193.0,193.0,183.0,183.0,181.0,181.0
6,172.0,172.0,219.0,219.0,186.0,186.0,191.0,191.0,190.0,190.0,211.0,211.0,204.0,204.0,196.0,196.0,187.0,187.0,194.0,194.0,193.0,193.0,158.0,158.0,229.0,229.0,199.0,199.0,190.0,190.0,196.0,196.0,201.0,201.0,172.0,172.0,208.0,208.0,212.0,212.0,186.0,186.0,224.0,224.0,203.0,203.0,186.0,186.0,233.0,233.0
7,0.0,0.0,169.0,169.0,173.0,173.0,187.0,187.0,195.0,195.0,196.0,196.0,213.0,213.0,199.0,199.0,174.0,174.0,192.0,192.0,181.0,181.0,208.0,208.0,160.0,160.0,194.0,194.0,203.0,203.0,227.0,227.0,207.0,207.0,201.0,201.0,186.0,186.0,184.0,184.0,174.0,174.0,175.0,175.0,190.0,190.0,183.0,183.0,195.0,195.0
8,179.0,179.0,194.0,194.0,196.0,196.0,202.0,202.0,212.0,212.0,198.0,198.0,207.0,207.0,192.0,192.0,187.0,187.0,193.0,193.0,173.0,173.0,180.0,180.0,203.0,203.0,180.0,180.0,184.0,184.0,174.0,174.0,206.0,206.0,209.0,209.0,151.0,151.0,172.0,172.0,198.0,198.0,179.0,179.0,171.0,171.0,216.0,216.0,208.0,208.0
9,0.0,0.0,149.0,149.0,189.0,189.0,216.0,216.0,194.0,194.0,200.0,200.0,168.0,168.0,198.0,198.0,174.0,174.0,194.0,194.0,187.0,187.0,213.0,213.0,187.0,187.0,207.0,207.0,201.0,201.0,189.0,189.0,199.0,199.0,186.0,186.0,179.0,179.0,217.0,217.0,175.0,175.0,188.0,188.0,201.0,201.0,195.0,195.0,201.0,201.0
10,172.0,172.0,204.0,204.0,181.0,181.0,207.0,207.0,233.0,233.0,179.0,179.0,164.0,164.0,198.0,198.0,180.0,180.0,173.0,173.0,174.0,174.0,195.0,195.0,201.0,201.0,187.0,187.0,191.0,191.0,184.0,184.0,203.0,203.0,208.0,208.0,210.0,210.0,171.0,171.0,196.0,196.0,186.0,186.0,179.0,179.0,198.0,198.0,172.0,172.0
11,0.0,0.0,167.0,167.0,179.0,179.0,193.0,193.0,203.0,203.0,175.0,175.0,230.0,230.0,219.0,219.0,172.0,172.0,198.0,198.0,205.0,205.0,198.0,198.0,151.0,151.0,218.0,218.0,165.0,165.0,211.0,211.0,166.0,166.0,184.0,184.0,204.0,204.0,173.0,173.0,171.0,171.0,213.0,213.0,209.0,209.0,172.0,172.0,224.0,224.0
12,209.0,209.0,145.0,145.0,217.0,217.0,196.0,196.0,171.0,171.0,203.0,203.0,206.0,206.0,187.0,187.0,203.0,203.0,205.0,205.0,191.0,191.0,190.0,190.0,202.0,202.0,186.0,186.0,179.0,179.0,182.0,182.0,195.0,195.0,158.0,158.0,183.0,183.0,197.0,197.0,216.0,216.0,169.0,169.0,176.0,176.0,221.0,221.0,233.0,233.0
13,0.0,0.0,173.0,173.0,180.0,180.0,190.0,190.0,184.0,184.0,199.0,199.0,223.0,223.0,190.0,190.0,196.0,196.0,186.0,186.0,175.0,175.0,187.0,187.0,193.0,193.0,186.0,186.0,195.0,195.0,219.0,219.0,176.0,176.0,182.0,182.0,187.0,187.0,172.0,172.0,190.0,190.0,168.0,168.0,166.0,166.0,208.0,208.0,184.0,184.0
14,192.0,192.0,175.0,175.0,212.0,212.0,215.0,215.0,223.0,223.0,182.0,182.0,190.0,190.0,197.0,197.0,225.0,225.0,186.0,186.0,176.0,176.0,212.0,212.0,181.0,181.0,196.0,196.0,203.0,203.0,163.0,163.0,152.0,152.0,156.0,156.0,187.0,187.0,216.0,216.0,192.0,192.0,185.0,185.0,187.0,187.0,187.0,187.0,215.0,215.0
15,0.0,0.0,163.0,163.0,192.0,192.0,219.0,219.0,204.0,204.0,199.0,199.0,182.0,182.0,205.0,205.0,171.0,171.0,195.0,195.0,199.0,199.0,174.0,174.0,187.0,187.0,214.0,214.0,177.0,177.0,175.0,175.0,177.0,177.0,180.0,180.0,211.0,211.0,189.0,189.0,195.0,195.0,177.0,177.0,203.0,203.0,224.0,224.0,191.0,191.0
16,188.0,188.0,203.0,203.0,191.0,191.0,187.0,187.0,196.0,196.0,168.0,168.0,181.0,181.0,204.0,204.0,166.0,166.0,202.0,202.0,190.0,190.0,208.0,208.0,175.0,175.0,181.0,181.0,207.0,207.0,192.0,192.0,179.0,179.0,180.0,180.0,173.0,173.0,181.0,181.0,176.0,176.0,198.0,198.0,194.0,194.0,201.0,201.0,210.0,210.0
17,0.0,0.0,164.0,164.0,180.0,180.0,194.0,194.0,195.0,195.0,209.0,209.0,207.0,207.0,206.0,206.0,198.0,198.0,175.0,175.0,174.0,174.0,224.0,224.0,239.0,239.0,201.0,201.0,192.0,192.0,185.0,185.0,199.0,199.0,173.0,173.0,193.0,193.0,199.0,199.0,193.0,193.0,189.0,189.0,185.0,185.0,194.0,194.0,178.0,178.0
