SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,20.0,41.0,41.0,41.0,41.0,41.0,44.0,50.0,50.0,50.0,58.0,135.0,237.0,332.0,438.0,546.0,621.0,691.0,785.0,864.0,939.0,1033.0,1067.0,1130.0,1199.0,1259.0,1350.0,1442.0,1492.0,1574.0,1655.0,1755.0,1801.0,1801.0,1802.0
2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,20.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,28.0,53.0,185.0,296.0,377.0,469.0,529.0,609.0,672.0,751.0,857.0,933.0,1009.0,1087.0,1151.0,1180.0,1245.0,1323.0,1399.0,1489.0,1555.0,1586.0,1587.0,1587.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,16.0,20.0,20.0,20.0,21.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,30.0,34.0,105.0,200.0,340.0,444.0,535.0,630.0,727.0,789.0,854.0,915.0,990.0,1054.0,1126.0,1212.0,1292.0,1357.0,1444.0,1506.0,1577.0,1659.0,1735.0,1760.0,1760.0,1760.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,55.0,179.0,281.0,377.0,490.0,545.0,593.0,672.0,756.0,805.0,876.0,951.0,995.0,1056.0,1120.0,1204.0,1258.0,1335.0,1422.0,1516.0,1593.0,1598.0,1599.0,1599.0
5,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,15.0,20.0,27.0,51.0,54.0,54.0,54.0,68.0,69.0,71.0,72.0,77.0,77.0,81.0,83.0,84.0,138.0,246.0,349.0,473.0,586.0,652.0,732.0,797.0,875.0,949.0,1015.0,1098.0,1169.0,1249.0,1331.0,1410.0,1500.0,1561.0,1630.0,1705.0,1794.0,1806.0,1806.0,1807.0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,12.0,12.0,24.0,125.0,239.0,347.0,467.0,557.0,617.0,693.0,767.0,829.0,894.0,937.0,1018.0,1059.0,1126.0,1200.0,1257.0,1295.0,1336.0,1407.0,1476.0,1550.0,1570.0,1570.0,1571.0
7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,19.0,26.0,27.0,28.0,28.0,28.0,28.0,28.0,87.0,187.0,277.0,375.0,504.0,590.0,670.0,733.0,794.0,849.0,917.0,965.0,1028.0,1098.0,1162.0,1221.0,1296.0,1381.0,1464.0,1499.0,1535.0,1563.0,1563.0,1563.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,86.0,210.0,323.0,412.0,537.0,591.0,622.0,709.0,794.0,875.0,963.0,1039.0,1089.0,1166.0,1229.0,1268.0,1317.0,1398.0,1475.0,1552.0,1622.0,1646.0,1648.0,1648.0
9,0.0,1.0,1.0,1.0,1.0,5.0,15.0,16.0,37.0,37.0,37.0,37.0,37.0,40.0,44.0,62.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,113.0,222.0,322.0,442.0,543.0,632.0,742.0,798.0,898.0,965.0,1046.0,1114.0,1183.0,1254.0,1350.0,1433.0,1475.0,1555.0,1623.0,1681.0,1758.0,1780.0,1780.0,1782.0
10,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,31.0,31.0,31.0,31.0,92.0,190.0,258.0,361.0,471.0,526.0,589.0,671.0,736.0,801.0,881.0,963.0,1012.0,1068.0,1138.0,1209.0,1287.0,1362.0,1433.0,1502.0,1552.0,1557.0,1557.0,1557.0
