SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,20.0,15.0,23.0,0.0,19.0,33.0,40.0,25.0,40.0,38.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,20.0,32.0,33.0,31.0,30.0,6.0,40.0,36.0,40.0,40.0,40.0,40.0,40.0,40.0,33.0,40.0,40.0,26.0,40.0,36.0,40.0,40.0,37.0,40.0,40.0,40.0,40.0,39.0,40.0,36.0,40.0
2,0.0,21.0,40.0,40.0,38.0,40.0,37.0,35.0,20.0,16.0,20.0,31.0,30.0,37.0,40.0,40.0,34.0,40.0,40.0,32.0,30.0,12.0,0.0,32.0,21.0,40.0,39.0,26.0,23.0,35.0,26.0,20.0,40.0,34.0,40.0,36.0,40.0,26.0,40.0,40.0,32.0,17.0,40.0,34.0,40.0,29.0,24.0,33.0,7.0,16.0
3,0.0,1.0,0.0,14.0,19.0,28.0,40.0,40.0,36.0,39.0,40.0,18.0,10.0,26.0,22.0,14.0,19.0,40.0,38.0,27.0,40.0,40.0,40.0,40.0,18.0,25.0,36.0,40.0,40.0,40.0,40.0,38.0,40.0,18.0,40.0,35.0,40.0,34.0,40.0,40.0,24.0,40.0,39.0,40.0,40.0,40.0,40.0,30.0,39.0,18.0
4,0.0,18.0,38.0,40.0,36.0,28.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,33.0,7.0,5.0,0.0,0.0,0.0,13.0,32.0,37.0,35.0,31.0,40.0,36.0,34.0,28.0,16.0,0.0,2.0,11.0,2.0,16.0,31.0,40.0,40.0,29.0,40.0,37.0,36.0,40.0,40.0,39.0,35.0,40.0,40.0,18.0,40.0
5,0.0,16.0,40.0,36.0,26.0,40.0,40.0,36.0,40.0,40.0,33.0,39.0,34.0,40.0,40.0,25.0,37.0,36.0,21.0,0.0,16.0,0.0,2.0,40.0,24.0,32.0,40.0,35.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,35.0,39.0,37.0,40.0,37.0,32.0,30.0,40.0,34.0,9.0,0.0,31.0,40.0,21.0,29.0
6,0.0,17.0,13.0,39.0,40.0,40.0,39.0,40.0,40.0,36.0,40.0,40.0,34.0,40.0,40.0,40.0,40.0,40.0,38.0,32.0,38.0,40.0,40.0,40.0,33.0,40.0,40.0,40.0,40.0,30.0,33.0,24.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,38.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0
7,0.0,0.0,29.0,40.0,36.0,20.0,29.0,40.0,40.0,40.0,40.0,36.0,25.0,33.0,38.0,37.0,40.0,40.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,6.0,4.0,6.0,19.0,40.0,35.0,30.0,36.0,40.0,40.0,40.0,22.0,19.0,13.0,5.0,10.0,2.0,24.0,32.0,5.0,0.0
8,0.0,1.0,3.0,30.0,40.0,40.0,33.0,8.0,28.0,22.0,21.0,38.0,40.0,39.0,40.0,28.0,34.0,34.0,32.0,27.0,40.0,40.0,39.0,40.0,28.0,40.0,29.0,40.0,38.0,40.0,40.0,40.0,36.0,25.0,40.0,40.0,40.0,38.0,30.0,40.0,40.0,37.0,31.0,40.0,40.0,40.0,39.0,38.0,35.0,40.0
9,0.0,4.0,40.0,30.0,40.0,40.0,36.0,38.0,40.0,40.0,40.0,40.0,40.0,32.0,40.0,40.0,40.0,28.0,19.0,4.0,28.0,31.0,1.0,15.0,0.0,0.0,26.0,40.0,37.0,33.0,40.0,39.0,27.0,23.0,23.0,40.0,17.0,23.0,19.0,26.0,40.0,40.0,29.0,40.0,40.0,40.0,40.0,17.0,26.0,25.0
10,0.0,20.0,5.0,35.0,40.0,36.0,25.0,14.0,29.0,26.0,38.0,40.0,40.0,40.0,40.0,33.0,27.0,40.0,29.0,40.0,40.0,34.0,40.0,35.0,40.0,36.0,30.0,40.0,40.0,31.0,33.0,27.0,36.0,40.0,40.0,30.0,36.0,35.0,27.0,24.0,40.0,40.0,20.0,40.0,40.0,40.0,35.0,40.0,36.0,34.0
