SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,2.0,11.0,0.0,9.0,2.0,9.0,0.0,0.0,5.0,0.0,9.0,5.0,0.0,0.0,22.0,4.0,10.0,15.0,14.0,0.0,11.0,0.0,0.0,7.0,19.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,2.0,12.0,9.0,2.0,1.0,21.0,30.0,11.0,0.0,20.0,0.0,0.0
2,0.0,4.0,13.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,13.0,3.0,0.0,20.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,8.0,2.0,0.0,6.0,2.0,17.0,0.0,12.0,35.0,4.0,0.0,1.0,0.0,0.0,18.0,20.0,8.0,0.0,13.0,11.0,0.0,5.0,4.0
3,0.0,4.0,38.0,11.0,0.0,13.0,17.0,40.0,28.0,2.0,0.0,0.0,10.0,15.0,0.0,0.0,5.0,19.0,8.0,30.0,8.0,7.0,10.0,2.0,0.0,10.0,10.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,18.0,11.0,0.0,0.0,8.0,3.0,0.0,2.0,0.0,21.0,16.0,10.0,10.0,23.0,0.0,0.0
4,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,5.0,6.0,15.0,0.0,6.0,4.0,39.0,2.0,1.0,0.0,0.0,6.0,7.0,1.0,4.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,10.0,4.0,0.0,0.0,18.0,2.0
5,0.0,1.0,14.0,5.0,15.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,1.0,4.0,8.0,15.0,5.0,10.0,0.0,11.0,0.0,2.0,4.0,0.0,0.0,2.0,10.0,4.0,10.0,1.0,1.0,25.0,14.0,0.0,0.0,3.0,7.0,3.0
6,0.0,3.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,9.0,0.0,0.0,18.0,32.0,31.0,0.0,0.0,0.0,2.0,12.0,24.0,0.0,4.0,16.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0
7,0.0,11.0,4.0,6.0,0.0,0.0,14.0,40.0,27.0,0.0,5.0,5.0,22.0,7.0,37.0,26.0,32.0,0.0,4.0,0.0,20.0,26.0,0.0,0.0,19.0,1.0,20.0,1.0,0.0,0.0,20.0,12.0,0.0,4.0,0.0,5.0,8.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,9.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,2.0,0.0,8.0,40.0,39.0,25.0,22.0,33.0,38.0,40.0,33.0,2.0,24.0,0.0,21.0,15.0,16.0,8.0,14.0,39.0,36.0,11.0,7.0,10.0,3.0,0.0,9.0,13.0,14.0,0.0,3.0
9,0.0,2.0,2.0,13.0,40.0,37.0,29.0,26.0,14.0,0.0,0.0,0.0,0.0,39.0,23.0,4.0,15.0,1.0,0.0,0.0,11.0,6.0,14.0,8.0,13.0,33.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,14.0,16.0,30.0
10,0.0,7.0,12.0,40.0,35.0,27.0,35.0,39.0,27.0,17.0,14.0,4.0,0.0,0.0,0.0,6.0,22.0,7.0,39.0,40.0,29.0,40.0,14.0,1.0,0.0,0.0,7.0,24.0,40.0,36.0,17.0,35.0,25.0,40.0,40.0,24.0,15.0,12.0,0.0,12.0,7.0,0.0,0.0,6.0,0.0,0.0,6.0,12.0,7.0,23.0
11,0.0,1.0,22.0,34.0,39.0,34.0,40.0,40.0,28.0,28.0,30.0,40.0,38.0,19.0,15.0,15.0,28.0,32.0,29.0,24.0,33.0,40.0,40.0,33.0,19.0,26.0,37.0,30.0,40.0,28.0,23.0,36.0,39.0,40.0,40.0,21.0,13.0,0.0,30.0,40.0,39.0,40.0,18.0,34.0,40.0,24.0,4.0,0.0,21.0,40.0
12,0.0,0.0,0.0,10.0,13.0,3.0,1.0,0.0,15.0,0.0,0.0,25.0,40.0,36.0,39.0,33.0,38.0,26.0,34.0,38.0,40.0,39.0,37.0,40.0,24.0,40.0,33.0,40.0,30.0,33.0,22.0,34.0,35.0,36.0,37.0,40.0,34.0,37.0,16.0,3.0,15.0,38.0,38.0,26.0,30.0,32.0,26.0,35.0,40.0,31.0
13,0.0,8.0,12.0,40.0,35.0,39.0,40.0,40.0,22.0,40.0,29.0,36.0,31.0,39.0,35.0,35.0,40.0,40.0,14.0,21.0,34.0,30.0,40.0,39.0,19.0,40.0,40.0,17.0,34.0,31.0,35.0,29.0,40.0,40.0,24.0,31.0,37.0,40.0,35.0,36.0,40.0,40.0,40.0,40.0,22.0,37.0,40.0,33.0,40.0,34.0
14,0.0,0.0,1.0,26.0,40.0,39.0,37.0,32.0,40.0,31.0,19.0,34.0,39.0,39.0,17.0,19.0,38.0,40.0,40.0,40.0,18.0,31.0,39.0,40.0,39.0,40.0,40.0,32.0,38.0,36.0,20.0,36.0,40.0,34.0,37.0,40.0,38.0,40.0,40.0,37.0,34.0,37.0,19.0,31.0,40.0,30.0,40.0,40.0,33.0,39.0
15,0.0,17.0,35.0,40.0,40.0,20.0,35.0,15.0,24.0,30.0,40.0,40.0,33.0,33.0,34.0,34.0,40.0,37.0,17.0,34.0,40.0,24.0,6.0,38.0,30.0,25.0,32.0,40.0,36.0,26.0,37.0,36.0,23.0,40.0,40.0,40.0,37.0,36.0,13.0,39.0,40.0,40.0,32.0,40.0,32.0,31.0,28.0,27.0,39.0,40.0
16,0.0,5.0,28.0,40.0,40.0,35.0,27.0,39.0,40.0,37.0,34.0,40.0,35.0,40.0,40.0,28.0,39.0,37.0,35.0,22.0,40.0,36.0,40.0,40.0,23.0,33.0,34.0,36.0,39.0,38.0,38.0,40.0,39.0,40.0,40.0,29.0,39.0,30.0,40.0,25.0,33.0,40.0,40.0,36.0,38.0,26.0,18.0,33.0,36.0,40.0
17,0.0,0.0,30.0,40.0,36.0,35.0,31.0,36.0,26.0,29.0,32.0,35.0,40.0,39.0,21.0,40.0,29.0,25.0,40.0,40.0,21.0,25.0,40.0,38.0,39.0,12.0,40.0,36.0,31.0,40.0,35.0,34.0,39.0,40.0,40.0,40.0,32.0,17.0,36.0,38.0,35.0,40.0,30.0,28.0,40.0,38.0,29.0,34.0,14.0,29.0
18,0.0,26.0,29.0,40.0,40.0,37.0,35.0,36.0,22.0,25.0,40.0,37.0,33.0,37.0,35.0,40.0,40.0,28.0,33.0,32.0,31.0,40.0,36.0,40.0,37.0,40.0,34.0,25.0,40.0,40.0,38.0,34.0,40.0,40.0,40.0,38.0,39.0,32.0,27.0,40.0,40.0,12.0,17.0,40.0,25.0,40.0,36.0,37.0,40.0,39.0
19,0.0,6.0,30.0,40.0,27.0,21.0,40.0,40.0,18.0,11.0,19.0,40.0,26.0,20.0,30.0,36.0,40.0,37.0,39.0,38.0,39.0,25.0,31.0,26.0,32.0,27.0,32.0,40.0,40.0,40.0,31.0,40.0,24.0,34.0,29.0,27.0,36.0,40.0,29.0,29.0,39.0,33.0,33.0,40.0,40.0,26.0,36.0,30.0,22.0,40.0
20,0.0,13.0,37.0,40.0,33.0,40.0,39.0,32.0,29.0,37.0,30.0,35.0,36.0,21.0,40.0,34.0,32.0,33.0,34.0,14.0,0.0,23.0,36.0,29.0,40.0,38.0,40.0,40.0,40.0,35.0,34.0,26.0,40.0,40.0,40.0,37.0,40.0,36.0,40.0,29.0,37.0,27.0,40.0,24.0,35.0,34.0,40.0,26.0,24.0,40.0
