SIMRUN/DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.0,191.0,191.0,188.0,188.0,163.0,163.0,194.0,194.0,173.0,173.0,165.0,165.0,202.0,202.0,202.0,202.0,201.0,201.0,189.0,189.0,205.0,205.0,218.0,218.0,192.0,192.0,210.0,210.0,201.0,201.0,192.0,192.0,179.0,179.0,229.0,229.0,190.0,190.0,207.0,207.0,196.0,196.0,152.0,152.0,220.0,220.0,211.0,211.0
2,190.0,190.0,197.0,197.0,214.0,214.0,204.0,204.0,183.0,183.0,199.0,199.0,159.0,159.0,179.0,179.0,168.0,168.0,170.0,170.0,175.0,175.0,217.0,217.0,197.0,197.0,199.0,199.0,153.0,153.0,178.0,178.0,207.0,207.0,195.0,195.0,221.0,221.0,222.0,222.0,248.0,248.0,233.0,233.0,198.0,198.0,190.0,190.0,196.0,196.0
3,0.0,0.0,164.0,164.0,193.0,193.0,188.0,188.0,214.0,214.0,172.0,172.0,175.0,175.0,168.0,168.0,181.0,181.0,175.0,175.0,183.0,183.0,174.0,174.0,209.0,209.0,170.0,170.0,193.0,193.0,217.0,217.0,194.0,194.0,179.0,179.0,193.0,193.0,186.0,186.0,214.0,214.0,190.0,190.0,194.0,194.0,190.0,190.0,208.0,208.0
4,195.0,195.0,202.0,202.0,187.0,187.0,228.0,228.0,162.0,162.0,187.0,187.0,193.0,193.0,230.0,230.0,203.0,203.0,193.0,193.0,178.0,178.0,180.0,180.0,166.0,166.0,170.0,170.0,96.0,96.0,167.0,167.0,193.0,193.0,210.0,210.0,210.0,210.0,210.0,210.0,175.0,175.0,181.0,181.0,179.0,179.0,169.0,169.0,183.0,183.0
5,0.0,0.0,184.0,184.0,179.0,179.0,181.0,181.0,169.0,169.0,194.0,194.0,198.0,198.0,186.0,186.0,161.0,161.0,189.0,189.0,205.0,205.0,224.0,224.0,170.0,170.0,208.0,208.0,214.0,214.0,195.0,195.0,204.0,204.0,198.0,198.0,202.0,202.0,207.0,207.0,199.0,199.0,197.0,197.0,198.0,198.0,193.0,193.0,222.0,222.0
6,228.0,228.0,204.0,204.0,151.0,151.0,192.0,192.0,186.0,186.0,185.0,185.0,157.0,157.0,205.0,205.0,207.0,207.0,206.0,206.0,229.0,229.0,211.0,211.0,163.0,163.0,212.0,212.0,202.0,202.0,186.0,186.0,194.0,194.0,201.0,201.0,186.0,186.0,204.0,204.0,204.0,204.0,182.0,182.0,168.0,168.0,209.0,209.0,233.0,233.0
7,0.0,0.0,169.0,169.0,173.0,173.0,187.0,187.0,181.0,181.0,195.0,195.0,194.0,194.0,210.0,210.0,164.0,164.0,167.0,167.0,191.0,191.0,204.0,204.0,144.0,144.0,207.0,207.0,218.0,218.0,181.0,181.0,207.0,207.0,197.0,197.0,190.0,190.0,181.0,181.0,203.0,203.0,195.0,195.0,179.0,179.0,174.0,174.0,185.0,185.0
8,173.0,173.0,211.0,211.0,203.0,203.0,192.0,192.0,178.0,178.0,198.0,198.0,199.0,199.0,199.0,199.0,193.0,193.0,190.0,190.0,182.0,182.0,198.0,198.0,176.0,176.0,211.0,211.0,188.0,188.0,183.0,183.0,159.0,159.0,187.0,187.0,198.0,198.0,176.0,176.0,199.0,199.0,211.0,211.0,217.0,217.0,200.0,200.0,228.0,228.0
9,0.0,0.0,149.0,149.0,189.0,189.0,216.0,216.0,194.0,194.0,186.0,186.0,168.0,168.0,184.0,184.0,197.0,197.0,190.0,190.0,198.0,198.0,176.0,176.0,175.0,175.0,183.0,183.0,177.0,177.0,195.0,195.0,210.0,210.0,206.0,206.0,176.0,176.0,215.0,215.0,193.0,193.0,161.0,161.0,178.0,178.0,190.0,190.0,197.0,197.0
10,180.0,180.0,133.0,133.0,173.0,173.0,191.0,191.0,209.0,209.0,179.0,179.0,168.0,168.0,207.0,207.0,204.0,204.0,152.0,152.0,182.0,182.0,163.0,163.0,202.0,202.0,174.0,174.0,170.0,170.0,199.0,199.0,178.0,178.0,221.0,221.0,211.0,211.0,218.0,218.0,201.0,201.0,167.0,167.0,215.0,215.0,199.0,199.0,192.0,192.0
11,0.0,0.0,161.0,161.0,222.0,222.0,195.0,195.0,199.0,199.0,198.0,198.0,206.0,206.0,189.0,189.0,185.0,185.0,202.0,202.0,171.0,171.0,174.0,174.0,187.0,187.0,187.0,187.0,198.0,198.0,192.0,192.0,200.0,200.0,189.0,189.0,179.0,179.0,198.0,198.0,198.0,198.0,174.0,174.0,184.0,184.0,164.0,164.0,178.0,178.0
